prefix,n_members,total_freq,representative,members,status
kaiy,2,96,kaiy,kaiy:71 | kaiyy:25,unreviewed
ajay,3,96,ajayapala,ajayapala:41 | ajaya:32 | ajayap:23,unreviewed
gold,2,94,gold,gold:57 | goldman:37,unreviewed
medb,2,93,medbh,medbh:59 | medb:34,unreviewed
lila,2,91,lilav,lilav:57 | lila:34,unreviewed
roth,2,89,roth,roth:66 | rothzurlugdw:23,unreviewed
saki,3,89,saki,saki:41 | sakiv:26 | sakii:22,unreviewed
ling,2,87,lingap,lingap:66 | lingapi:21,unreviewed
sadu,2,86,saduktik,saduktik:49 | sadukt:37,unreviewed
jaos,2,85,jaos,jaos:59 | jaosprocc:26,unreviewed
vrsa,2,85,vrsabh,vrsabh:64 | vrsabhan:21,unreviewed
nirx,3,81,nirx,nirx:30 | nirxi:26 | nirxii:25,unreviewed
ball,3,80,ballant,ballant:29 | ballantyne:27 | ball:24,unreviewed
para,2,77,paras,paras:50 | parasara:27,unreviewed
amrt,2,73,amrtup,amrtup:39 | amrtanup:34,unreviewed
kiri,2,73,kirii,kirii:37 | kiri:36,unreviewed
kirv,2,72,kirv,kirv:47 | kirvi:25,unreviewed
sisx,3,72,sisxix,sisxix:27 | sisxviii:23 | sisx:22,unreviewed
lang,2,71,langl,langl:38 | langlois:33,unreviewed
mbhe,2,69,mbhedvardh,mbhedvardh:36 | mbhedbomb:33,unreviewed
vaid,2,68,vaidy,vaidy:43 | vaidyaka:25,unreviewed
anan,2,64,anandal,anandal:34 | anand:30,unreviewed
garb,2,63,garbezurajan,garbezurajan:35 | garbhop:28,unreviewed
somn,2,63,somnala,somnala:37 | somnal:26,unreviewed
kopp,2,62,koppeni,koppeni:36 | koppen:26,unreviewed
pari,2,61,paribh,paribh:39 | parijatamii:22,unreviewed
hemy,2,58,hemyog,hemyog:36 | hemyogas:22,unreviewed
hxvi,2,53,hxvii,hxvii:32 | hxviii:21,unreviewed
lava,2,48,lavalleepoussinabhidhk,lavalleepoussinabhidhk:26 | lavalleepoussinjras:22,unreviewed
vopv,2,42,vopvii,vopvii:22 | vopvi:20,unreviewed
vami,2,41,vamii,vamii:21 | vamiv:20,unreviewed
hxxx,2,40,hxxx,hxxx:20 | hxxxiv:20,unreviewed
