dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,1988,hawa,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-312. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1989,haWa,both,dhatupatha,bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-335. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1990,hada,annotation,(annotation-only),bhvadi,,akarmaka,0,0,1,0,,(I<s>-BvAdiH</s>-977. <s>aka</s>. <s>aniw</s>. <s>Atma</s>.)
krm,1991,hana,citation,dhatupatha,adadi,parasmaipada,sakarmaka,0,0,0,0,,(II<s>-adAdiH</s>-1012. <s>saka</s>. <s>ani</s>. <s>para</s>
krm,1992,hamma,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-467. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1993,haya,both,dhatupatha,bhvadi,parasmaipada,sakarmaka,0,1,0,0,,"(I<s>-BvAdiH…saka</s>. <s>sew</s>. <s>para</s>.) <div n=""NI"""
krm,1994,harya,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-514. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1995,hala,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-837. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1996,hase,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-721. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1998,hAN,annotation,(annotation-only),juhotyadi,,sakarmaka,0,0,1,0,,(III<s>-juhotyAdiH</s>-1089. <s>saka</s>. <s>aniw</s>. <s>At
krm,2000,hikka,annotation,(annotation-only),bhvadi,ubhayapada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-861. <s>aka</s>. <s>sew</s>. <s>uBa</s>.) <
krm,2001,hiwa,annotation,(annotation-only),bhvadi,,,0,1,0,0,,(I<s>-BvAdiH</s>-317. (<s>pA) saka</s>. <s>sew</s>. <s>para<
