dict,L,k1,quote
ap,11829,kazAya,sagadgadaM bAzpakazAyakaRWaH
ap,11829.002,kazAyaH,‘baDnAtIva ca yaH kaRWaM kazAyaH sa vikAsyapi’ .
ap,11902.028,kAYcanasanDiH,saMgataH sanDirevAyaM prakfzwatvAtsuvarRavat . taTAnyEH sanDikuSalEH
ap,11937,kAtyAyanI,umA kAtyAyanI gOrI kAlI hEmavatISvarI
ap,11951,kAnanam,kAnanaM vipine gehe paramezwimuKe'pi ca
ap,12103.048,kAryakAraRe,"kAryakAraRasambanDo nAma sa Bavati, yasmin sati yad Bavati yasmiMScAsati"
ap,12193,kAzWA,pUrvA tu
ap,12193,kAzWA,kAzWA dikkAlahAridrasTityutkarzezu
ap,12244,kiyat,kimidaMByAM vo GaH
ap,12261,kirmIrita,kzutkzAmArBakasaMBramoktinigaqEH kirmIritAH …
ap,12264.020,kilakiYcitam,‘kroDASruharzaBItyAdeH saMkaraH kilakiYcitam’ iti AlaNkArikAH
ap,12285.002,kIkasam,‘kIkasaM kulyamasTi ca’
ap,12306.022,kIrtiSezaH,"nAmaSeza, AleKyaSeza"
ap,12432,kuRWita,daSavadanaBujAnAM kuRWitA yatra SaktiH
ap,12447,kutapaH,ahno muhUrtA
ap,12643.022,kuSalapraSnaH,brAhmaRaM kuSalaM pfcCet kzatrabanDumanAmayam . vESyaM kzemaM samAgamya
ap,12643.022,kuSalapraSnaH,mayAptaM rAmatvaM kuSalavasutA
ap,12647,kuSAvatI,kuSAvatIM SrotriyasAt sa kftvA
ap,12650,kuSIlavaH,… kArUkASca kuSIlavAH .
ap,12738,kUrpAsa,kUrpAsakaM kzatanaKakzatamutkzipantI
ap,12861,ketuH,‘keturdyutO patAkAyAm’ iti viSvaH
ap,12892.060,keSapakzaH,"kacapakza, kacahasta"
ap,12892.094,keSasaMvAhanam,pAdasaMvAhane vajrI keSasaMvAhane
ap,12905,kesarin,"kuYjara, siMha"
ap,13037,kOwilyam,nityaM kOwilye gatO
ap,13073,kOrReyaH,kOrReyo rAkzase vAyAvISAnAnalayorapi . tapaHsTite
ap,13161.026,krayavikrayO,krayavikrayavelAyAM kAcaH kAco maRirmaRiH
ap,13399,kzu,kzuRAti ca kzuRIte ca kzuRotyAplavane'pi
ap,13446.041,kzetrajYaH,kzetrajYaM cApi mAM vidDi sarvakzetrezu BArata
ap,13489.004,KA,KomA kzmA kamalA ca gIH
ap,13731.002,gaH,gaH prIto BavaH SrIpatiruttamaH
ap,13741.140,gajasnAnam,avaSondriyacittAnAM hastisnAnamiva kriyA
ap,13759,gaqqarikA,iti gaqqarikApravAhenEzAM BedaH
ap,13782.054,gaRqaSOlaH,gaRqaSElEH kAravellErlohakaRwakavezwitEH .
ap,13834,gatiH,agatikA hi ezA gatiH
ap,13889,garBaH,‘garBo BrURe'rBake kukzO’
ap,13998.002,gAnDarvaH,agnirgAnDarvI paTyAmftasyA
ap,14136.002,guptaH,SarmA devaSca
ap,14186.024,gUQArTa,"˚candrikA, -tattvadIpikA, -dIpikA"
ap,14268,go,gOrvajraM gOH praBA BUmirvARI toyaM trivizwapam . Denurvasto
ap,14268.107,gotraH,indre tu gotroddalanaH
ap,14322,gOrI,… … gOrI tu nAgakanyomayormatA
ap,14387.040,grAmyasuKam,aviditvA suKaM grAmyaM
ap,14577,cakram,cakraM sEnyaraTANgayoH . rAzwre damBAntare … .
ap,14697.006,camarI,camaraM cAmare strI tu maYjarImfgaBedayoH
ap,15477,jalpaka,syAjjalpAkastu vAcAlo vAcAwo
ap,15529,jAtiH,jAtO bAlye ca kOmAre yOvane
ap,15710,juhotiH,juhotirAsecanADikaH syAt
ap,15766,jozA,"yozA, yozit"
ap,15770.002,jYaH,jYaH prAjYe candratanaye vizaye cAtmagarvayoH
ap,15833.004,JA,"Jo hasto, JA yoniH"
ap,15833.004,JA,JaH pumAn SramaRe nazwe
ap,16300,taskaraH,vyAvfttA yatparasveByaH SrutO taskaratA sTitA
ap,16602.026,tulAkowiH,tulAkowistu maYjIre
ap,16774.060,tElapUra,Bavanti yatrOzaDayo
ap,16838.022,trasareRuH,jAlAntaragate BAnO sUkzmaM yad dfSyate rajaH . praTamaM tatpramARAnAM
ap,16848.174,tridaRqin,vAgdaRqo'Ta manodaRqaH kAyadaRqastaTEva ca . yasyEte
ap,16848.320,trimUrDan,amftaM kzemamaBayaM
ap,16929,tvazwf,Aropya cakraBramimuzRatejAstvazwreva yatnolliKito viBAti
ap,16975.002,dakziRA,dakziRASabdaSca parikrayArTo Bavati
ap,16987.140,daRqavAcika,vAk-pAruzyam
ap,17109.118,daSalakzaRakaH,DftiH kzamA damo'steyaM SOcamindriyanigrahaH .
ap,17307.110,dikCUlam,SukrAdityadine na vAruRadiSaM
ap,17340.004,dIpakam,vadanti varRyAvarRyAnAm DarmEkyaM dIpakaM buDAH .
ap,17517.002,devaH,"devf, devara"
ap,17625,dOruDarI,‘guruBArgavayoryogaScandreREva yadA Bavet . tadA duruDarAyogaH’ iti jyotiHSAstre
ap,17918.134,DarmacAriRI,saha˚
ap,17918.196,DarmapariRAmaH,etena BUtendriyezu DarmalakzaRAvasTApariRAmA vyAKyAtAH
ap,17948,DAtf,purAtanAH purAvidBirDAtAra iti kIrtitAH
ap,17991,DArtarAzwraH,DArtarAzwro haMsaBede duryoDanakule'pi ca
ap,18022,DIH,"kuDI, suDI"
ap,18350.118,narasiMhaH,tava karakamalavare naKamadButaSfNgaM dalitahiraRyakaSiputanuBfNgam .
ap,18484,nAntarIyaka,yatra ca saMbanDo viDIyate
