dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,print,M-nasal/Hi-pos/Hf-s/G-keep,198568,1,16206,0.081615,16206,0.081615,54885,0.276404
mw,print,M-nasal/Hi-pos/Hf-s/G-degem,198568,1,16211,0.08164,16211,0.08164,54895,0.276454
mw,print,M-nasal/Hi-pos/Hf-drop/G-keep,198568,1,16160,0.081383,16160,0.081383,54849,0.276223
mw,print,M-nasal/Hi-pos/Hf-drop/G-degem,198568,1,16165,0.081408,16165,0.081408,54859,0.276273
mw,print,M-nasal/Hi-sib/Hf-slot/G-keep,198568,1,16229,0.081731,16229,0.081731,55235,0.278167
mw,print,M-nasal/Hi-sib/Hf-slot/G-degem,198568,1,16234,0.081756,16234,0.081756,55245,0.278217
mw,print,M-nasal/Hi-sib/Hf-s/G-keep,198568,1,16279,0.081982,16279,0.081982,55277,0.278378
mw,print,M-nasal/Hi-sib/Hf-s/G-degem,198568,1,16284,0.082008,16284,0.082008,55287,0.278429
mw,print,M-nasal/Hi-sib/Hf-drop/G-keep,198568,1,16238,0.081776,16238,0.081776,55247,0.278227
mw,print,M-nasal/Hi-sib/Hf-drop/G-degem,198568,1,16243,0.081801,16243,0.081801,55257,0.278277
mw,print,M-nasal/Hi-s/Hf-slot/G-keep,198568,1,16254,0.081857,16254,0.081857,55368,0.278836
mw,print,M-nasal/Hi-s/Hf-slot/G-degem,198568,1,16259,0.081882,16259,0.081882,55378,0.278887
mw,print,M-nasal/Hi-s/Hf-s/G-keep,198568,1,16232,0.081746,16232,0.081746,55382,0.278907
mw,print,M-nasal/Hi-s/Hf-s/G-degem,198568,1,16237,0.081771,16237,0.081771,55392,0.278957
mw,print,M-nasal/Hi-s/Hf-drop/G-keep,198568,1,16263,0.081902,16263,0.081902,55375,0.278872
mw,print,M-nasal/Hi-s/Hf-drop/G-degem,198568,1,16268,0.081927,16268,0.081927,55385,0.278922
mw,print,M-nasal_m/Hi-pos/Hf-slot/G-keep,198568,1,16805,0.084631,16805,0.084631,57760,0.290883
mw,print,M-nasal_m/Hi-pos/Hf-slot/G-degem,198568,1,16810,0.084657,16810,0.084657,57770,0.290933
mw,print,M-nasal_m/Hi-pos/Hf-s/G-keep,198568,1,16858,0.084898,16858,0.084898,57808,0.291124
mw,print,M-nasal_m/Hi-pos/Hf-s/G-degem,198568,1,16863,0.084923,16863,0.084923,57818,0.291175
mw,print,M-nasal_m/Hi-pos/Hf-drop/G-keep,198568,1,16812,0.084667,16812,0.084667,57771,0.290938
mw,print,M-nasal_m/Hi-pos/Hf-drop/G-degem,198568,1,16817,0.084692,16817,0.084692,57781,0.290988
mw,print,M-nasal_m/Hi-sib/Hf-slot/G-keep,198568,1,16883,0.085024,16883,0.085024,58151,0.292852
mw,print,M-nasal_m/Hi-sib/Hf-slot/G-degem,198568,1,16888,0.085049,16888,0.085049,58161,0.292902
mw,print,M-nasal_m/Hi-sib/Hf-s/G-keep,198568,1,16931,0.085266,16931,0.085266,58193,0.293063
mw,print,M-nasal_m/Hi-sib/Hf-s/G-degem,198568,1,16936,0.085291,16936,0.085291,58203,0.293114
mw,print,M-nasal_m/Hi-sib/Hf-drop/G-keep,198568,1,16890,0.085059,16890,0.085059,58162,0.292907
mw,print,M-nasal_m/Hi-sib/Hf-drop/G-degem,198568,1,16895,0.085085,16895,0.085085,58172,0.292958
mw,print,M-nasal_m/Hi-s/Hf-slot/G-keep,198568,1,16903,0.085125,16903,0.085125,58282,0.293512
mw,print,M-nasal_m/Hi-s/Hf-slot/G-degem,198568,1,16908,0.08515,16908,0.08515,58292,0.293562
mw,print,M-nasal_m/Hi-s/Hf-s/G-keep,198568,1,16879,0.085004,16879,0.085004,58296,0.293582
mw,print,M-nasal_m/Hi-s/Hf-s/G-degem,198568,1,16884,0.085029,16884,0.085029,58306,0.293632
mw,print,M-nasal_m/Hi-s/Hf-drop/G-keep,198568,1,16910,0.08516,16910,0.08516,58288,0.293542
mw,print,M-nasal_m/Hi-s/Hf-drop/G-degem,198568,1,16915,0.085185,16915,0.085185,58298,0.293592
mw,print,M-m/Hi-pos/Hf-slot/G-keep,198568,1,17296,0.087104,17296,0.087104,59573,0.300013
mw,print,M-m/Hi-pos/Hf-slot/G-degem,198568,1,17301,0.087129,17301,0.087129,59583,0.300063
mw,print,M-m/Hi-pos/Hf-s/G-keep,198568,1,17349,0.087371,17349,0.087371,59621,0.300255
mw,print,M-m/Hi-pos/Hf-s/G-degem,198568,1,17354,0.087396,17354,0.087396,59631,0.300305
mw,print,M-m/Hi-pos/Hf-drop/G-keep,198568,1,17303,0.087139,17303,0.087139,59584,0.300068
