dict,field_key,field_order,kanda,varga,upavarga,amar_lemmas,covered_lemmas,coverage_pct,covered_examples,missing_examples
yat,praTamaM kARqam|SabdAdivargaH|,6,praTamaM kARqam,SabdAdivargaH,,207,181,0.8744,BAzA|gir|vAc|vARI|vyAhAra|ukti|lapita|BAzita,brAhmI|BAratI|sarasvatI|Darma|DarmasaMhitA|kiMvadantI|vArtA|AhvA
abch,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
acc,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,22,0.0724,kala|qiRqima|janaka|yuvarAja|kumAra|BawwAraka|deva|Arya,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
acph,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
acsj,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
ae,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
ap,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,138,0.4539,maDyama|paYcama|svara|kAkalI|kala|mandra|tAra|vIRA,nizAda|fzaBa|gAnDAra|zaqja|DEvata|samanvitalaya|vAdya|vAditra
ap90,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,105,0.3454,maDyama|kAkalI|kala|tAra|vIRA|vallakI|tata|AnadDa,nizAda|fzaBa|gAnDAra|zaqja|DEvata|paYcama|svara|mandra
armh,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,185,0.6086,nizAda|fzaBa|maDyama|svara|kala|mandra|tAra|vIRA,gAnDAra|zaqja|DEvata|paYcama|kAkalI|samanvitalaya|tata|AnadDa
ben,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,204,0.6711,nizAda|fzaBa|gAnDAra|zaqja|maDyama|paYcama|svara|kala,DEvata|kAkalI|samanvitalaya|vipaYcI|parivAdinI|AnadDa|suzira|vAdya
bhs,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,51,0.1678,nizAda|fzaBa|gAnDAra|maDyama|kala|dunduBi|kakuBa|upanAha,zaqja|DEvata|paYcama|svara|kAkalI|mandra|tAra|samanvitalaya
bop,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,177,0.5822,nizAda|fzaBa|gAnDAra|maDyama|paYcama|svara|kala|mandra,zaqja|DEvata|kAkalI|tAra|samanvitalaya|vallakI|vipaYcI|parivAdinI
bor,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
bur,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,180,0.5921,nizAda|fzaBa|gAnDAra|DEvata|svara|kala|mandra|tAra,zaqja|maDyama|paYcama|kAkalI|samanvitalaya|parivAdinI|suzira|muraja
cae,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,218,0.7171,nizAda|fzaBa|gAnDAra|maDyama|paYcama|svara|kAkalI|kala,zaqja|DEvata|samanvitalaya|parivAdinI|Atodya|yaSaHpawaha|QakkA|vIRAdaRqa
ccs,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,212,0.6974,nizAda|fzaBa|gAnDAra|maDyama|paYcama|svara|kala|mandra,zaqja|DEvata|kAkalI|samanvitalaya|parivAdinI|AnadDa|Atodya|yaSaHpawaha
fri,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,133,0.4375,fzaBa|maDyama|paYcama|svara|kala|mandra|tAra|vIRA,nizAda|gAnDAra|zaqja|DEvata|kAkalI|samanvitalaya|vallakI|vipaYcI
gra,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,56,0.1842,fzaBa|maDyama|svara|mandra|tata|suzira|Gana|dunduBi,nizAda|gAnDAra|zaqja|DEvata|paYcama|kAkalI|kala|tAra
gst,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,22,0.0724,ajjukA|abrahmaRya|attikA|aNgahAra|aNgavikzepa|aBinaya|adButa|anukampA,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
ieg,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,44,0.1447,maDyama|svara|vIRA|tata|vAdya|Atodya|QakkA|BerI,nizAda|fzaBa|gAnDAra|zaqja|DEvata|paYcama|kAkalI|kala
inm,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,57,0.1875,nizAda|fzaBa|gAnDAra|maDyama|kala|tAra|vIRA|dunduBi,zaqja|DEvata|paYcama|svara|kAkalI|mandra|samanvitalaya|vallakI
krm,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,13,0.0428,svara|kala|kumAra|vIra|rasa|citra|BI|garva,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|kAkalI
lan,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,86,0.2829,maDyama|paYcama|kala|vIRA|tata|Gana|tattva|druta,nizAda|fzaBa|gAnDAra|zaqja|DEvata|svara|kAkalI|mandra
lrv,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,253,0.8322,nizAda|fzaBa|zaqja|maDyama|DEvata|svara|kAkalI|kala,gAnDAra|paYcama|mandra|samanvitalaya|vipaYcI|mfdaNga|dunduBi|vIRAdaRqa
mci,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,16,0.0526,nizAda|fzaBa|gAnDAra|tAra|nartana|janaka|kumAra|Arya,zaqja|maDyama|DEvata|paYcama|svara|kAkalI|kala|mandra
md,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,185,0.6086,nizAda|fzaBa|gAnDAra|maDyama|DEvata|paYcama|svara|kala,zaqja|kAkalI|samanvitalaya|vipaYcI|parivAdinI|AnadDa|suzira|vAditra
mw,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,292,0.9605,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,samanvitalaya|parivAdinI|kAlakriyAmAna|rAjaSyAla|jyezWaBaginI|haRqe|haYje|BayaNkara
mw72,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,242,0.7961,nizAda|fzaBa|gAnDAra|maDyama|DEvata|paYcama|svara|kala,zaqja|kAkalI|samanvitalaya|parivAdinI|yaSaHpawaha|QakkA|BerI|vIRAdaRqa
mwe,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,0,0.0000,,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
pe,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,54,0.1776,nizAda|fzaBa|gAnDAra|kala|tAra|dunduBi|Anaka|tAla,zaqja|maDyama|DEvata|paYcama|svara|kAkalI|mandra|samanvitalaya
pgn,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,3,0.0099,kakuBa|deva|BIma,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
pui,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,93,0.3059,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,kAkalI|mandra|samanvitalaya|vallakI|vipaYcI|parivAdinI|tata|AnadDa
pw,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,268,0.8816,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,kAkalI|samanvitalaya|parivAdinI|QakkA|nartakI|lAsikA|kAlakriyAmAna|tOryatrika
pwg,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,258,0.8487,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,samanvitalaya|parivAdinI|QakkA|BerI|nartakI|lAsikA|kAlakriyAmAna|tOryatrika
pwkvn,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,44,0.1447,nizAda|fzaBa|maDyama|kala|Gana|koRa|pravAla|kakuBa,gAnDAra|zaqja|DEvata|paYcama|svara|kAkalI|mandra|tAra
sch,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,83,0.2730,nizAda|fzaBa|gAnDAra|maDyama|kala|tAra|parivAdinI|tata,zaqja|DEvata|paYcama|svara|kAkalI|mandra|samanvitalaya|vIRA
shs,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,256,0.8421,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,kAkalI|samanvitalaya|parivAdinI|QakkA|BerI|pravAla|mardala|nartakI
skd,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,76,0.2500,svara|kAkalI|kala|vIRA|vallakI|vipaYcI|parivAdinI|QakkA,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|mandra
snp,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,2,0.0066,Gana|tAla,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara
stc,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,211,0.6941,nizAda|fzaBa|gAnDAra|maDyama|DEvata|paYcama|svara|kala,zaqja|kAkalI|samanvitalaya|parivAdinI|yaSaHpawaha|QakkA|vIRAdaRqa|kakuBa
vcp,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,261,0.8586,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,samanvitalaya|parivAdinI|AnadDa|pravAla|mardala|nartakI|kAlakriyAmAna|nartana
vei,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,21,0.0691,nizAda|fzaBa|gAnDAra|svara|vIRA|tata|dunduBi|janaka,zaqja|maDyama|DEvata|paYcama|kAkalI|kala|mandra|tAra
wil,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,256,0.8421,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,kAkalI|samanvitalaya|parivAdinI|QakkA|BerI|pravAla|mardala|nartakI
yat,praTamaM kARqam|nAwyavargaH|,7,praTamaM kARqam,nAwyavargaH,,304,257,0.8454,nizAda|fzaBa|gAnDAra|zaqja|maDyama|DEvata|paYcama|svara,kAkalI|samanvitalaya|parivAdinI|QakkA|BerI|pravAla|kolambaka|mardala
abch,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
acc,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,7,0.0680,nAga|Seza|ananta|PaRin|bileSaya|hari|vizavEdya,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
acph,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
acsj,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
ae,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
ap,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,34,0.3301,balisadman|Suzira|Cidra|vapA|avawa|suzira|tamisra|timira,aDoBuvana|pAtAla|rasAtala|nAgaloka|kuhara|vivara|bila|nirvyaTana
ap90,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,24,0.2330,Suzira|Cidra|vapA|avawa|suzira|tamisra|timira|tamas,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|vivara|bila
armh,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,77,0.7476,aDoBuvana|pAtAla|rasAtala|nAgaloka|kuhara|Suzira|vivara|bila,balisadman|Suzi|suzira|anDatamasa|avatamasa|santamasa|Seza|vAsuki
ben,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,54,0.5243,pAtAla|kuhara|Suzira|vivara|bila|Cidra|roka|ranDra,aDoBuvana|balisadman|rasAtala|nAgaloka|nirvyaTana|vapA|Suzi|suzira
bhs,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,9,0.0874,pAtAla|vivara|timira|ASIviza|gokarRa|hari|sPawA|kaYcuka,aDoBuvana|balisadman|rasAtala|nAgaloka|kuhara|Suzira|bila|Cidra
bop,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,42,0.4078,pAtAla|kuhara|vivara|Cidra|ranDra|SvaBra|vapA|garta,aDoBuvana|balisadman|rasAtala|nAgaloka|Suzira|bila|nirvyaTana|roka
bor,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
bur,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,52,0.5049,aDoBuvana|balisadman|kuhara|vivara|Cidra|nirvyaTana|roka|ranDra,pAtAla|rasAtala|nAgaloka|Suzira|bila|vapA|Suzi|suzira
cae,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,67,0.6505,pAtAla|rasAtala|nAgaloka|kuhara|vivara|bila|Cidra|roka,aDoBuvana|balisadman|Suzira|nirvyaTana|Suzi|anDatamasa|avatamasa|santamasa
ccs,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,66,0.6408,pAtAla|rasAtala|nAgaloka|kuhara|vivara|bila|Cidra|roka,aDoBuvana|balisadman|Suzira|nirvyaTana|Suzi|anDatamasa|avatamasa|santamasa
fri,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,25,0.2427,pAtAla|Suzira|vivara|bila|Cidra|ranDra|SvaBra|garta,aDoBuvana|balisadman|rasAtala|nAgaloka|kuhara|nirvyaTana|roka|vapA
gra,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,21,0.2039,vivara|bila|Cidra|roka|ranDra|SvaBra|vapA|garta,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|nirvyaTana
gst,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,5,0.0485,aDoBuvana|anDakAra|anDatamasa|ananta|ajagara,pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara|bila
ieg,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,14,0.1359,pAtAla|Cidra|roka|ranDra|SvaBra|garta|nAga|ananta,aDoBuvana|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara|bila
inm,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,23,0.2233,pAtAla|rasAtala|nAgaloka|kuhara|tamas|nAga|kAdraveya|Seza,aDoBuvana|balisadman|Suzira|vivara|bila|Cidra|nirvyaTana|roka
krm,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,5,0.0485,bila|Cidra|SvaBra|ahi|viza,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
lan,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,16,0.1553,vivara|bila|Cidra|roka|vapA|garta|tamas|Seza,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|nirvyaTana
lrv,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,86,0.8350,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,ranDra|DvAnta|santamasa|sarparAja|quRquBa|muktakaYcuka|BujaNga|BujaNgama
mci,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,12,0.1165,anDakAra|nAga|kAdraveya|Seza|ananta|vAsuki|vyAla|kuRqalin,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
md,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,49,0.4757,pAtAla|kuhara|bila|Cidra|roka|ranDra|SvaBra|garta,aDoBuvana|balisadman|rasAtala|nAgaloka|Suzira|vivara|nirvyaTana|vapA
mw,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,96,0.9320,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,santamasa|BujaNga|BujaNgama|gUQapAd|BogI|BogaDara|ahidaMzwrikA
mw72,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,61,0.5922,pAtAla|kuhara|Suzira|vivara|bila|Cidra|nirvyaTana|roka,aDoBuvana|balisadman|rasAtala|nAgaloka|anDakAra|anDatamasa|sarparAja|gonasa
mwe,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,0,0.0000,,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
pe,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,19,0.1845,pAtAla|rasAtala|nAgaloka|kuhara|tamas|nAga|Seza|ananta,aDoBuvana|balisadman|Suzira|vivara|bila|Cidra|nirvyaTana|roka
pgn,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,1,0.0097,hari,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
pui,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,24,0.2330,pAtAla|rasAtala|nAgaloka|garta|anDakAra|DvAnta|timira|nAga,aDoBuvana|balisadman|kuhara|Suzira|vivara|bila|Cidra|nirvyaTana
pw,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,93,0.9029,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,santamasa|nirmukta|BujaNga|BujaNgama|kAkodara|BogI|BogaDara|ahidaMzwrikA
pwg,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,94,0.9126,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|vivara|bila,Suzira|santamasa|BujaNga|BujaNgama|BogI|BogaDara|ahidaMzwrikA|sPawA
pwkvn,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,16,0.1553,kuhara|bila|anDakAra|tamas|avatamasa|kAdraveya|ananta|mAluDAna,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|Suzira|vivara|Cidra
sch,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,38,0.3689,pAtAla|balisadman|kuhara|Suzira|vivara|bila|nirvyaTana|roka,aDoBuvana|rasAtala|nAgaloka|Cidra|ranDra|SvaBra|Suzi|avawa
shs,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,90,0.8738,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,vapA|garta|tilitsa|alagarda|nirmukta|darvIkara|BogI|BogaDara
skd,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,8,0.0777,bila|Cidra|SvaBra|vapA|BogI|sPawA|PaRA|viza,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
snp,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,1,0.0097,nAga,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
stc,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,48,0.4660,pAtAla|kuhara|Suzira|vivara|bila|Cidra|ranDra|SvaBra,aDoBuvana|balisadman|rasAtala|nAgaloka|nirvyaTana|roka|Suzi|anDakAra
vcp,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,92,0.8932,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,garta|alagarda|muktakaYcuka|BogI|pavanASana|BogaDara|ahidaMzwrikA|sPawA
vei,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,17,0.1650,ranDra|vapA|garta|DvAnta|nAga|ajagara|Sayu|vAhasa,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara
wil,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,91,0.8835,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,vapA|garta|nirmukta|darvIkara|bileSaya|BogI|BogaDara|ahidaMzwrikA
yat,praTamaM kARqam|pAtAlaBogivargaH|,8,praTamaM kARqam,pAtAlaBogivargaH,,103,92,0.8932,aDoBuvana|pAtAla|balisadman|rasAtala|nAgaloka|kuhara|Suzira|vivara,vapA|garta|nirmukta|darvIkara|bileSaya|BogI|BogaDara|ahidaMzwrikA
abch,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
acc,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,3,0.1034,tapana|rOrava|bADA,nAraka|naraka|niraya|durgati|avIci|mahArOrava|saNGAta|kAlasUtra
acph,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
acsj,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
ae,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
ap,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,17,0.5862,nAraka|tapana|avIci|rOrava|preta|vEtaraRI|AjU|kAraRA,naraka|niraya|durgati|mahArOrava|saNGAta|kAlasUtra|alakzmI|nirfti
ap90,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,13,0.4483,nAraka|tapana|avIci|rOrava|preta|vEtaraRI|pIqA|bADA,naraka|niraya|durgati|mahArOrava|saNGAta|kAlasUtra|alakzmI|nirfti
armh,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,16,0.5517,nAraka|naraka|niraya|durgati|tapana|preta|alakzmI|nirfti,avIci|mahArOrava|rOrava|saNGAta|kAlasUtra|vEtaraRI|vizwi|AjU
ben,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,14,0.4828,nAraka|naraka|niraya|tapana|rOrava|nirfti|vizwi|yAtanA,durgati|avIci|mahArOrava|saNGAta|kAlasUtra|preta|vEtaraRI|alakzmI
bhs,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,8,0.2759,durgati|tapana|avIci|mahArOrava|rOrava|kAlasUtra|vizwi|kAraRA,nAraka|naraka|niraya|saNGAta|preta|vEtaraRI|alakzmI|nirfti
bop,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,15,0.5172,naraka|niraya|durgati|saNGAta|preta|nirfti|yAtanA|pIqA,nAraka|tapana|avIci|mahArOrava|rOrava|kAlasUtra|vEtaraRI|alakzmI
bor,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
bur,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,20,0.6897,nAraka|naraka|niraya|tapana|avIci|rOrava|saNGAta|kAlasUtra,durgati|mahArOrava|vEtaraRI|kAraRA|tIvravedanA|pIqA|bADA|prasUtija
cae,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,16,0.5517,nAraka|naraka|niraya|durgati|tapana|mahArOrava|rOrava|kAlasUtra,avIci|saNGAta|vEtaraRI|alakzmI|AjU|kAraRA|yAtanA|tIvravedanA
ccs,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,15,0.5172,nAraka|naraka|niraya|durgati|tapana|rOrava|kAlasUtra|preta,avIci|mahArOrava|saNGAta|vEtaraRI|alakzmI|AjU|kAraRA|yAtanA
fri,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,11,0.3793,naraka|niraya|tapana|preta|alakzmI|nirfti|pIqA|vyaTA,nAraka|durgati|avIci|mahArOrava|rOrava|saNGAta|kAlasUtra|vEtaraRI
gra,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,3,0.1034,tapana|nirfti|vizwi,nAraka|naraka|niraya|durgati|avIci|mahArOrava|rOrava|saNGAta
gst,praTamaM kARqam|narakavargaH|,9,praTamaM kARqam,narakavargaH,,29,0,0.0000,,nAraka|naraka|niraya|durgati|tapana|avIci|mahArOrava|rOrava
