ref_id,parvan,verse,headword_slp1,marker,confidence,edition_ref,evidence_tier,bori_locus,verdict,cascade_tier,retrieved_form_slp1,quote
PWG-L35162-MBH1.6613,1,6613,dyut,zu lesen,high,,quote-exact,"01,163.7",confirmed,local-GRETIL,dyotayantI,". {#(vidyut) dyotayantI diSaH sarvAH#} 4,2031. 1,6613 (wo {#dyotayantI#} zu lesen ist). R. 3,4,8. KUMĀRAS. 6,4. {#ozaDyo#} [Page3-0789] {#jvalamAnASca dy"
PWG-L97121-MBH1.6736,1,6736,Saktin,zu lesen,high,Bomb,quote-exact,"01,166.37",confirmed,local-GRETIL,SaktinaM tu,"{#Saktin#}¦ m. eine Nebenform von 4. {#Sakti#} MBH. 1,6736 (wo mit der ed. Bomb. {#SaktinaM tu#} zu lesen ist). 6792 ({#Saktrin#} ed. Calc.)."
PWG-L48055-MBH1.6825,1,6825,praRipAta,zu lesen,high,,quote-exact,"01,161.18",confirmed,local-GRETIL,praRipAtena,"n.) H. 1503. HALĀY. 4,64. BHAG. 4,34. MBH. 1,6825 ({#praRipAtena#} zu lesen). 3,15199. 5,54. 1522. <ls n=""MB"
PWG-L81815-MBH1.6925,1,6925,yA,zu lesen,high,,quote-exact,"01,175.1",confirmed,local-GRETIL,drOpadIM drazwum,"AsAya#} R. 2,45,1. MBH. 3,785. {#drOpadIM drazwum#} 1,6925. R. GORR. 2,25,24 (wo {#hantuM#} zu lesen ist). KATHĀS. 18,86. {#asavaH prayAnti#} {%entfliehen%} GĪT. 10,11. {#m"
PWG-L39123-MBH1.7139,1,7139,niyojya,zu lesen,high,,quote-exact,"05,174.3",confirmed,local-GRETIL,kecicCAlvapatiM gatvA niyojyamiti menire,","">12929. {#BavatAM tu niyojyo 'smi#} 13,4065. 1,7139 (wo {#niyojyAH#} zu lesen ist). {#kecicCAlvapatiM gatvA niyojyamiti menire#} wohl so v. a. {%dass man ihm"
PWG-L69955-MBH1.7197,1,7197,karz,st.,medium,Bomb,quote-exact,"06,55.108",confirmed,local-GRETIL,sA visfzwA,"%grosse Schlechtigkeiten%} Spr. 4573. — {#vipra#} MBH. 1,7197 liest die ed. Bomb. {#sA visfzwA#} st. {#viprakfzwA#}. {#viprakfzwa#} {%entfernt%} VS. PRĀT. 1,144. {#viprakfzwaM"
PWG-L93876-MBH1.7300,1,7300,vizahya,zu lesen,high,,quote-exact,"03,120.12",confirmed,local-GRETIL,hi raRotkawasya,"tadasmAkam#} MBH. 2,875. {#a˚#} {%unausführbar%}: {#karman#} 1,7300. {#na vidyate jAmbavatIsutasya raRe 'vizahyaM#} (so ist zu lesen) {#hi raRotkawasya#} 3,10271. 10275. <ls n=""MBH. 3"
PWG-L82136-MBH1.7343,1,7343,yuga,fehlerhaft,high,Bomb,quote-exact,"01,190.15",confirmed,local-GRETIL,caturyujAM,"ga#} (unter {#IzA#}), {#uru˚, kali˚, go˚, caturyuga#} ({#caturyugAM#} MBH. 1,7343 fehlerhaft für {#caturyujAM#}, wie die ed. Bomb. liest), {#tri˚#} (adj. auch <ls"
PWG-L113928-MBH1.7452,1,7452,sTA,fehlerhaft,high,,quote-exact,"01,69.46",confirmed,local-GRETIL,taM Darmam,",1. — 2〉 {%an Etwas gehen, obliegen%}: {#taM Darmam#} MBH. 1,7452. — {#prA#} PRAŚNOP. 2,4. 3,1. 5 fehlerhaft für {#pra#}. — {#pratyA#} {%Stand halten%} AV. 5,5,3. — {#"
PWG-L101797-MBH1.7460,1,7460,Sru,fälschlich,medium,Calc,quote-exact,"01,196.1",confirmed,local-GRETIL,ityanuSuSruma,"s>. ŚAT. BR. 1,6,1,3. {#ityanuSuSruma#} BHAG. 1,44. MBH. 1,7460. ({#˚SuSrumaH#} fälschlich ed. Calc.). 13,3815. 5702."
PWG-L112718-MBH1.7760,1,7760,sEnika,zu lesen,high,Bomb,quote-exact,"01,202.9",confirmed,local-GRETIL,sEnikAMSca,"uppen%} AK. 2,8,2,29. H. 763. MED. k. 171. MBH. 1,7760 ({#sEnikAMSca#} mit der ed. Bomb. zu lesen). 7665. 3,797. 15751. <ls n="""
PWG-L33916-MBH1.7802,1,7802,duz,zu lesen,high,,quote-exact,"01,206.26",confirmed,local-GRETIL,Darmo na duzyati,"I, 76 zu lesen) KĀM. NĪTIS. 11,36. {#Darmo na duzyati#} MBH. 1,7802. {#cAritryaM duzya"
PWG-L109679-MBH1.8042,1,8042,su,fehlerhaft,high,,quote-exact,"01,213.75",confirmed,local-GRETIL,sute somasahasre,"somaM sutamadya taM mayA#} MBH. 14,277. {#sute somasahasre#} 1,8042. {#sutam#} Spr. (II) 2694 wohl fehlerhaft für {#hutam#}. masc. sg. und pl. {%der Saft%} d. h. <"
PWG-L88101-MBH1.8064,1,8064,var,zu lesen,high,,quote-exact,"01,225.7",confirmed,local-GRETIL,marudgaRavfta,"AB. 86,10. BHAṬṬ. 5,10. {#strIvfta#} M. 7,224. MBH. 1,8064. fgg. R. 1,63,28 ({#marudgaRavfta#} zu lesen). 2,39,35. RAGH. 12,61. VARĀH. BṚH. S. 48,48. {#avfta#}"
PWG-L104247-MBH1.8077,1,8077,sad,st.,medium,Bomb,quote-exact,"05,181.15",confirmed,local-GRETIL,saMnyazIdam,",16,2. {%niedersitzen%}: {#˚zIdatuH#} (so beide Ausgg.) MBH. 1,8077. {#saMnyazIdam#} (so ed. Bomb. st. {#saMnyasIdam#} der ed. Calc.) 5,7177. {#˚zIdatAm#} <ls n"
