L,headword_slp1,parvan,verse,marker,confidence,category,delta
27574,jIvaka,13,5741,zu lesen,high,absent,
27574,jIvaka,13,5741,st.,medium,absent,
109682,su,13,5850,fehlerhaft,high,absent,
113579,staB,13,5891,zu lesen,high,absent,
103843,saYj,13,5904,fehlerhaft,high,absent,
60618,mih,13,5979,fehlerhaft,high,absent,
85270,revant,13,6236,zu lesen,high,absent,
85270,revant,13,6242,zu lesen,high,absent,
85270,revant,13,6242,st.,medium,absent,
106410,sar,13,6321,fälschlich,medium,absent,
111845,susaMsfzwa,13,6460,fehlerhaft,high,absent,
17594,kuqI,13,6471,fehlerhaft,high,absent,
103843,saYj,13,6476,fehlerhaft,high,absent,
81526,yam,13,6699,zu lesen,high,absent,
101745,SrIvatsa,13,6808,zu lesen,high,absent,
102040,Sliz,13,6812,st.,medium,absent,
120956,pUj,13,6852,lies,high,absent,
120956,pUj,13,6852,st.,medium,absent,
116719,hA,13,6907,st.,medium,absent,
104747,saMDimant,13,6971,st.,medium,absent,
34271,dfQavya,13,7112,fehlerhaft,high,absent,
109138,sic,13,7329,zu lesen,high,absent,
109138,sic,13,7329,st.,medium,absent,
23861,glA,13,7365,st.,medium,absent,
88101,var,13,7473,zu lesen,high,absent,
60544,miD,13,7510,zu lesen,high,absent,
60544,miD,13,7510,st.,medium,absent,
24376,cakrin,13,7570,st.,medium,absent,
116716,hahA,13,7639,zu lesen,high,absent,
37008,DfzwaraTa,13,7676,zu lesen,high,absent,
103114,saMskaraRa,13,7713,fälschlich,medium,absent,
28717,tap,14,21,zu lesen,high,absent,
116085,har,14,115,zu lesen,high,absent,
57948,mard,14,228,fehlerhaft,high,absent,
59390,mA,14,237,zu lesen,high,absent,
59390,mA,14,237,st.,medium,absent,
59390,mA,14,237,st.,medium,absent,
109440,siD,14,249,zu lesen,high,absent,
55166,BU,14,474,zu lesen,high,absent,
55050,Buj,14,562,lies,high,absent,
82186,yuj,14,562,fälschlich,medium,absent,
83705,ras,14,571,fehlerhaft,high,absent,
65920,asUy,14,603,fehlerhaft,high,absent,
106410,sar,14,758,fälschlich,medium,absent,
119138,uru,14,879,zu lesen,high,absent,
28981,tark,14,913,lies,high,absent,
29010,tarj,14,913,fehlerhaft,high,absent,
50772,prAnAqI,14,989,fehlerhaft,high,absent,
51178,pretyaBAvika,14,1039,fehlerhaft,high,absent,
96328,vyaBicArin,14,1111,zu lesen,high,absent,
90142,vAraka,14,1130,fehlerhaft,high,absent,
90142,vAraka,14,1130,fehlerhaft,high,absent,
104875,saMnyAsin,14,1196,zu lesen,high,absent,
103521,saMkleSa,14,1236,fehlerhaft,high,absent,
103043,saMSleza,14,1236,st.,medium,absent,
64960,arajas,14,1283,st.,medium,absent,
86101,lavaRa,14,1411,zu lesen,high,absent,
86101,lavaRa,14,1411,st.,medium,absent,
98188,Sarkara,14,1540,st.,medium,absent,
9940,i,14,1558,fehlerhaft,high,absent,
107795,sahAyavant,14,1695,zu schreiben,high,absent,
115989,han,14,1814,fälschlich,medium,absent,
55050,Buj,14,1852,st.,medium,absent,
84873,ruc,14,1881,zu lesen,high,absent,
84873,ruc,14,1881,st.,medium,absent,
113579,staB,14,1899,zu lesen,high,absent,
116085,har,14,1932,zu lesen,high,absent,
57252,man,14,2109,zu lesen,high,absent,
57252,man,14,2109,st.,medium,absent,
39775,nirhrAda,14,2118,fälschlich,medium,absent,
102984,saMSaptaka,14,2172,fälschlich,medium,absent,
64055,apacAyin,14,2198,zu lesen,high,absent,
64055,apacAyin,14,2198,zu lesen,high,absent,
68146,upacAyin,14,2198,fehlerhaft,high,absent,
64055,apacAyin,14,2198,statt,medium,absent,
118938,Ikz,14,2201,lies,high,absent,
118938,Ikz,14,2201,zu lesen,high,absent,
118938,Ikz,14,2201,st.,medium,absent,
103267,saMhlAda,14,2202,fehlerhaft,high,absent,
103267,saMhlAda,14,2202,fehlerhaft,high,absent,
106569,sarj,14,2208,zu lesen,high,absent,
28871,tar,14,2310,lies,high,absent,
107462,sah,14,2352,fehlerhaft,high,absent,
49253,pranftya,14,2639,fehlerhaft,high,absent,
84408,rAtrI,14,2668,fehlerhaft,high,absent,
91581,vid,14,2678,fehlerhaft,high,absent,
90375,vArdDaka,14,2747,zu lesen,high,absent,
90375,vArdDaka,14,2747,st.,medium,absent,
45776,put,14,2752,zu lesen,high,absent,
40628,nud,14,2780,lies,high,absent,
47782,praKyAla,14,2852,fehlerhaft,high,absent,
95778,vEdyasika,14,2852,fehlerhaft,high,absent,
55885,Bojya,15,10,zu lesen,high,absent,
55885,Bojya,15,10,st.,medium,absent,
43801,paS,15,82,zu lesen,high,absent,
92652,vimuKa,15,93,fehlerhaft,high,absent,
68213,upaDA,15,183,zu lesen,high,absent,
54474,BAjya,15,201,fehlerhaft,high,absent,
48066,praRetar,15,208,lies,high,absent,
32399,dA,15,241,lies,high,absent,
51365,plu,15,421,zu lesen,high,absent,
95179,veRI,15,630,fehlerhaft,high,absent,
104610,saMtAnaka,15,708,st.,medium,absent,
13958,Odumbara,15,726,lies,high,absent,
51077,prI,15,742,lies,high,absent,
114391,sparh,15,826,zu lesen,high,absent,
114391,sparh,15,826,st.,medium,absent,
103225,saMharza,15,840,st.,medium,absent,
103677,saMGarza,15,840,st.,medium,absent,
106569,sarj,15,934,fehlerhaft,high,absent,
56343,maYjizWa,16,44,fehlerhaft,high,absent,
75841,duranta,16,109,zu lesen,high,absent,
62349,mOlya,16,195,fehlerhaft,high,absent,
85093,ruh,16,200,lies,high,absent,
88101,var,17,27,zu lesen,high,absent,
88101,var,17,27,st.,medium,absent,
48224,praticikIrzu,18,21,fehlerhaft,high,absent,
116085,har,18,76,zu lesen,high,absent,
58721,mahABArata,18,192,zu lesen,high,absent,
58721,mahABArata,18,192,st.,medium,absent,
111464,suvarRaka,18,306,st.,medium,absent,
49320,prapUrvaga,1,722,zu schreiben,high,corroborated,0
97001,SaMs,1,722,zu lesen,high,corroborated,0
97001,SaMs,1,722,st.,medium,corroborated,0
15789,kalya,1,865,lies,high,corroborated,0
15789,kalya,1,865,st.,medium,corroborated,0
61994,menakA,1,943,fälschlich,medium,corroborated,1
35683,dvijihva,1,1543,falsch,medium,corroborated,0
27984,jyotika,1,1558,fehlerhaft,high,corroborated,0
57588,manda,1,1905,zu lesen,high,corroborated,0
49908,pravepana,1,2150,fälschlich,medium,corroborated,0
19368,kolAhala,1,2367,fälschlich,medium,corroborated,1
61005,muni,1,2520,st.,medium,corroborated,0
91766,vidyutparRA,1,2557,fälschlich,medium,corroborated,0
116882,hAhA,1,2559,zu lesen,high,corroborated,0
76821,nayana,1,2580,zu lesen,high,corroborated,0
76821,nayana,1,2580,st.,medium,corroborated,0
30785,trayastriMSat,1,2601,st.,medium,corroborated,0
82480,yogAcArya,1,2607,fehlerhaft,high,corroborated,0
112537,sfmara,1,2626,unrichtig,medium,corroborated,0
35574,dvApara,1,2713,zu lesen,high,corroborated,1
37847,narizyant,1,3140,zu lesen,high,corroborated,0
46684,pUru,1,3160,zu lesen,high,corroborated,0
35421,druhyu,1,3160,fälschlich,medium,corroborated,2
54640,BArgava,1,3217,st.,medium,corroborated,1
49291,prapAta,1,3652,fälschlich,medium,corroborated,1
60453,mitrasAha,1,3690,zu lesen,high,corroborated,1
7611,ahaMyAti,1,3767,druckfehler,high,corroborated,0
48619,pratiSravas,1,3796,fehlerhaft,high,corroborated,1
32738,dASeya,1,4015,fälschlich,medium,corroborated,1
44229,pAtaka,1,4203,zu lesen,high,corroborated,2
44229,pAtaka,1,4203,st.,medium,corroborated,2
77527,nizparigraha,1,4600,st.,medium,corroborated,0
28354,takz,1,4605,lies,high,corroborated,0
88523,vartitavya,1,4893,statt,medium,corroborated,0
20033,klIba,1,5142,lies,high,corroborated,-1
45294,pitfzvasar,1,7151,fälschlich,medium,corroborated,0
86664,lokanATa,2,9,fälschlich,medium,corroborated,-3
47277,pENga,2,112,zu lesen,high,corroborated,0
61125,muzwi,2,198,fälschlich,medium,corroborated,0
93388,viSva,2,303,zu lesen,high,corroborated,0
40016,nizada,2,326,fehlerhaft,high,corroborated,0
51405,PaRavant,2,363,zu lesen,high,corroborated,1
87077,lOhitya,2,374,st.,medium,corroborated,1
113683,stutiSastra,2,452,fehlerhaft,high,corroborated,0
102946,saMvftti,2,459,fehlerhaft,high,corroborated,1
102946,saMvftti,2,459,fehlerhaft,high,corroborated,1
15249,karUza,2,577,zu lesen,high,corroborated,0
87204,vakradanta,2,577,st.,medium,corroborated,0
111944,susTala,2,590,zu lesen,high,corroborated,0
111944,susTala,2,590,st.,medium,corroborated,0
102764,saMyuga,2,680,zu lesen,high,corroborated,1
95612,vEkfta,2,854,zu lesen,high,corroborated,0
98558,SAkala,2,999,fehlerhaft,high,corroborated,-1
84843,rukma,2,1256,falsch,medium,corroborated,3
54346,Baz,2,1424,zu lesen,high,corroborated,3
54346,Baz,2,1424,st.,medium,corroborated,3
89483,vAcyatA,2,1657,zu lesen,high,corroborated,2
89483,vAcyatA,2,1657,st.,medium,corroborated,2
54187,Barita,2,2061,st.,medium,corroborated,0
108433,sAman,2,2627,zu lesen,high,corroborated,0
42647,parikarzaRa,2,2692,zu lesen,high,corroborated,1
32024,dama,3,121,lies,high,corroborated,0
32024,dama,3,121,st.,medium,corroborated,0
96153,vEhAyasa,3,638,zu lesen,high,corroborated,0
49739,pravaRa,3,662,zu lesen,high,corroborated,0
49739,pravaRa,3,662,st.,medium,corroborated,0
49739,pravaRa,3,662,st.,medium,corroborated,0
60902,muYja,3,986,druckfehler,high,corroborated,0
61190,mUka,3,1557,lies,high,corroborated,0
61190,mUka,3,1557,st.,medium,corroborated,0
113871,sTaRqila,3,1615,fehlerhaft,high,corroborated,0
39318,niruja,3,1640,fehlerhaft,high,corroborated,0
81259,yaTApUrva,3,1754,zu schreiben,high,corroborated,0
91867,viDAtavya,3,1802,zu lesen,high,corroborated,1
57429,manoraTa,3,1820,zu lesen,high,corroborated,1
113205,sOBAgya,3,2081,zu lesen,high,corroborated,1
88301,varuRa,3,2171,fehlerhaft,high,corroborated,0
58080,malina,3,2338,zu lesen,high,corroborated,0
81147,yatra,3,2368,st.,medium,corroborated,0
60501,miTyA,3,2414,falsch,medium,corroborated,0
91213,vicyuti,3,2565,zu lesen,high,corroborated,0
57588,manda,3,2661,zu lesen,high,corroborated,0
72313,Kalu,3,2675,lies,high,corroborated,0
72313,Kalu,3,2675,st.,medium,corroborated,0
81142,yatna,3,2807,zu lesen,high,corroborated,0
85641,lakzay,3,2922,zu lesen,high,corroborated,1
40893,nEtyaka,3,8083,falsch,medium,corroborated,0
89991,vAmana,3,8108,fehlerhaft,high,corroborated,0
95694,vEtaraRa,3,8148,druckfehler,high,corroborated,0
14804,kanyakubja,3,8313,zu lesen,high,corroborated,0
90750,viMSati,3,8379,zu lesen,high,corroborated,0
53268,braDnaSva,3,8606,fehlerhaft,high,corroborated,0
65240,alaka,3,11813,lies,high,corroborated,0
100910,SEla,3,12141,fehlerhaft,high,corroborated,0
96002,vEvasvata,3,12755,zu lesen,high,corroborated,-2
79188,pratiBA,3,12799,zu lesen,high,corroborated,-3
87755,vanaKaRqa,3,13147,fehlerhaft,high,corroborated,-1
113287,sOraTa,3,13297,fehlerhaft,high,corroborated,0
53080,bfhadgarBa,3,13321,fehlerhaft,high,corroborated,0
98396,SaSAda,3,13515,st.,medium,corroborated,0
114981,svap,3,13984,fehlerhaft,high,corroborated,0
114872,svaj,3,14724,zu lesen,high,corroborated,0
13462,ekEkaSya,3,14903,statt,medium,corroborated,0
85886,lajj,3,15213,zu lesen,high,corroborated,-1
101021,SESupAla,3,15252,fehlerhaft,high,corroborated,-1
108384,sAptapada,3,15439,fälschlich,medium,corroborated,0
41515,paYcaSata,3,15628,zu schreiben,high,corroborated,-3
61440,mfga,3,15670,zu lesen,high,corroborated,-1
61440,mfga,3,15670,st.,medium,corroborated,-1
43687,palAyana,3,15772,zu lesen,high,corroborated,1
29355,tAra,3,16110,fälschlich,medium,corroborated,-1
85650,lakzmaRa,3,16198,fehlerhaft,high,corroborated,2
20082,kzaRadAcara,3,16357,fälschlich,medium,corroborated,-2
59841,mAnava,3,16637,fehlerhaft,high,corroborated,0
108519,sAmIpya,3,16665,zu lesen,high,corroborated,0
108519,sAmIpya,3,16665,st.,medium,corroborated,0
101448,Srama,3,16775,zu lesen,high,corroborated,0
99133,SASvata,3,16806,fehlerhaft,high,corroborated,0
46024,purA,3,16846,st.,medium,corroborated,2
96356,vyalIka,3,17004,zu lesen,high,corroborated,0
57557,manTa,3,17228,zu lesen,high,corroborated,-1
57557,manTa,3,17228,st.,medium,corroborated,-1
85625,lakzaRa,4,70,st.,medium,corroborated,0
89873,vAdin,4,99,zu lesen,high,corroborated,0
84187,rAjavasati,4,120,zu lesen,high,corroborated,0
45704,puRqarIka,4,259,zu lesen,high,corroborated,0
107320,savarRavarRa,4,294,fehlerhaft,high,corroborated,0
116888,hiMs,4,446,zu lesen,high,corroborated,0
90535,vASitA,4,512,zu lesen,high,corroborated,0
90535,vASitA,4,512,st.,medium,corroborated,0
61262,mUrC,4,515,zu lesen,high,corroborated,0
105980,samupAlamBa,4,648,zu lesen,high,corroborated,0
105980,samupAlamBa,4,648,st.,medium,corroborated,0
116888,hiMs,4,728,st.,medium,corroborated,-2
116888,hiMs,4,728,st.,medium,corroborated,-2
71681,koSa,4,964,fehlerhaft,high,corroborated,0
90818,vikarzaRa,4,1386,zu lesen,high,corroborated,-1
36813,Dur,4,1414,zu lesen,high,corroborated,0
81304,yaTAmAnam,4,1771,st.,medium,corroborated,0
14598,katara,4,1969,lies,high,corroborated,-1
79054,pragAQa,4,1977,zu lesen,high,corroborated,-2
39277,nirASa,4,2034,zu lesen,high,corroborated,0
42582,parAyaRa,4,2269,st.,medium,corroborated,0
42582,parAyaRa,4,2269,st.,medium,corroborated,0
60905,muYjakeSa,5,77,fälschlich,medium,corroborated,0
103473,saMkula,5,106,zu lesen,high,corroborated,0
58556,mahAnasa,5,698,fehlerhaft,high,corroborated,0
6806,avisTala,5,934,zu lesen,high,corroborated,0
23661,gras,5,1107,st.,medium,corroborated,0
51454,Pal,5,1117,st.,medium,corroborated,0
62316,mOna,5,1621,fälschlich,medium,corroborated,0
95253,veda,5,1663,zu lesen,high,corroborated,-1
122576,sAdfSya,5,1747,zu lesen,high,corroborated,-1
122576,sAdfSya,5,1747,st.,medium,corroborated,-1
83439,raTAgra,5,1832,fehlerhaft,high,corroborated,-1
48777,pratIpa,5,2041,zu lesen,high,corroborated,0
105820,samucCeda,5,2150,zu lesen,high,corroborated,-1
35489,drORI,5,2191,fehlerhaft,high,corroborated,1
46137,purumitra,5,2207,lies,high,corroborated,0
95431,vedya,5,2562,zu lesen,high,corroborated,0
105728,samAsTa,5,6029,fehlerhaft,high,corroborated,2
96006,vEvAhika,5,6073,zu lesen,high,corroborated,0
83480,raTezA,5,7214,zu lesen,high,corroborated,0
103877,saMjYA,5,7278,zu schreiben,high,corroborated,0
59010,mahAvrata,5,7281,zu lesen,high,corroborated,0
54581,BArata,5,7283,st.,medium,corroborated,2
27502,jihma,5,7361,falsch,medium,corroborated,0
48223,praticikIrzA,5,7393,fehlerhaft,high,corroborated,0
48223,praticikIrzA,5,7393,st.,medium,corroborated,0
41580,paYcAlaka,5,7504,fehlerhaft,high,corroborated,1
121669,yaTAparam,6,28,fehlerhaft,high,corroborated,1
46547,puzya,6,80,zu lesen,high,corroborated,1
51281,prozWapada,6,82,fälschlich,medium,corroborated,1
87192,vakra,6,85,zu lesen,high,corroborated,-3
23796,grAmya,6,168,st.,medium,corroborated,0
41452,paYcaBOtika,6,186,fehlerhaft,high,corroborated,0
44036,pAYcaBOtika,6,186,fälschlich,medium,corroborated,0
50403,prAgAyata,6,203,fälschlich,medium,corroborated,1
67323,ilAvfta,6,233,lies,high,corroborated,0
102918,saMviDi,6,244,zu lesen,high,corroborated,0
102918,saMviDi,6,244,st.,medium,corroborated,0
29251,tAmasa,6,339,fehlerhaft,high,corroborated,0
53632,brAhmaRa,6,341,fehlerhaft,high,corroborated,0
87025,lohitya,6,343,st.,medium,corroborated,0
14199,kakza,6,356,fehlerhaft,high,corroborated,1
44666,pArasika,6,373,fälschlich,medium,corroborated,1
35893,dvIpa,6,404,st.,medium,corroborated,0
57413,manonuga,6,491,zu lesen,high,corroborated,-1
90149,vAraRa,6,1763,st.,medium,corroborated,0
83366,raTacakra,6,1894,st.,medium,corroborated,-3
86854,lomapravAhin,6,1919,st.,medium,corroborated,0
97909,Samana,6,1943,druckfehler,high,corroborated,-2
78524,pAriBadraka,6,2099,st.,medium,corroborated,0
86860,lomavAhin,6,2829,st.,medium,corroborated,-3
43520,paryavaskanda,6,3319,fälschlich,medium,corroborated,0
41753,paRqita,6,3910,fehlerhaft,high,corroborated,0
95642,vEcitravIrya,6,4726,fälschlich,medium,corroborated,0
46755,pUrva,6,4967,zu lesen,high,corroborated,-1
58010,marzaRIya,7,70,zu lesen,high,corroborated,0
58010,marzaRIya,7,70,st.,medium,corroborated,0
113195,sOBa,7,395,zu lesen,high,corroborated,0
32352,daSeraka,7,397,zu lesen,high,corroborated,0
108316,sAntara,7,452,fehlerhaft,high,corroborated,0
108316,sAntara,7,462,zu lesen,high,corroborated,0
44840,pArSva,7,800,lies,high,corroborated,2
44840,pArSva,7,800,st.,medium,corroborated,2
25943,cEtraseni,7,916,fälschlich,medium,corroborated,0
102040,Sliz,7,1168,druckfehler,high,corroborated,-1
108131,sAtyaka,7,1441,zu schreiben,high,corroborated,3
94954,vfndAraka,7,1610,fälschlich,medium,corroborated,3
36440,Darmin,7,1663,zu lesen,high,corroborated,3
61867,meGavega,7,1899,st.,medium,corroborated,0
88971,vasAtIya,7,1934,st.,medium,corroborated,0
40057,nizka,7,2361,lies,high,corroborated,0
45729,puRyajana,7,2403,lies,high,corroborated,0
45723,puRyakft,7,2720,lies,high,corroborated,3
45723,puRyakft,7,2720,st.,medium,corroborated,3
39851,nivedana,7,3203,zu lesen,high,corroborated,0
39851,nivedana,7,3203,statt,medium,corroborated,0
39163,nirapekza,7,4250,zu lesen,high,corroborated,0
23829,grAhya,7,4337,zu lesen,high,corroborated,1
92490,viBu,7,6944,zu lesen,high,corroborated,1
43685,palAy,7,6985,st.,medium,corroborated,1
100666,SUla,7,8151,zu lesen,high,corroborated,0
114102,sTURAkarRa,7,8226,fälschlich,medium,corroborated,-1
87163,vaktavya,7,9153,lies,high,corroborated,0
87163,vaktavya,7,9153,st.,medium,corroborated,0
26354,jagadyoni,7,9506,zu lesen,high,corroborated,-2
26354,jagadyoni,7,9506,st.,medium,corroborated,-2
36143,Danva,7,9536,zu lesen,high,corroborated,-1
102815,saMvatsara,7,9596,st.,medium,corroborated,-1
114028,sTita,7,9625,st.,medium,corroborated,-1
55779,BErava,8,63,st.,medium,corroborated,0
96350,vyarTa,8,339,zu lesen,high,corroborated,2
44177,pARqaveya,8,1634,zu lesen,high,corroborated,0
110882,suBra,8,1765,fehlerhaft,high,corroborated,0
80374,madraka,8,1855,st.,medium,corroborated,2
40926,nEmiza,8,2100,zu lesen,high,corroborated,0
39163,nirapekza,8,2411,zu lesen,high,corroborated,0
96209,vyaNga,8,2526,fehlerhaft,high,corroborated,0
82541,yoDa,8,2557,zu lesen,high,corroborated,3
111045,suyantrita,8,4246,fehlerhaft,high,corroborated,0
93078,vivaSa,8,4327,zu lesen,high,corroborated,0
93078,vivaSa,8,4327,st.,medium,corroborated,0
62295,mOQya,9,232,fälschlich,medium,corroborated,0
96248,vyatikzepa,9,789,fehlerhaft,high,corroborated,0
87898,vanAnta,9,1334,st.,medium,corroborated,0
96209,vyaNga,9,1388,zu lesen,high,corroborated,1
96209,vyaNga,9,1388,st.,medium,corroborated,1
40928,nEmizIya,9,2175,st.,medium,corroborated,-1
81528,yama,9,2547,fehlerhaft,high,corroborated,0
36103,Danurvaktra,9,2564,zu lesen,high,corroborated,0
47087,pfTuSrava,9,2564,fehlerhaft,high,corroborated,0
70523,kAlakaRWa,9,2571,zu lesen,high,corroborated,0
70523,kAlakaRWa,9,2571,st.,medium,corroborated,0
71084,kumBARqakodara,9,2571,st.,medium,corroborated,0
69573,kandara,9,2627,st.,medium,corroborated,0
40657,nftyapriya,9,2628,fälschlich,medium,corroborated,0
80758,meGakarRA,9,2648,st.,medium,corroborated,0
102375,SvetAnulepana,9,2760,zu lesen,high,corroborated,-1
56294,macakruka,9,3032,st.,medium,corroborated,0
50438,prAgrya,9,3256,zu lesen,high,corroborated,0
50103,prasAdana,9,3527,fehlerhaft,high,corroborated,2
55779,BErava,10,392,st.,medium,corroborated,0
38716,niketa,11,140,zu lesen,high,corroborated,0
33995,duzprasADana,11,222,zu lesen,high,corroborated,0
98366,SaSabindu,12,999,fälschlich,medium,corroborated,-1
97001,SaMs,12,1061,zu lesen,high,corroborated,3
97001,SaMs,12,1061,st.,medium,corroborated,3
37814,narayAna,12,1383,zu lesen,high,corroborated,0
92206,viparyaya,12,1734,zu schreiben,high,corroborated,1
47926,prajana,12,2274,st.,medium,corroborated,0
47291,pEjavana,12,2306,lies,high,corroborated,0
89907,vAnaprasTa,12,2325,fälschlich,medium,corroborated,0
113992,sTApya,12,2431,zu lesen,high,corroborated,0
95806,vEnayika,12,2538,fehlerhaft,high,corroborated,0
73215,grAmayAjaka,12,2874,lies,high,corroborated,0
102928,saMviBAjya,12,2879,fehlerhaft,high,corroborated,0
39028,nimaya,12,2923,zu lesen,high,corroborated,0
39028,nimaya,12,2923,st.,medium,corroborated,0
44343,pAdapa,12,3305,lies,high,corroborated,0
44343,pAdapa,12,3305,lies,high,corroborated,0
44343,pAdapa,12,3305,st.,medium,corroborated,0
94815,vftra,12,3660,fehlerhaft,high,corroborated,0
113992,sTApya,12,3672,zu schreiben,high,corroborated,0
96445,vyasana,12,3910,zu lesen,high,corroborated,0
96446,vyasana,12,3910,fehlerhaft,high,corroborated,0
76490,Darma,12,9232,st.,medium,corroborated,-1
28639,tantu,12,10975,lies,high,corroborated,-1
42852,pariDAna,12,11276,zu lesen,high,corroborated,0
51457,Palaka,12,11276,zu lesen,high,corroborated,0
50763,prADAnika,12,11558,fehlerhaft,high,corroborated,0
97519,SatapaTa,12,11739,zu lesen,high,corroborated,0
60095,mArgitavya,12,11816,st.,medium,corroborated,-1
76674,Dftimaya,12,12060,lies,high,corroborated,0
86899,lolupa,12,12308,zu lesen,high,corroborated,0
93087,vivaha,12,12409,zu lesen,high,corroborated,0
42605,parAvaha,12,12416,fälschlich,medium,corroborated,0
115701,svAyaMBuva,12,12658,zu lesen,high,corroborated,0
106817,sarvadarSin,12,12864,zu lesen,high,corroborated,0
77168,niyama,12,12864,st.,medium,corroborated,0
77168,niyama,12,12864,st.,medium,corroborated,0
55916,BOma,12,12956,fälschlich,medium,corroborated,0
113718,stokaka,12,13869,st.,medium,corroborated,0
72541,gantavya,13,65,st.,medium,corroborated,0
100867,SEkza,13,161,st.,medium,corroborated,2
60034,mArutantavya,13,253,fehlerhaft,high,corroborated,0
112139,sUta,13,256,fehlerhaft,high,corroborated,0
42824,parityajya,13,398,zu lesen,high,corroborated,0
113804,strIpuMsa,13,528,zu schreiben,high,corroborated,0
42384,parama,13,793,zu lesen,high,corroborated,0
121522,mahAnta,13,802,st.,medium,corroborated,0
101849,Sruti,13,823,zu lesen,high,corroborated,-1
113804,strIpuMsa,13,891,zu lesen,high,corroborated,-2
39138,niraYjana,13,1101,falsch,medium,corroborated,0
108182,sADaka,13,1151,zu lesen,high,corroborated,0
37610,nandivarDana,13,1189,fälschlich,medium,corroborated,1
58355,mahAkeSa,13,1202,st.,medium,corroborated,1
117902,hlAdana,13,1257,zu lesen,high,corroborated,1
98050,SaraRAkuru,13,1354,fehlerhaft,high,corroborated,0
53280,brahmakAya,13,1371,zu lesen,high,corroborated,0
53280,brahmakAya,13,1371,st.,medium,corroborated,0
101122,SoBana,13,1392,zu schreiben,high,corroborated,0
46755,pUrva,13,1591,falsch,medium,corroborated,-2
49605,prayAga,13,1723,zu lesen,high,corroborated,0
54690,BAva,13,1878,zu lesen,high,corroborated,0
110214,sutejas,13,2000,fehlerhaft,high,corroborated,0
47664,prakASa,13,2002,zu schreiben,high,corroborated,0
113497,skAnda,13,2013,fehlerhaft,high,corroborated,0
90791,vikatTana,13,2016,zu lesen,high,corroborated,0
41223,pakzahara,13,2059,fehlerhaft,high,corroborated,0
116521,havis,13,2119,zu lesen,high,corroborated,1
39944,niScaya,13,2218,st.,medium,corroborated,0
36186,Dar,13,2567,lies,high,corroborated,-3
95750,vEdehaka,13,2571,fälschlich,medium,corroborated,1
66734,Ayogava,13,2587,lies,high,corroborated,0
66734,Ayogava,13,2587,st.,medium,corroborated,0
18583,kftaka,13,2630,falsch,medium,corroborated,0
27360,jAla,13,2654,st.,medium,corroborated,0
105019,saptapada,13,2702,fehlerhaft,high,corroborated,0
39093,niyama,13,2880,zu lesen,high,corroborated,0
88503,vart,13,2900,fehlerhaft,high,corroborated,0
29880,tIrTayAtrA,13,2900,fälschlich,medium,corroborated,0
82375,yoga,13,3081,st.,medium,corroborated,0
18992,kfsara,13,3259,zu lesen,high,corroborated,0
101531,SrAdDin,13,3532,fehlerhaft,high,corroborated,0
101434,SradDin,13,3532,fälschlich,medium,corroborated,0
100618,SUra,13,3649,statt,medium,corroborated,-1
104143,satyavant,13,3655,fehlerhaft,high,corroborated,0
48211,pratiGAta,13,3750,zu lesen,high,corroborated,0
86456,lIlANga,13,3778,fehlerhaft,high,corroborated,0
113729,stoBa,13,4108,zu lesen,high,corroborated,-2
90297,vAruRa,13,4210,st.,medium,corroborated,0
44627,pAradArika,13,4278,fälschlich,medium,corroborated,0
44895,pArzRikzema,13,4355,zu lesen,high,corroborated,0
72931,gfzwyA,13,4427,zu lesen,high,corroborated,0
68449,upADi,13,4450,lies,high,corroborated,-1
68449,upADi,13,4450,st.,medium,corroborated,-1
20532,kzuD,13,4463,zu lesen,high,corroborated,-2
42197,padmin,13,4471,zu lesen,high,corroborated,-1
88654,varzAcara,13,4527,st.,medium,corroborated,-2
85212,reRuka,13,4607,st.,medium,corroborated,0
102743,saMyamana,13,4858,fälschlich,medium,corroborated,0
49122,pradakziRa,13,4979,st.,medium,corroborated,1
67940,uddIpaka,13,5069,fehlerhaft,high,corroborated,-1
50115,prasADana,13,5075,fälschlich,medium,corroborated,-1
83368,raTacaryA,13,5101,zu lesen,high,corroborated,-1
73862,cirikAka,13,5521,st.,medium,corroborated,0
94317,vihiMsaka,13,5552,zu schreiben,high,corroborated,0
85638,lakzaRya,13,5599,st.,medium,corroborated,0
85308,rEvata,13,5665,st.,medium,corroborated,0
29712,tiryaga,13,5755,statt,medium,corroborated,1
49829,pravAsa,13,5873,zu lesen,high,corroborated,0
42749,paricArika,13,6028,fehlerhaft,high,corroborated,0
115664,svApa,13,6063,fehlerhaft,high,corroborated,0
100356,Sunaka,13,6070,st.,medium,corroborated,0
118958,ucCizwaka,13,6146,zu lesen,high,corroborated,0
90986,vikzit,13,6260,zu lesen,high,corroborated,0
57827,maru,13,6549,st.,medium,corroborated,-1
61761,mfzA,13,6650,falsch,medium,corroborated,0
92225,vipAka,13,6666,zu lesen,high,corroborated,0
60059,mArga,13,6700,st.,medium,corroborated,0
45337,pinAkin,13,6806,druckfehler,high,corroborated,0
89037,vasuDADara,13,6866,st.,medium,corroborated,-1
57466,mantra,13,7082,zu lesen,high,corroborated,0
57466,mantra,13,7082,st.,medium,corroborated,0
114045,sTira,13,7512,st.,medium,corroborated,-1
24296,cakraDara,13,7570,st.,medium,corroborated,-1
47148,pfzaDra,13,7683,zu schreiben,high,corroborated,1
57842,marutta,14,226,fälschlich,medium,corroborated,0
