L,headword_slp1,parvan,verse,marker,confidence,printed_slp1,corrected_slp1,edition_ref,quote
45464,pIWasarpa,3,1397,zu lesen,high,pIWasarpavat(pIWasarpivat?),pIWasarpavat(pIWasarpivat?),,"zavyAGra kimAsse#} (so ist zu lesen) {#pIWasarpavat (pIWasarpivat?)#} MBH. 3,1397. — Vgl. {#pIWa"
9015,Ayati,3,1412,zu lesen,high,,AyatiMrakzan,,"178. 179. MBH. 2,2107. 3,1412. R. 5,76,16 (wo {#tadAtvaM#} für {#tadA tvaM#} zu lesen ist). 90,1. {#AyatiM rakzan#} MBH. 3,14799. {#kaSca pratyakza"
61190,mUka,3,1557,lies,high,dEnya,dEtya,,"ls>H. an. MED. (lies {#dEtya#} st. {#dEnya#}). MBH. 3,1557. VP. 147, N. 1. <div n="""
113871,sTaRqila,3,1615,fehlerhaft,high,,,,zetraM kevalaM sTaRqilaM Bavet#} Spr. (II) 56
39318,niruja,3,1640,fehlerhaft,high,nIruja,,,"{#niruja#}¦ adj. = {#nIruja#} {%gesund%} MBH. 3,1640. Wohl fehlerhaft."
81259,yaTApUrva,3,1754,zu schreiben,high,,,,"P. 3,9,43. 32,14. Getrennt zu schreiben MBH. 3,1754. VARĀH. BṚH. S. 43,11. — 2〉 {#˚pUrva/m#} ad"
117299,huhu,3,1769,zu lesen,high,hUhUH(hUhU),hUhUrgranTiH,,">). herzustellen {#huhUH#} für {#hUhUH (hUhU)#} MBH. 1,2559. 3,1769. R. 6,83,13. 92,70. dagegen ist MĀRK. P. 106,57 {#hUhUScEva#} st. {#huhuScEva#} zu lesen; auch TRIK. 3,5,2 ist {#hUhUrgranTiH#} zu lesen."
93196,viS,3,1775,zu lesen,high,Asanezu,UrO,,"Ś."">78. {#Asanezu#} M. 3,208. fg. YĀJÑ. 1,226. MBH. 3,1775. HARIV. 4568 ({#upaveSya#} zu lesen). {#UrO#} 8745. {#aNke#} R. GORR. 2,74,5. SUŚR. 1,15,7</"
91867,viDAtavya,3,1802,zu lesen,high,viSrAmyatiyaTAkapiH,viDAtavyaM,Bomb,"yaM#} (impers.) {#viSrAmyati yaTA kapiH#} R. 5,7,4. MBH. 3,1802 ({#viDAtavyaM#} mit der ed. Bomb. zu lesen). PAÑCAT. 85,6. — 5〉 {%zu gebrauchen, anzuwenden%}: {#karmaRyezA zazW"
117438,hfdya,3,1818,zu lesen,high,hfdyAni,,,"chte 81,21 ({#hfdyAni#} zu lesen). Schmucksachen MBH. 3,1818. Geruch R. 1,5,15. Spr. (II) 7106."
57429,manoraTa,3,1820,zu lesen,high,˚raTenasaMprAptam,ahodurlaBABilAzImadanaH,,"27,37. {#˚priyatamA#} ŚĀK. 33,2. {#˚raTena saMprAptam#} MBH. 3,1820. {#˚kfto BartA#} HARIV. 10074. Spr. 1307. {#˚druma#} MĀLAV. 46 (VIKR. 13,20 ist mit COWELL zu lesen {#aho durlaBABilAzI madanaH#}). — b〉 N. pr. verschiedener Männer"
114392,spaS,3,1855,fehlerhaft,high,,su˚,Calc,"ls>. adv. 5,51,9. 82,2. MBH. 3,1855 ({#vizpazwam#} fehlerhaft ed. Calc.). {#su˚#} adj. NṚS. TĀP. UP._in_Ind. St. 9,163"
104247,sad,3,1860,zu lesen,high,,tatprasIda,Bomb,"ls>BHAG. 11,25. 31. MBH. 1,1259. 3,1860 ({#tatprasIda#} mit der ed. Bomb. zu lesen). 2529. 12015. 12768. <ls"
113205,sOBAgya,3,2081,zu lesen,high,,rUpa˚,Bomb,"v n=""2"">— b〉 {%das Reizendsein, Schönheit%} (von Personen und Sachen) MBH. 3,2081 ({#sOBAgyena ca#} mit der ed. Bomb. zu lesen). {#rUpa˚#} 13,306. R. GORR. 1,25,14. 3,22,13"
55050,Buj,3,2167,zu lesen,high,,sahaBokzyasi,Bomb,"itrAH srajastaTA . BUzaRAni ca muKyAni devAnprApya tu BuNkzva vE ..#} MBH. 3,2167. {#Ayuzyam, yaSasyam, Sriyam, ftam#} M. 2,52. {#trElokyavijayaM putra#} (so ist mit der ed. Bomb. zu lesen) {#saha Bokzyasi#} R. 1,46,14. {#BoktuM rUpam, kund"
88301,varuRa,3,2171,fehlerhaft,high,asI,varaRa,,"} und {#asI#}), MĀRK. P. 61,5. — 3〉 n. MBH. 3,2171 fehlerhaft für {#varaRa#}."
116085,har,3,2177,fehlerhaft,high,,pravyA,,",325. — 7〉 DRAUP. 6,7. MBH. 2,2649. 3,2177 fehlerhaft für {#pravyA#}. — {#pratyAharaRa#} fgg. — {#vyA#} 1〉 {%aussprechen, s"
91581,vid,3,2203,zu lesen,high,kaTaMvidyAMnalaMnfpam,avidat,Bomb,"vidyAtsuyoDanaH#} MBH. 1,6040. {#kaTaM vidyAM nalaM nfpam#} 3,2203. {#na tvAM vidyurjanAH#} (so ist mit NAL. und der ed. Bomb. zu lesen) 2621. R. 2,46,31. {#avidat#} BHĀG. P. 3,8,17. {#v"
106569,sarj,3,2218,fehlerhaft,high,skanDadeSe'sfjattasyasrajam,'sajat,,">— 10〉 {%hängen —, befestigen an%}: {#skanDadeSe 'sfjattasya srajam#} MBH. 3,2218. wohl fehlerhaft für {#'sajat#}. Vgl. {#ava-sarj#} 6〉, {#vyava-sarja#}, {#samava-#} und {#samA-sa"
104762,saMDya,3,2256,zu lesen,high,,saMDyAMkartuMpUjanam,Bomb,". B. H. 91 (41). No. 326. BRAHMA-P. in LA. (III) 55,16. MBH. 3,2256 ({#anvAsta#} mit der ed. Bomb. zu lesen). R. GORR. 2,47,25. {#saMDyAM kartuM pUjanam#} PAÑCAR. 1,3,49. {#˚vanda"
54756,BAz,3,2282,zu lesen,high,haMsavalgupraBAzita,evaMpraBAzyate,,". {#haMsavalgupraBAzita#} {%Rede%} VARĀH. BṚH. S. 68,7. MBH. 3,2282. HARIV. 11874 (wo vielleicht {#praBAzitam#} zu lesen ist). {#evaM praBAzyate#} {%wird genannt%} BHĀG. P. 3,11,14. {#praBAzita#} {%erk"
15071,kar,3,2289,lies,high,,akarizyannete,,"n=""R."">2,21,31. 3,27,3. 40,6. MBH. 3,2289. BHAG. 18,73. PAÑCAT. 32,11. 191,6 [Page2-0083] (lies: {#akarizyannete#} und {#aBavizyadetezAm#}). I, 358. Hierher lässt s"
100350,SuD,3,2289,fehlerhaft,high,,caturTe'haniSuDyate,,"staM vIraM prati#} {%sich klären, klar werden%} MBH. 1,5042. 3,2289. R. 2,90,10. 5,41,7. unmotivirt ṢAḌV. BR. 5,10. {#SuDyeran#} YĀJÑ. 1,21. {#caturTe 'hani SuDyate#} (wohl fehlerhaft) am Ende eines Śloka VET. in LA. (III) 8,11. {#aSuDyamAn"
104247,sad,3,2322,zu lesen,high,aNgAni,himAgame,,"KLATT zu lesen) {#himAgame#} Spr. (II) 5388. {#aNgAni#} MBH. 3,2322. PRAB. 89,15</"
58080,malina,3,2338,zu lesen,high,,,,"n. 104. HALĀY. 4,42<"
88503,vart,3,2347,fehlerhaft,high,,punarAvavftekriyA,,"asya tadA budDirdamayantyAM nyavartata#} {%war der Art in Bezug auf%} 3,2347. — [Page6-0764] — 13〉 {#parA nivavfte kriyA#} RAGH. 12,56 fehlerhaft für {#punarAvavfte kriyA#} oder {#parA vavftire kriyAH#}, wie die v. l. hat. {#n"
113416,sOhfda,3,2358,zu lesen,high,,tatsOhfdaMyatkriyateparasmin,,"x> {%Zuneigung, Freundschaft%} H. 730. HALĀY. 4,21. MBH. 3,2358. R. 2,115,17. 3,4,19. 4,31,7 ({#tacca sO˚#} zu lesen). ŚĀK. 120. {#tatsOhfdaM yatkriyate parasmin#} Spr. (II) 2483. <ls n=""S"
47920,praC,3,2392,zu lesen,high,taTAtenapfcCyamAnA,satEHpfzwastaTA,,">. 14,423. pass.: {#taTA tena pfcCyamAnA#} MBH. 3,2392. {#apfcCyata#} KATHĀS. 9,85. RĀJA-TAR. 4,63 (wo {#apfcCyata#} zu lesen ist). {#sa tEH pfzwastaTA#} M. 1,4. 119. 2,110</ls"
99255,SiKA,3,2398,fehlerhaft,high,"agniSiKa,agniSiKA",SAlA,,"}. — Vgl. {#agniSiKa, agniSiKA#} ({%Flamme%} auch MBH."
32377,dah,3,2400,lies,high,,pattriRAm,,"ŚR. 1,10,13. 25,8,19. M. 8,189. MBH. 3,2400. HIḌ. 1,6. 43. PAÑCAT. 98,1. BHĀG. P. 5,14,4. {%angebrannt%} (von Speisen): {#pattrARAm#} (lies: {#pattriRAm#}) {#AmizaM parRam . gorvarjyamAmizaM kzIraM Pale jambIramAmizam . AmizaM ra"
42000,pad,3,2426,zu lesen,high,kulaSIla˚,mftO,,"2,25,42. {#varRarUpopasaMpanna#} M. 4,68. {#kulaSIla˚#} MBH. 3,2426. — 5〉 {%heimgegangen, gestorben%} H. 373. H. an. (hier ist {#mfte#} st. {#mftO#} zu lesen). HALĀY. 3,7. {#Srotriye tUpa- saMpanne trirAtramaSucirBavet#} M. 5,81."
86354,liK,3,2453,zu lesen,high,,SElamulliKantamivAmbaram,,"reibend%} d. i. {%bis dahin reichend%} R. 6,15,25. MBH. 3,2453 (wo {#Kamulli˚#} st. {#samu˚#} mit N. 12,39 zu lesen ist). {#SElamulliKantamivAmbaram#} R. 4,43,38. 5,3,36. <ls n=""R."
86354,liK,3,2453,fehlerhaft,high,samulliKadBiH,Kamulli˚,,"Ani nAmAni samullileKa ..#} TRIK. 1,1,2. — {#samulliKadBiH#} MBH. 3,2453 fehlerhaft für {#Kamulli˚#}. — {#upa#} {%umreissen, umgrenzen%}: {#vedIM lakzaRenopaliKya"
15071,kar,3,2469,zu lesen,high,karavAmahe,karavAmahe,,"Sch.), {#karavAmahE#} ({#karavAmahe#} MBH. 1,5166. 3,2469. R. 1,18,19, wo aber nach den Corrigg. {#karavAmahE#} zu lesen ist; GORR. 1,18,12: {#karavAma he#}); potent. {#kuryAm#}, med."
106590,sarp,3,2513,zu lesen,high,anusarpati,upasfpya,,",22 ({#anusarpati#} MBH. 1,6201). MBH. 2,2701. 3,2513 ({#upasarpa#} nach NĪLAK. = {#upasasarpa#}; v. l. {#upasarpya#}, wofur {#upasfpya#} zu lesen ist). 14875. 4,1601. 5,7525. <ls"
70285,kAtara,3,2549,lies,high,cintayaDvaMsakAtarAH,kAtala,,"Auch nom. abstr. {%Verzagtheit%}: {#cintayaDvaM sakAtarAH#} MBH. 3,2549. — 2〉 lies {#kAtala#} 1〉."
27221,jAti,3,2556,zu lesen,high,jAtidravyavinAkfta,jYAti˚,,"2,"">St. {#jAtidravyavinAkfta#} N. (BOPP) 13,25 ist mit MBH. 3,2556 {#jYAti˚#} zu lesen. — 5〉 {%Gattung%} (im Gegens. zur Art), {%Art%} (im Gegens."
91213,vicyuti,3,2565,zu lesen,high,tanayAByAm,,,"st). — 2〉 {%Trennung von%} (abl.): {#tanayAByAm#} MBH. 3,2565</l"
42307,par,3,2595,zu lesen,high,aSruparipUrRAkzI,nadISa,,"ls>R. GORR. 2,67,6. PAÑCAT. 62,25. {#aSruparipUrRAkzI#} MBH. 3,2595. PAÑCAT. 64,4. {#sPurannIlAbjAnAM prakaraparipUrRA iva diSaH#} Spr. 771. {#koSaScApi viSIrRo 'yaM paripUrRaH#} (so ist zu lesen) MBH. 14,60. {#nadISa#} Spr. 153. {#candra#}"
102199,SvApada,3,2651,zu lesen,high,,SArdUlajyezWAH,,">14,2,4,16. <ls n="""
57588,manda,3,2661,zu lesen,high,mandaMpraKyAyamAnenarUpeRa,mandam,,"adv. {%schwach, wenig%}: {#mandaM praKyAyamAnena rUpeRa#} MBH"
72313,Kalu,3,2675,lies,high,Kalu,,,"{#Kalu#}¦ Sp. 607, Z. 21 lies N. 16,18 (= MBH. 3,2675) st. N. 16,8."
104028,sattvavant,3,2678,fehlerhaft,high,,sattvavant,Calc,". gehört hier und im folgenden comp. zu beiden Wörtern) MBH. 3,2678. {#sattvotsAhavant#} Spr. (II) 7049. {#satyavant#} fehlerhaft für {#sattvavant#} RAGH. 5,56 (ed. Calc. richtig) und PAÑCAR. 1,8,3"
33063,diS,3,2727,zu lesen,high,tayApradeSitorAjAbrAhmaRAn—prAsTApayat,sItayA,,"fordern, antreiben%}: {#tayA pradeSito rAjA brAhmaRAn — prAsTApayat#} MBH. 3,2727. R. 3,66,7. 24 (wo {#sItayA#} zu lesen ist). — intens. {%aufmuntern%}: {#utta^ro Du\ro va^hati pra\dedi^Sat#} ṚV. 1"
57252,man,3,2759,fehlerhaft,high,,aBfta,,". — γ〉 {%Absicht%} H. 1383. MBH. 3,1788. 2759. BHĀG. P. 1,7,32. — Vgl. {#amata#} ({#amata#} KĀM. NĪTIS. 13,67 fehlerhaft für {#aBfta#}; vgl. 75). — 11〉 partic.</"
81142,yatna,3,2807,zu lesen,high,,,,"Y. 34,42. {%Bemühung, Mühe, Anst"
85641,lakzay,3,2922,zu lesen,high,caritAnyasyalakzaya,caritAnyasyalakzaya,,">d. i. {#aBi#} = {#la˚#} zu lesen ist). {#caritAnyasya lakzaya#} MBH. 3,2922. KĀM. NĪTIS. 7,15. {#karO vi"
64180,apaSrayin,3,3076,fehlerhaft,high,apaSrayin,apA˚,,"{#apaSrayin#}¦ MBH. 3,3076 fehlerhaft für {#apA˚#}."
116085,har,3,3993,zu lesen,high,,Ajahruru˚,Bomb,"BH. 1,127. 2023. 3764. 3,3993 ({#Ajahruru˚#} mit der ed. Bomb. zu lesen). 13,530. 6073. 14,48. <ls n=""M"
4111,apAvftta,3,4052,zu lesen,high,pratigrahAdapAvfttaH,apAvfta,,"ehrt, verschmähend%}, mit dem abl.: {#pratigrahAdapAvfttaH#} MBH. 3,4052. — c〉 (vom caus.) {%zurückgeschoben%}: {#˚kapAwaka#} VID. 212. Oder ist hier etwa {#apAvfta#} zu lesen? — 2〉 n. {%das Wälzen des Pferdes%} H. 1245."
107621,sahasraka,3,5037,fehlerhaft,high,abdasahasrakI,˚sahasrikI,Bomb,"araSatam#} 89,b,35. — {#abdasahasrakI#} MBH. 3,5037 fehlerhaft für {#˚sahasrikI#}, wie die ed. Bomb. liest. — Vgl. {#sahasr"
105505,samAkula,3,5891,zu lesen,high,Sastravarza˚(vimarda),dvija,,"."">3,2404. {#Sastravarza˚ (vimarda)#} 4075. 5891 (st. {#druma#} ist vielleicht {#dvija#} zu lesen). 8246. 3,11333. 12106. <ls n"
37862,nart,3,6087,lies,high,pranfttavAn,pranfttavAn,,"arzAvizwaH pranftyavAn#} (lies {#pranfttavAn#}) {%fing an zu tanzen%} MBH. 3,6087. {#pranftta#} {%der zu tanzen"
49254,pranftyavant,3,6087,fehlerhaft,high,pranftyavant,pranfttavant,,"{#pranftyavant#}¦ MBH. 3,6087 fehlerhaft für {#pranfttavant#} (s. u. {#nart#} mit {#pra#})."
37862,nart,3,6088,zu lesen,high,,mArutodDUtaSiKarEHpranfttaivaparvataH,,"su pranfttAsu#} 1844. 13,1426. 3,6088 (wo im ersten Verse {#pranftte#} für {#pranftye#} zu lesen ist). {#mArutodDUtaSiKarEH pranftta iva parvataH#} R. 2,95,8. 5,54,12"
46350,puzkara,3,6130,zu lesen,high,,,,"3,"">8371. 13,1696. 4887. 6130. HARIV. 12018. 12022. 12273 (vgl. 11558, wo wohl eben so zu lesen ist). 15910. 15912. R. 1,61,4. <ls n=""R."
76833,naraka,3,7039,zu lesen,high,,,Bomb,". neutr. Spr. 4649. — 5〉 Z. 3 MBH. 3,7039 (so ist zu lesen st. 7029) hat die ed. Bomb. {#tato gacCedanarakaM#"
53875,BaYj,3,7214,zu lesen,high,Bagno'kzaH,qimBaH,,") PAÑCAR. 2. 2,38</ls"
89991,vAmana,3,8108,fehlerhaft,high,,vAminI,,"eines nach Viṣṇu,"
87589,vataraRI,3,8148,fehlerhaft,high,vataraRI,vEtaraRI,Bomb,"{#vataraRI#}¦ MBH. 3,8148 fehlerhaft für {#vEtaraRI#}, wie die ed. Bomb. liest."
95694,vEtaraRa,3,8148,druckfehler,high,,vataraRI,Calc,"(in Kaliṅga) MBH. 2,373. 3,6054. 8148 ({#vataraRI#} in der ed. Calc. Druckfehler). 10098. 6,342 (VP. 184). HARIV. 7736"
14804,kanyakubja,3,8313,zu lesen,high,,kanyakubja,,"27. H. 973 (nach dem Sch. auch f.). MBH. 3,8313. KATHĀS. 21,86. Der Name gedeutet R. 1,34,37 (nach den Corrigg. {#kAnyakubja#} zu lesen, aber GORR. 1,35,35 liest auch {#kanyakubja#}). — Vgl. {#kan"
103025,saMSraya,3,8370,zu lesen,high,atrasaMSrayArTAya,svanIqasaMSrayaMcakratuH,,"v n=""1"">— 6〉 {%das Sichbegeben an einen Ort%}: {#atra saMSrayArTAya#} MBH. 3,8370. {#vanasaMSrayAt#} MĀRK. P. 109,23. 24 (wohl {#˚saMSrayaH#} zu lesen). {#svanIqasaMSrayaM cakratuH#} PAÑCAT. 76,9. — 7〉 {%das Sichhingeben"
90750,viMSati,3,8379,zu lesen,high,narakAnekaviMSatim,viMSatyAvatsarEH,,". {#narakAnekaviMSatim#} M. 4,87. 5,35. MBH. 3,8379 ({#viMSatiM#} zu lesen, eine von NĪLAK. gekannte Lesart). {#viMSatyA vatsarEH#} RĀJA-TAR. 6,20"
88503,vart,3,8438,fehlerhaft,high,tvayABiguptaMkOnteyaMnavivarteyurantikam,nyavartata,Bomb,"ch an Jemand wagen%}: {#tvayABiguptaM kOnteyaM na vivarteyurantikam#} MBH. 3,8438. — 6〉 {#vyavartata#} R. 2,42,10 fehlerhaft für {#nyavartata#}, wie die ed. Bomb. liest. {#vivftta#} fehlerhaft für {#vivfta"
88503,vart,3,8438,fehlerhaft,high,tvayABiguptaMkOnteyaMnavivarteyurantikam,vivfta,Bomb,"ch an Jemand wagen%}: {#tvayABiguptaM kOnteyaM na vivarteyurantikam#} MBH. 3,8438. — 6〉 {#vyavartata#} R. 2,42,10 fehlerhaft für {#nyavartata#}, wie die ed. Bomb. liest. {#vivftta#} fehlerhaft für {#vivfta#} CHĀND. UP. 2,22,5. {#vivfttadaMz"
38048,naS,3,8494,zu lesen,high,Darmo'naSattadA,mahAnDarmonaSizyati,,"Syati#} M. 4,52. {#Darmo 'naSattadA#} MBH. 13,1313. 3,8494. {#tato naNkzyati te DarmaH#} KATHĀS. 15,78. {#jYAnAni naNkzanti#} ({#naNkzyanti#} zu lesen) MBH. 12,1860. {#mahAnDarmo naSizyati#} 4,680. {#nazwo mohaH#}"
46289,puroravas,3,8504,fehlerhaft,high,puroravas,purUravas,,"{#puroravas#}¦ MBH. 3,8504 fehlerhaft für {#purUravas#}."
19905,kruD,3,8545,lies,high,,kruDyet,,"ya SyAmA na krodDumarhati#} N. 18,11. 22,27. MBH. 3,8545. {#na krudDedyaSca sarvasya#} (lies: {#kruDyet#}) 1,3324. R. 6,98,28. {#tatrAkruDyadvfkodaraH#} {%"
88102,var,3,8567,zu lesen,high,,tenacAsmivftApUrvam,,"%es erwählte kein Mann sie%} (zur Gattin), {%es warb Niemand um sie%} MBH. 3,8567. {#na ca kaScidvfRoti tvAm#} (so zu lesen) 16647. {#tena cAsmi vftA pUrvam#} 5,5971. BHĀ"
99812,Siz,3,8603,zu lesen,high,,pARqavaMsma,Bomb,"3242. 7923 (med.). 8603 ({#viSezitum#} = {#viSezayitum#}; statt {#pARqavasya#} ist mit der ed. Bomb. {#pARqavaM sma#} zu lesen). 14,107. 1329. {#madanamapi guRErviSezayantI#} <"
53268,braDnaSva,3,8606,fehlerhaft,high,,vaDryaSva,,"m. N. pr. eines Fürsten MBH. 3,8601. fg. 8606. Wohl fehlerhaft für {#vaDryaSva#}."
41788,pat,3,8717,zu lesen,high,,aBipAtyatAM,,"naM (pariGaM) tadA BrAmya varuRAyAByapAtayat#} HARIV. 13902. MBH. 3,8717 (wo {#aBipAtyatAM#} zu lesen ist). {%hinwerfen%} SĀY._zu_ṚV. 1,52,5 und in der Einl. zu <ls"
12103,upaSama,3,8753,lies,high,jAtenazwayajYotsavakriye,˚me,,"e%}: {#jagatyupaSamaM#} (lies: {#˚me#}) {#jAte nazwayajYotsavakriye#} MBH. 3,8753. {#taTAyamapi kftakartavyaH"
22362,gAh,3,8772,lies,high,˚gAhitEH,˚gAhitEH,,"hite#} (lies: {#˚gAhitEH#}) {%von ihnen, die sich getaucht haben in%} MBH. 3,8772. {#gAQa#} <"
112232,sUd,3,8814,lies,high,˚zUdita,nizU˚,,#} caus. dass.: {#˚zUdita#}
56165,makzika,3,9972,zu lesen,high,makzikAScAdaSaMstatra,makzikAScAdaSaMstatra,,") PRAŚNOP. 2,4. M. 5,133. {#makzikAScAdaSaMstatra#} MBH. 3,9972"
15594,karzaRa,3,10080,zu lesen,high,,karzakAni,,",11,19. {%gepflügtes Land%} MBH. 3,10082; vgl. 10080, wo {#karzaRAni#} für {#karzakAni#} zu lesen ist."
19226,kESika,3,10095,fehlerhaft,high,,kOSikI,,"). — b〉 N. pr. einer Localität oder eines Flusses MBH. 3,10095. — c〉 ein Bein. der Durgā (wohl fehlerhaft für {#kOSikI#}) H. ś. 47. — 4〉 n. oxyt. {%die ges"
82912,rakzya,3,10285,fehlerhaft,high,satyaMtumerakzyatamaMnarAjyam,rakza,,"tama#} {%vor Allem zu hüten%}: {#satyaM tu me rakzyatamaM na rAjyam#} MBH. 3,10285. R. GORR. 2,52,6. M. 8,359. {#rakzya#} MṚCCH. 58,18 fehlerhaft für {#rakza#}, wie schon STENZLER bemerkt hat. — Vgl. {#go˚,"
95668,vEqUrya,3,10306,fehlerhaft,high,maRimaya,vEdurya,,"eines Berges: {#˚parvata#} ({#maRimaya#}) MBH. 3,8343. 10306. HARIV. 9499. 12407. VP. 169. BHĀG. P. 5,16,27. MĀRK. P. 55,9 [Page6-1393] (fehlerhaft {#vEdurya#}). 58,24. Journ. of the Am. Or. S. 7,41. <div n"
116085,har,3,10385,zu lesen,high,mAme\prahA^H,durbale,Bomb,">. {#mA me\ prahA^H#} (TS. PRĀT. 8,8) TS. 2,4,12,3. MBH. 3,10385 ({#prAharadvajram#} mit der ed. Bomb. zu lesen). {#durbale#} 14,247. Spr. (II) 4266. {#kuliSaM tasmE#} BH"
20315,kzip,3,10403,fehlerhaft,high,akzezumfgayAyAMca—madaMvinikzipya,ni,,"len, womit beschäftigen%}: {#akzezu mfgayAyAM ca — madaM vinikzipya#} MBH. 3,10403. — {#nis#} wohl überall fehlerhaft für {#ni#} {%niederlegen, hineinlegen%}: {#niHkziptamAtre garBe#} R. 1,38,21. {#"
101574,Sri,3,10456,fehlerhaft,high,upaSiSriyuH,upasftya,,"bei Jmd%} (acc.) {%einstellen, einfinden%}: {#upaSiSriyuH#} MBH. 3,10456. {#upaSritya#} DHŪRTAS. 85,16 {%hinzutretend%} fehlerhaft für {#upasftya#} — 4〉 med. {%sich gewöhnen an%} (acc.): {#sa"
44971,pAvin,3,10543,zu lesen,high,nadIparamapAvinI,˚pAvanI,,"n#}¦ (von {#pU#}) adj. = {#pAvana#}. {#nadI paramapAvinI#} MBH. 3,10543. Es ist [Page4-0696] viell. {#˚pAvanI#} zu lesen."
13901,Ottara,3,10546,zu lesen,high,,Otra,,"asya ca . agneScEvAtra saMvAdaH kASyapasya ca#} (in Kāśmīra) MBH. 3,10546. Oder ist etwa {#yatro˚#} zu lesen? — Vgl. {#Otra#}."
11389,uddAlaka,3,10603,zu lesen,high,,OddAlaka,,"24. 2,294. fgg. 3,8264. fgg. 10603. — 2〉 n. {%eine Art Honig%} VĀCASP._zu_H. 1214 (es ist wohl {#OddAlaka#} wie im 1sten Śloka zu lesen)."
44228,pAta,3,10646,lies,high,vaqaveivasaMyukteSyenapAte,'mbuDO,,"05. 1907. {#vaqave iva saMyukte SyenapAte#} 3,10646. — 2〉 {%das Sichstürzen in%}: {#varaM vahnO pAtaH#} BHARTṚ. 2,77. {#yAvanmumUrzuH pAtena vyavahAryasti so 'mbuDue#} (lies {#'mbuDO#}) ŚATR. 10,82. {%Fall, Sturz%}: {#na mamAra sa pAtena#} "
40379,nI,3,10656,fehlerhaft,high,matsakASam,apanItA,,"rbeiführen, herführen%}: {#vandiM samAByAnaya#} (sic!) {#matsakASam#} MBH. 3,10656. — {#avA#}, {#avAnItA#} ŚĀK. CH. 125,5 wohl fehlerhaft für {#apanItA#}; die andere Recension (83,9) hat st. desse"
108175,sAdyaHkra,3,10663,fehlerhaft,high,zawsAdyaskAHsarvavedezudfzwAH,sAdyaska,,"yaska#} ĀŚV. ŚR. 9,7,13. {#zawsAdyaskAH sarvavedezu dfzwAH#} MBH. 3,106"
91583,vid,3,10676,fehlerhaft,high,paRqitAH,vidyAt,,"itA ye vAcA jitA meDayA vA vidAnAH#} (= {#paRqitAH#} NĪLAK.) MBH. 3,10676. — 10〉 {#vindyAt#} fehlerhaft für {#vidyAt#} (wie die v. l. häufig hat) von 1. {#vid#} VARĀH. B"
57066,maDuvilA,3,10692,zu lesen,high,,maDurilA,,"maDuvilA#}¦ f. Bein. des Flusses Samaṅgā MBH. 3,10692. Vielleicht ein unregelmässiges adj. von {#maDu#} mit suff. {#ila#} ({%reich an Süssigkeit%}); oder ist etwa {#maDurilA#} zu lesen?"
12669,uzRIgaNga,3,10698,fehlerhaft,high,uzRIgaNga,tUzRIMgaNga,,"{#uzRIgaNga#}¦ MBH. 3,10698 wohl nur fehlerhaft für {#tUzRIMgaNga#} (s. d.) LASSEN (LIA. I, 548, N.): {%die he"
30296,tUzRIMgaNgam,3,10698,zu lesen,high,uzRIgaNge,tUzRIMgaNge,,"einherfliesst%} P. 2,1,21, Sch. Statt {#uzRIgaNge#} MBH. 3,10698 ist wohl {#tUzRIMgaNge#} zu lesen."
56300,majj,3,10756,zu lesen,high,majjayAmAsa,ava,,"aTAn — majjayan — bAREH#} MBH. 8,1220. Statt {#majjayAmAsa#} 3,10756 ist {#sajja˚#} zu lesen, welche Lesart NĪLAK. anführt. — {#ava#} {%unterʼs Wasser drücken%}:"
86488,luYc,3,10760,zu lesen,high,avaluYcyajawAmekAMjuhAvAgnO,ava,,"{#ava#} {%abreissen, ausreissen%}: {#avaluYcya jawAmekAM juhAvAgnO#} MB"
109975,suKozita,3,10866,fehlerhaft,high,,suKocita,,"t, einen behaglichen Aufenthalt gehabt habend%} MBH. 3,3003. 10866. R. 2,92,5 ({#rajanIm#}). {#su˚#} 6. wohl fehlerhaft für {#suKocita#} {%an Freuden gewöhnt%} HARIV. 4833."
48457,pratimAna,3,10879,zu lesen,high,,yam—pratimAnaMprakurvanti,,"=""MBH."">7,4632. 9,93. 14,68. 3,10879 (wo {#prati˚#} st. {#'prati˚#} zu lesen ist). {#yam — pratimAnaM prakurvanti#} BHĀG. P. 7,4,35. = {#dfzwAnta#} Schol"
103164,saMsTAna,3,11017,zu schreiben,high,,vedIsaM˚,,"H."">2,431. 1816. 3,10826. 11017 (S. 570; zu schreiben {#vedIsaM˚#}). 5,4079. 6,480. 12,2112</l"
57103,maDusrava,3,11035,zu lesen,high,Pala,˚sravEH,Bomb,"#}) 1〉 adj. {%Süssigkeit träufelnd%}: {#Pala#} MBH. 3,11035 ({#˚sravEH#} mit der ed. Bomb. zu lesen). 11055. — 2〉 m. Bassia latifolia u"
27058,jalASaya,3,11123,zu lesen,high,mahizAn,jaqa,,"dj. a〉 {%im Wasser ruhend, — liegend%}: {#mahizAn#} MBH. 3,11123. — b〉 {%dumm, einfältig%} ({#jala#} = {#jaqa#}) KATHĀS. 6,58. Auch 132 ist wohl so zu lesen. — 2〉 m. a〉 {%Wasserbehälter, Teich, See, Meer%} AK"
