lemma,cited_N,category,delta,n_loci,source_dict,inheritor,corpus_n
janeSvara,1828,corroborated,0,14,PWG,MW,4
gAnDAra,1839,corroborated,0,54,PWG,MW,1
kftAgni,1850,corroborated,0,1,PWG,MW,4
kftOjas,1850,corroborated,0,1,PWG,MW,4
kfzRa,1892,corroborated,-1,666,PWG,MW,4
jayaDvaja,1893,corroborated,-1,2,PWG,MW,1
krozwu,1906,corroborated,-2,1,PWG,MW,3
gAndinI,1912,corroborated,0,1,PWG,MW,2
gaRqUza,1939,corroborated,1,2,PWG,MW,1
cArudezRa,1940,corroborated,0,3,PWG,MW,4
kftalakzaRa,1940,corroborated,0,3,PWG,MW,4
daSArha,1991,corroborated,0,6,PWG,MW,4
dIkzAmaya,2115,corroborated,0,1,PWG,MW,2
gopAyana,2142,corroborated,1,1,PWG,MW,2
jAmadagnya,2313,corroborated,-3,12,PWG,MW,1
ekadeha,2532,corroborated,0,2,PWG,MW,1
tripAdavigraha,2626,corroborated,0,1,PW,MW,2
kAlanemin,2640,corroborated,1,6,PW,MW,2
trivikrama,2641,corroborated,0,5,PWG,MW,1
jalatA,2932,corroborated,0,2,PWG,MW,1
trEvikrama,3168,corroborated,-1,1,PWG,MW,1
triDAra,3189,corroborated,0,1,PW,MW,3
kelikila,3380,corroborated,0,2,PWG,MW,1
duHsnAna,3413,corroborated,-1,1,PWG,MW,2
kftanAmaka,3436,corroborated,2,1,PW,MW,3
GanIBUta,3484,corroborated,0,1,PWG,MW,1
cakracArin,3494,corroborated,-1,1,PWG,MW,1
goDana,3515,corroborated,0,6,PWG,MW,1
cetana,3587,corroborated,2,5,PWG,MW,2
GfRi,3588,corroborated,1,1,PWG,MW,4
tAlavana,3704,corroborated,0,7,PWG,MW,1
jaladakzaya,3825,corroborated,0,2,PWG,MW,3
goyajYa,3851,corroborated,-1,1,PWG,MW,1
Dana,3886,corroborated,0,117,PWG,MW,1
goloka,3994,corroborated,1,2,PWG,MW,1
kAnIna,4057,corroborated,1,1,PWG,MW,4
capala,4104,corroborated,1,2,PWG,MW,3
dArdura,4162,corroborated,0,1,PWG,MW,2
KawvANgavana,4171,corroborated,0,1,PWG,MW,1
daDyuttara,4216,corroborated,-1,1,PWG,MW,1
ketu,4259,corroborated,-1,6,PWG,MW,4
kArIza,4355,corroborated,2,14,PWG,MW,2
kArIza,4355,corroborated,2,14,PW,MW,2
kAkocCvAsa,4510,corroborated,1,1,PWG,MW,2
jitaSrama,4544,corroborated,0,2,PW,MW,3
kuRqalin,4664,corroborated,-1,4,PWG,MW,1
GanAGana,4759,corroborated,0,1,PWG,MW,2
tapoBft,4849,corroborated,2,1,PWG,MW,2
timi,4915,corroborated,1,4,PWG,MW,2
asti,4955,corroborated,2,7,PWG,MW,3
giripura,5161,corroborated,0,1,PWG,MW,1
jalapUrRa,5196,corroborated,0,1,PW,MW,2
karavIra,5230,corroborated,0,4,PWG,MW,2
dakziRApaTa,5289,corroborated,-2,4,PWG,MW,2
praruh,5327,corroborated,1,1,PWG,MW,2
kEtaveya,5500,corroborated,0,1,PWG,MW,3
dUzaka,5635,corroborated,0,1,PWG,MW,2
janmaBUmi,5747,corroborated,0,1,PWG,MW,2
jaGanya,5817,corroborated,0,4,PWG,MW,1
jagadyoni,5880,corroborated,-1,6,PWG,MW,1
gORya,5907,corroborated,2,3,PWG,MW,1
dakziRApaTika,6144,corroborated,0,1,PWG,MW,1
daSasAhasrika,6312,corroborated,-3,1,PWG,MW,1
SfNga,6424,corroborated,0,13,PWG,MW,3
cAturdEva,6509,corroborated,0,1,PWG,MW,4
girivraja,6598,corroborated,0,1,PWG,MW,3
cAru,6699,corroborated,0,11,PWG,MW,3
jayatsena,6725,corroborated,1,2,PWG,MW,3
cARUra,6726,corroborated,0,13,PWG,MW,3
cAturakza,6746,corroborated,0,1,PWG,MW,1
jalakrIqA,7120,corroborated,0,3,PWG,MW,2
cOra,7125,corroborated,0,4,PWG,MW,3
kovidAra,7169,corroborated,0,2,PWG,MW,1
darpaRa,8317,corroborated,0,1,PWG,MW,3
jaladardura,8427,corroborated,0,1,PWG,MW,4
jAlapAda,8610,corroborated,2,1,PWG,MW,2
devagAnDAra,8689,corroborated,0,10,PWG,MW,3
devAtideva,8814,corroborated,0,2,PWG,MW,3
cAkrika,9047,corroborated,0,1,PWG,MW,1
jYAtikArya,9085,corroborated,0,1,PWG,MW,3
kAlaSambara,9210,corroborated,1,5,PWG,MW,2
Dvaja,9245,corroborated,0,29,PWG,MW,1
Dvaja,9245,corroborated,0,29,PW,MW,1
citrasena,9251,corroborated,0,8,PWG,MW,3
kumBaketu,9254,corroborated,0,1,PWG,MW,4
citrasena,9280,corroborated,1,8,PWG,MW,1
kfzRaja,9322,corroborated,1,5,PW,MW,4
kfzRasUnu,9324,corroborated,0,2,PW,MW,2
kfzRanandana,9331,corroborated,0,1,PW,MW,2
citraGnI,9516,corroborated,-1,1,PWG,MW,4
gaNgAtIrTa,9520,corroborated,-1,1,PWG,MW,4
daSASvameDika,9522,corroborated,-2,1,PW,MW,3
gaNgodBeda,9524,corroborated,-2,1,PWG,MW,3
tapoda,9524,corroborated,-2,42,PW,MW,3
jaGanin,9547,corroborated,0,1,PWG,MW,3
kAlavfkzIya,9570,corroborated,1,1,PWG,MW,3
caturTAMSa,9690,corroborated,0,1,PWG,MW,2
jayanta,9736,corroborated,0,27,PWG,MW,4
gARqIva,9798,corroborated,1,1,PWG,MW,4
citrapawwa,10069,corroborated,0,1,PWG,MW,2
GarmAnta,10130,corroborated,1,8,PWG,MW,1
cAritra,10204,corroborated,-1,3,PWG,MW,1
cara,10316,corroborated,0,59,PWG,MW,3
guha,10478,corroborated,0,26,PWG,MW,1
Koraka,10559,corroborated,1,1,PWG,MW,1
cIrin,10594,corroborated,1,1,PWG,MW,4
caturmuKa,10630,corroborated,2,5,PWG,MW,1
kASyapa,10645,corroborated,0,86,PWG,MW,1
astra,10703,corroborated,3,11,PWG,MW,4
prati,10967,corroborated,1,124,PWG,MW,3
kOSika,11074,corroborated,0,15,PWG,MW,4
kfzRa,11089,corroborated,0,666,PWG,MW,2
OdBijja,11122,corroborated,-1,1,PWG,MW,3
OdBijja,11122,corroborated,-1,1,PW,MW,3
kzetrajYa,11297,corroborated,0,5,PWG,MW,3
triloka,11303,corroborated,0,3,PWG,MW,1
pAdavigraha,11305,corroborated,0,3,PWG,MW,2
Calaka,11476,corroborated,0,1,PWG,MW,2
pAraga,11565,corroborated,0,9,PWG,MW,1
cArunetra,11789,corroborated,-3,2,PWG,MW,2
gAna,11793,corroborated,-3,50,PWG,MW,3
DArin,11986,corroborated,0,1,PWG,MW,1
DArin,11986,corroborated,0,1,PW,MW,1
triparva,12238,corroborated,2,1,PW,MW,2
jamBa,12461,corroborated,-1,4,PWG,MW,3
daMzwrin,12496,corroborated,1,6,PWG,MW,3
daMzwrin,12496,corroborated,1,6,PW,MW,3
gavizWa,12695,corroborated,0,2,PWG,MW,3
godAvarI,12826,corroborated,-1,2,PWG,MW,4
jamBa,12914,corroborated,-1,4,PWG,MW,3
kAlalocana,12941,corroborated,0,1,PWG,MW,3
kubera,13131,corroborated,0,9,PWG,MW,2
tAlu,14273,corroborated,0,2,PWG,MW,1
jagannATa,14394,corroborated,1,46,PWG,MW,1
dAtftva,14414,corroborated,0,1,PWG,MW,3
GaRwAkarRa,14630,corroborated,0,5,PWG,MW,1
janmAspada,14653,corroborated,0,1,PWG,MW,2
cint,14675,corroborated,-1,18,PWG,MW,1
janitra,14730,corroborated,-1,3,PWG,MW,1
GaRwAkarRa,14849,corroborated,0,5,PWG,MW,2
tuRqa,14882,corroborated,0,2,PWG,MW,4
GaRwa,14884,corroborated,0,4,PWG,MW,2
GawiGawa,14884,corroborated,0,1,PWG,MW,2
Dava,14952,corroborated,1,9,PWG,MW,3
vinA,14966,corroborated,1,84,PWG,MW,2
triSarIrin,14982,corroborated,1,1,PWG,MW,2
kESava,15377,corroborated,0,4,PWG,MW,1
BfNgiriwa,15421,corroborated,-1,1,PW,MW,2
golaka,15549,corroborated,1,1,PWG,MW,2
citra,15652,corroborated,-1,26,PWG,MW,2
jagadguru,15699,corroborated,0,8,PWG,MW,2
talaSabda,15742,corroborated,-1,3,PW,MW,3
citrapawa,16001,corroborated,1,2,PWG,MW,1
nikazA,16038,corroborated,-1,1,PWG,MW,1
GAwa,16117,corroborated,0,9,PWG,MW,1
GAwa,16117,corroborated,0,9,PW,MW,1
duHsADya,16132,corroborated,-1,3,PWG,MW,1
pAdaSeza,16218,corroborated,0,1,PWG,MW,2
gAnDarva,16291,corroborated,0,46,PWG,MW,1
gAnDarva,16291,corroborated,0,46,PW,MW,1
kukzi,59,displaced,187,3,PWG,MW,4
candramas,190,displaced,2691,6,PWG,MW,4
tAqakA,218,displaced,4233,1,PWG,MW,3
vftta,335,displaced,5,38,PWG,MW,2
tanaya,477,displaced,102,28,PWG,MW,4
guRa,509,displaced,-49,28,PWG,MW,2
kakudmin,644,displaced,8,5,PWG,MW,2
cakra,652,displaced,66,153,PWG,MW,1
gaya,870,displaced,-237,25,PWG,MW,1
citrasena,889,displaced,-401,8,PWG,MW,2
janaka,982,displaced,1344,3,PWG,MW,1
kfta,1080,displaced,57,164,PWG,MW,2
cAwu,1144,displaced,-165,21,PWG,MW,3
darSana,1285,displaced,-18,29,PWG,MW,1
tretA,1410,displaced,-894,5,PWG,MW,1
kOSika,1457,displaced,-5,15,PWG,MW,3
cyAvana,1512,displaced,14,5,PWG,MW,3
kASya,1521,displaced,-165,77,PWG,MW,2
janamejaya,1655,displaced,15,52,PWG,MW,1
GftAcI,1658,displaced,5529,3,PWG,MW,3
cAkzuza,1669,displaced,-479,29,PWG,MW,3
dASaraTi,1697,displaced,4173,1,PWG,MW,2
jayadraTa,1707,displaced,-4,4,PWG,MW,3
kASaka,1733,displaced,-212,1,PWG,MW,3
kASaya,1734,displaced,-139,5,PWG,MW,4
kASi,1734,displaced,-199,1,PWG,MW,4
kzemaka,1749,displaced,-11,3,PWG,MW,1
kAtyAyana,1768,displaced,1503,7,PWG,MW,3
jantu,1793,displaced,10037,2,PWG,MW,3
AkrIqa,1835,displaced,1833,2,PWG,MW,3
kola,1836,displaced,1745,1,PWG,MW,4
Garma,1840,displaced,8302,2,PWG,MW,4
kArta,1845,displaced,-289,55,PWG,MW,3
carmin,1863,displaced,13151,1,PWG,MW,2
krozwu,1969,displaced,-65,1,PWG,MW,4
citraraTa,1971,displaced,-277,6,PWG,MW,1
cEtraraTi,1972,displaced,-1259,1,PWG,MW,2
kiNkiRIkin,2023,displaced,6938,1,PWG,MW,3
kukura,2030,displaced,-14,2,PWG,MW,1
datta,2033,displaced,-180,109,PWG,MW,4
kfzRa,2039,displaced,21,666,PWG,MW,4
gAndinI,2082,displaced,-170,1,PWG,MW,1
citi,2227,displaced,4043,2,PWG,MW,1
Gana,2660,displaced,951,26,PWG,MW,3
grahaRa,2734,displaced,2673,3,PWG,MW,1
Gaww,3210,displaced,8848,1,PWG,MW,4
CAgala,3275,displaced,2223,1,PWG,MW,2
kfttivAsas,3285,displaced,11601,1,PWG,MW,4
gopatA,3302,displaced,-139,12,PWG,MW,1
ekadeha,3439,displaced,239,2,PW,MW,2
tumba,3479,displaced,-2676,2,PWG,MW,4
duHspfSa,3645,displaced,-435,1,PWG,MW,2
tAla,3711,displaced,7,7,PWG,MW,2
cAturhotra,3772,displaced,-1604,1,PWG,MW,1
jayASis,3784,displaced,2167,2,PWG,MW,1
tanu,3813,displaced,12,25,PWG,MW,1
goloka,3899,displaced,96,2,PWG,MW,2
caraRa,3914,displaced,-189,32,PWG,MW,3
gopati,4067,displaced,3315,2,PWG,MW,2
daMS,4302,displaced,774,11,PWG,MW,4
jIvin,4555,displaced,-699,2,PWG,MW,1
caraRa,4643,displaced,465,32,PWG,MW,3
Cid,4774,displaced,6848,2,PWG,MW,2
niDana,4846,displaced,32,25,PWG,MW,2
cikIrzA,4907,displaced,1541,4,PWG,MW,1
CAgali,5017,displaced,481,1,PWG,MW,4
kOSAmbya,5017,displaced,481,1,PWG,MW,4
kEtaveya,5019,displaced,481,1,PWG,MW,3
kftalakzaRa,5031,displaced,-208,3,PW,MW,3
jalapUrRa,5425,displaced,-229,1,PW,MW,2
jalapUrRa,5429,displaced,-233,1,PW,MW,3
darSana,5460,displaced,184,29,PWG,MW,1
cezwa,5939,displaced,-1870,4,PWG,MW,1
aSruta,6190,displaced,2999,2,PWG,MW,1
dAkziRAtya,6200,displaced,470,3,PWG,MW,2
Gaww,6473,displaced,5585,1,PWG,MW,2
kaSeru,6793,displaced,2344,1,PWG,MW,2
dASArha,6810,displaced,-36,6,PWG,MW,1
citrayoDin,6867,displaced,2328,5,PWG,MW,1
jAmbUnadamaya,6918,displaced,-927,2,PWG,MW,2
GrA,7059,displaced,4277,2,PWG,MW,2
citraka,7074,displaced,-425,4,PWG,MW,2
citraka,7074,displaced,-425,4,PW,MW,2
kEtava,7095,displaced,-34,1,PWG,MW,2
jyezWatA,7164,displaced,105,3,PWG,MW,1
citrasena,7224,displaced,1969,8,PWG,MW,2
tIrRapratijYa,7256,displaced,-41,1,PW,MW,3
jYAtiBeda,7304,displaced,-41,1,PWG,MW,2
Danva,7315,displaced,2025,7,PWG,MW,2
Danva,7315,displaced,2025,7,PW,MW,2
SaMsana,7425,displaced,-43,6,PWG,MW,3
trEkAlya,7446,displaced,-5281,1,PWG,MW,2
kzepya,7524,displaced,-44,1,PWG,MW,2
jyEzWa,7828,displaced,-7718,1,PWG,MW,1
jIvaputra,7848,displaced,43,5,PWG,MW,2
citrasTa,7919,displaced,-51,1,PWG,MW,2
tAraRa,7941,displaced,-53,4,PWG,MW,3
Odumbara,7988,displaced,-6522,1,PWG,MW,3
kApitTika,7988,displaced,-59,1,PWG,MW,3
janacakzus,8050,displaced,-56,1,PWG,MW,1
cakrapARi,8193,displaced,-57,3,PWG,MW,3
ketumAla,8227,displaced,1065,5,PWG,MW,4
cozya,8255,displaced,-57,2,PWG,MW,1
cakrapARi,8376,displaced,-74,3,PWG,MW,3
janeSa,8403,displaced,-66,12,PWG,MW,4
kuSeSaya,8428,displaced,200,2,PWG,MW,2
tAmbUla,8454,displaced,1478,1,PWG,MW,2
tAmbUla,8457,displaced,1475,1,PWG,MW,2
mara,8464,displaced,389,15,PWG,MW,3
mara,8464,displaced,389,15,PW,MW,3
dayA,8486,displaced,705,49,PWG,MW,2
ketumAla,8654,displaced,638,5,PWG,MW,2
goDana,8865,displaced,2048,6,PWG,MW,4
kzar,8898,displaced,2003,5,PWG,MW,3
citra,9062,displaced,183,26,PWG,MW,1
cArin,9139,displaced,-6062,1,PWG,MW,4
kArzRi,9209,displaced,14,9,PWG,MW,2
tApana,9427,displaced,1038,6,PWG,MW,1
tarkita,9467,displaced,-4,1,PW,MW,2
jawa,9551,displaced,104,52,PWG,MW,2
tAlajaNGa,9553,displaced,-7661,1,PWG,MW,2
cAturvidya,9769,displaced,-7600,1,PWG,MW,1
cira,9942,displaced,25,37,PWG,MW,1
cOra,9981,displaced,39,4,PWG,MW,1
cOra,9994,displaced,26,4,PWG,MW,1
cAturhotra,10404,displaced,-8236,1,PWG,MW,3
Koraka,10555,displaced,5,1,PWG,MW,2
tigmatejas,10703,displaced,4184,1,PWG,MW,4
jalaja,10936,displaced,-6,5,PWG,MW,1
cakraDara,10999,displaced,-1648,1,PWG,MW,1
Buvas,11506,displaced,3143,1,PWG,MW,1
ganDarva,11553,displaced,297,46,PWG,MW,4
ganDarva,11793,displaced,57,46,PWG,MW,3
jani,11979,displaced,-136,14,PWG,MW,2
pAdavigraha,12030,displaced,-467,3,PWG,MW,2
pAdavigraha,12030,displaced,-467,3,PW,MW,2
