parvan,cited_verse,pratika_folded_len,outcome,found_address,found_calibrated_N,delta,coverage
3,526,50,retrieved,3.12.66,526,0,0.957
1,6141,38,retrieved,1.157.40,6197,-56,1.0
13,5892,40,retrieved,13.124.13,5892,0,0.882
5,1947,40,retrieved,5.49.30,1948,-1,0.919
12,11822,35,retrieved,12.318.98,11821,1,0.931
1,4572,40,retrieved,1.118.15,4572,0,0.946
3,15229,18,probe-too-short,,,,
2,1575,20,probe-too-short,,,,
14,2295,24,retrieved,14.78.42,2294,1,0.952
2,1546,18,probe-too-short,,,,
12,9153,17,probe-too-short,,,,
3,1283,20,probe-too-short,,,,
3,3888,39,not-retrieved,,,,0.0
1,6056,40,retrieved,1.155.15,6107,-51,1.0
1,5412,36,retrieved,1.136.34,5453,-41,1.0
1,1409,55,retrieved,1.30.26,1409,0,1.0
1,1183,28,retrieved,1.19.26,1183,0,1.0
1,1182,13,probe-too-short,,,,
4,826,39,retrieved,4.23.32,829,-3,0.806
14,568,21,probe-too-short,,,,
5,1030,16,probe-too-short,,,,
13,7253,28,retrieved,13.154.22,7254,-1,1.0
7,6793,20,probe-too-short,,,,
7,672,37,retrieved,7.16.54,672,0,0.853
12,1585,46,retrieved,12.46.33,1585,0,0.628
8,799,26,retrieved,8.20.30,799,0,1.0
6,5632,69,not-retrieved,,,,0.46
13,976,24,retrieved,13.14.383,974,2,0.762
3,17351,13,probe-too-short,,,,
3,11737,26,retrieved,3.160.77,11737,0,0.762
3,10896,37,retrieved,3.141.26,10946,-50,1.0
3,16235,14,probe-too-short,,,,
1,5627,40,retrieved,1.140.86,5675,-48,1.0
2,2355,83,retrieved,2.69.16,2356,-1,1.0
4,727,31,retrieved,4.22.33,726,1,1.0
13,1388,26,retrieved,13.19.8,1388,0,1.0
2,2294,40,retrieved,2.68.45,2295,-1,1.0
7,5229,36,retrieved,7.128.10,5218,11,1.0
1,6196,20,probe-too-short,,,,
3,8309,34,retrieved,3.87.13,8309,0,1.0
13,121,41,retrieved,13.2.37,122,-1,1.0
1,2210,15,probe-too-short,,,,
3,2303,24,retrieved,3.61.7,2303,0,1.0
3,373,18,probe-too-short,,,,
5,432,24,retrieved,5.14.5,429,3,1.0
2,1162,36,retrieved,2.31.58,1162,0,1.0
3,1803,29,retrieved,3.45.4,1804,-1,0.962
3,16625,21,probe-too-short,,,,
2,696,21,probe-too-short,,,,
1,3573,18,probe-too-short,,,,
3,884,19,probe-too-short,,,,
3,1355,14,probe-too-short,,,,
3,1120,27,retrieved,3.30.4,1120,0,0.792
1,5328,66,retrieved,1.134.16,5368,-40,0.683
2,2597,21,probe-too-short,,,,
12,8157,15,probe-too-short,,,,
6,1886,37,not-retrieved,,,,0.0
1,3647,34,retrieved,1.84.27,3472,175,0.871
12,8081,37,retrieved,12.223.24,7971,110,1.0
6,2212,40,retrieved,6.53.19,2212,0,0.694
2,133,17,probe-too-short,,,,
1,7649,16,probe-too-short,,,,
3,1783,38,retrieved,3.43.28,1783,0,1.0
3,15850,19,probe-too-short,,,,
1,4329,32,retrieved,1.108.8,4329,0,1.0
13,747,17,probe-too-short,,,,
12,12200,21,probe-too-short,,,,
1,7913,29,retrieved,1.219.8,7994,-81,0.885
3,1535,24,retrieved,3.38.20,1535,0,0.81
1,6569,19,probe-too-short,,,,
1,4809,40,retrieved,1.123.53,4809,0,0.861
3,11606,37,retrieved,3.158.83,11606,0,1.0
12,10299,27,retrieved,12.284.26,10138,161,0.833
6,75,19,probe-too-short,,,,
13,4095,36,retrieved,13.85.78,4093,2,1.0
1,252,34,retrieved,1.1.259,213,39,1.0
1,4810,18,probe-too-short,,,,
5,1184,39,retrieved,5.35.4,1185,-1,1.0
15,723,31,retrieved,15.27.9,723,0,1.0
14,1758,45,retrieved,14.59.8,1758,0,0.756
8,1836,20,probe-too-short,,,,
4,152,21,probe-too-short,,,,
3,14602,18,probe-too-short,,,,
3,4093,19,probe-too-short,,,,
5,3540,17,probe-too-short,,,,
9,2651,13,probe-too-short,,,,
2,1450,36,retrieved,2.41.18,1450,0,1.0
1,1217,28,retrieved,1.21.13,1217,0,1.0
13,1429,33,retrieved,13.19.49,1429,0,0.897
13,5103,15,probe-too-short,,,,
13,1427,22,probe-too-short,,,,
12,7662,20,probe-too-short,,,,
3,14562,59,retrieved,3.231.49,14562,0,0.698
14,2484,14,probe-too-short,,,,
2,1830,20,probe-too-short,,,,
3,4003,12,probe-too-short,,,,
1,3368,19,probe-too-short,,,,
4,180,11,probe-too-short,,,,
13,1611,39,retrieved,13.23.40,1611,0,1.0
2,26,35,retrieved,2.2.6,26,0,0.906
3,13432,39,retrieved,3.200.83,13432,0,1.0
5,2836,51,not-retrieved,,,,0.362
7,396,45,retrieved,7.11.15,396,0,1.0
3,13351,30,not-retrieved,,,,0.0
14,162,84,retrieved,14.7.10,162,0,0.949
7,1742,16,probe-too-short,,,,
13,3795,29,retrieved,13.80.11,3795,0,1.0
3,164,13,probe-too-short,,,,
13,3827,26,retrieved,13.81.25,3827,0,0.696
4,2238,18,probe-too-short,,,,
14,1392,39,retrieved,14.50.26,1392,0,1.0
1,7847,14,probe-too-short,,,,
3,6036,19,probe-too-short,,,,
3,10832,20,probe-too-short,,,,
5,7246,12,probe-too-short,,,,
4,2072,40,retrieved,4.64.36,2071,1,0.906
5,2776,31,retrieved,5.76.14,2756,20,1.0
4,2105,23,probe-too-short,,,,
3,1617,15,probe-too-short,,,,
5,7273,40,retrieved,5.184.7,7273,0,0.703
3,8173,32,retrieved,3.85.30,8172,1,0.828
7,9212,18,probe-too-short,,,,
3,643,24,retrieved,3.15.8,643,0,0.81
3,643,17,probe-too-short,,,,
12,2689,42,retrieved,12.69.94,2689,0,0.872
2,155,15,probe-too-short,,,,
3,11236,35,retrieved,3.149.12,11280,-44,1.0
1,6546,35,retrieved,1.171.31,6606,-60,1.0
14,86,37,retrieved,14.4.23,86,0,1.0
2,670,77,retrieved,2.16.11,669,1,0.942
7,2734,25,retrieved,7.78.3,2733,1,0.864
9,3585,19,probe-too-short,,,,
6,3897,37,retrieved,6.88.11,3897,0,1.0
7,3863,41,retrieved,7.103.21,3863,0,0.895
3,13954,41,retrieved,3.212.8,13954,0,1.0
3,1288,19,probe-too-short,,,,
1,6375,37,retrieved,1.167.20,6432,-57,0.882
3,8436,39,retrieved,3.92.5,8436,0,1.0
3,251,28,retrieved,3.5.12,251,0,1.0
1,7989,29,retrieved,1.221.28,8071,-82,1.0
2,2590,18,probe-too-short,,,,
12,3136,20,probe-too-short,,,,
13,284,40,retrieved,13.5.22,284,0,0.892
13,514,37,retrieved,13.11.8,514,0,1.0
14,255,30,retrieved,14.9.37,255,0,0.92
1,1886,20,probe-too-short,,,,
13,146,16,probe-too-short,,,,
1,3267,23,probe-too-short,,,,
3,11477,38,retrieved,3.157.27,11518,-41,1.0
3,1761,42,retrieved,3.43.6,1761,0,1.0
3,1828,22,probe-too-short,,,,
13,2992,80,retrieved,13.58.23,2992,0,0.959
3,646,14,probe-too-short,,,,
5,5270,78,retrieved,5.155.28,5191,79,1.0
4,245,24,retrieved,4.9.2,245,0,0.762
1,3010,14,probe-too-short,,,,
3,1828,22,probe-too-short,,,,
3,1196,12,probe-too-short,,,,
5,7246,21,probe-too-short,,,,
13,1462,12,probe-too-short,,,,
7,6436,34,retrieved,7.148.49,6432,4,1.0
12,3128,18,probe-too-short,,,,
1,2774,15,probe-too-short,,,,
1,1035,22,probe-too-short,,,,
3,17127,40,retrieved,3.308.2,17127,0,1.0
13,4099,19,probe-too-short,,,,
14,1096,35,retrieved,14.40.13,1096,0,1.0
2,2125,14,probe-too-short,,,,
3,173,18,probe-too-short,,,,
13,5876,19,probe-too-short,,,,
3,10613,17,probe-too-short,,,,
12,11274,16,probe-too-short,,,,
1,2621,29,retrieved,1.66.57,2621,0,1.0
6,5203,20,probe-too-short,,,,
3,14211,38,retrieved,3.222.4,14211,0,1.0
1,862,33,retrieved,1.4.12,825,37,1.0
3,10774,40,retrieved,3.137.3,10827,-53,1.0
1,7909,17,probe-too-short,,,,
9,669,41,retrieved,9.13.14,669,0,0.895
3,182,20,probe-too-short,,,,
1,2468,19,probe-too-short,,,,
1,72,42,retrieved,1.1.72,26,46,0.897
2,381,58,retrieved,2.9.29,382,-1,0.63
2,2324,80,retrieved,2.68.75,2325,-1,0.947
3,17179,19,probe-too-short,,,,
13,4349,37,retrieved,13.91.24,4349,0,1.0
1,2833,19,probe-too-short,,,,
7,5616,39,retrieved,7.137.2,5610,6,1.0
13,1228,13,probe-too-short,,,,
13,3121,17,probe-too-short,,,,
13,548,40,retrieved,13.12.21,548,0,0.892
1,4195,42,retrieved,1.104.26,4195,0,1.0
7,5743,38,retrieved,7.139.52,5743,0,1.0
3,694,22,probe-too-short,,,,
1,3213,17,probe-too-short,,,,
12,4877,80,retrieved,12.135.26,4824,53,1.0
6,2230,39,retrieved,6.53.37,2230,0,0.833
12,5399,19,probe-too-short,,,,
1,6025,35,retrieved,1.154.19,6075,-50,0.875
5,350,42,retrieved,5.11.9,350,0,0.816
3,8846,20,probe-too-short,,,,
6,472,13,probe-too-short,,,,
3,2751,53,retrieved,3.70.8,2751,0,1.0
3,10835,26,retrieved,3.139.16,10887,-52,1.0
6,3131,40,retrieved,6.71.13,3137,-6,0.917
13,5733,82,not-retrieved,,,,0.493
1,7576,48,retrieved,1.207.32,7642,-66,0.886
13,3844,40,retrieved,13.81.42,3844,0,1.0
4,2362,14,probe-too-short,,,,
9,3268,79,retrieved,9.58.23,3268,0,1.0
14,1934,37,retrieved,14.65.22,1934,0,1.0
2,525,16,probe-too-short,,,,
1,7675,22,probe-too-short,,,,
5,1143,70,retrieved,5.34.49,1142,1,1.0
2,1441,66,retrieved,2.41.9,1441,0,0.968
8,2031,39,retrieved,8.44.8,2031,0,1.0
2,825,37,retrieved,2.21.28,825,0,1.0
8,3650,17,probe-too-short,,,,
5,2572,25,retrieved,5.70.14,2573,-1,0.773
12,5303,78,retrieved,12.140.56,5249,54,1.0
13,914,24,retrieved,13.14.321,912,2,0.81
5,3560,17,probe-too-short,,,,
7,8097,15,probe-too-short,,,,
1,7338,50,retrieved,1.198.10,7404,-66,1.0
3,12341,14,probe-too-short,,,,
4,891,15,probe-too-short,,,,
6,3321,77,not-retrieved,,,,0.479
5,1536,116,retrieved,5.40.5,1537,-1,0.657
1,1444,19,probe-too-short,,,,
9,360,81,retrieved,9.7.40,360,0,0.934
4,284,27,retrieved,4.10.5,284,0,0.696
4,67,38,retrieved,4.3.8,67,0,0.882
8,2050,20,probe-too-short,,,,
12,6798,38,retrieved,12.182.33,6714,84,1.0
3,16350,38,retrieved,3.284.28,16348,2,1.0
3,14562,80,not-retrieved,,,,0.541
9,585,16,probe-too-short,,,,
4,262,27,retrieved,4.9.19,262,0,0.833
13,847,32,retrieved,13.14.254,845,2,0.897
4,1419,27,retrieved,4.45.26,1419,0,0.833
3,10066,29,retrieved,3.112.16,10103,-37,1.0
4,244,17,probe-too-short,,,,
1,80,30,retrieved,1.1.80,34,46,0.875
13,694,13,probe-too-short,,,,
12,9121,37,retrieved,12.254.6,8997,124,1.0
1,80,30,retrieved,1.1.80,34,46,0.875
1,7330,28,retrieved,1.198.2,7396,-66,1.0
14,2039,75,not-retrieved,,,,0.586
3,10600,12,probe-too-short,,,,
1,7051,18,probe-too-short,,,,
3,12755,23,probe-too-short,,,,
1,4457,38,retrieved,1.113.33,4457,0,1.0
3,2090,24,retrieved,3.53.19,2091,-1,1.0
13,29,29,retrieved,13.1.29,29,0,0.692
13,2239,34,retrieved,13.39.8,2239,0,0.793
3,202,32,retrieved,3.3.72,202,0,1.0
3,16698,44,retrieved,3.295.8,16668,30,0.895
1,3470,23,probe-too-short,,,,
13,4020,41,retrieved,13.85.6,4021,-1,1.0
3,16708,74,retrieved,3.295.18,16678,30,0.884
3,15107,14,probe-too-short,,,,
5,7068,52,retrieved,5.178.42,7069,-1,0.939
1,6299,38,retrieved,1.164.5,6356,-57,1.0
2,2709,20,probe-too-short,,,,
8,3281,33,retrieved,8.64.67,3283,-2,1.0
12,4994,43,retrieved,12.138.83,4942,52,1.0
4,1269,19,probe-too-short,,,,
1,5482,37,retrieved,1.138.44,5529,-47,0.882
4,996,81,not-retrieved,,,,0.506
1,3158,22,probe-too-short,,,,
3,1666,21,probe-too-short,,,,
1,6099,38,retrieved,1.156.16,6154,-55,0.853
2,895,35,retrieved,2.23.6,895,0,1.0
14,250,34,retrieved,14.9.32,250,0,1.0
3,1705,31,retrieved,3.41.41,1705,0,0.714
3,16430,41,retrieved,3.287.22,16403,27,0.921
7,7880,14,probe-too-short,,,,
12,5206,28,retrieved,12.139.73,5153,53,1.0
3,2811,46,retrieved,3.72.4,2811,0,0.762
6,6346,18,probe-too-short,,,,
4,999,30,retrieved,4.30.27,997,2,1.0
4,1217,42,retrieved,4.37.22,1217,0,1.0
1,4980,30,retrieved,1.128.17,4980,0,0.815
12,83,34,retrieved,12.3.9,82,1,1.0
3,14357,31,retrieved,3.226.19,14360,-3,0.857
12,9177,38,retrieved,12.257.13,9052,125,0.886
13,1998,42,retrieved,13.30.59,1998,0,0.897
13,1919,32,retrieved,13.29.7,1920,-1,0.897
1,4983,28,retrieved,1.128.20,4983,0,0.96
1,6232,36,retrieved,1.163.26,6349,-117,1.0
1,1586,31,retrieved,1.36.23,1554,32,0.893
4,215,27,retrieved,4.7.1,215,0,1.0
13,4118,42,retrieved,13.85.101,4116,2,1.0
13,6550,40,retrieved,13.142.45,6549,1,1.0
13,2594,38,retrieved,13.48.32,2594,0,1.0
7,1170,40,not-retrieved,,,,0.568
15,449,38,retrieved,15.16.9,450,-1,1.0
3,978,83,retrieved,3.26.15,978,0,0.947
1,4129,64,not-retrieved,,,,0.55
12,2663,38,retrieved,12.69.68,2663,0,1.0
13,173,79,retrieved,13.2.89,174,-1,0.961
12,3445,65,retrieved,12.91.43,3445,0,0.935
13,4435,29,retrieved,13.93.40,4435,0,1.0
2,37,26,retrieved,2.2.17,37,0,1.0
4,2209,51,retrieved,4.68.47,2208,1,0.938
3,1774,44,retrieved,3.43.19,1774,0,1.0
1,1854,19,probe-too-short,,,,
14,239,27,retrieved,14.9.21,239,0,1.0
1,1790,39,retrieved,1.43.25,1790,0,0.722
12,2705,41,retrieved,12.70.5,2683,22,0.842
15,220,39,retrieved,15.6.7,220,0,1.0
3,12226,40,retrieved,3.173.29,12259,-33,0.946
4,2086,13,probe-too-short,,,,
3,15602,27,retrieved,3.266.1,15630,-28,0.875
2,737,34,retrieved,2.18.9,736,1,0.871
12,2654,90,retrieved,12.69.59,2654,0,0.829
7,5235,78,retrieved,7.128.17,5225,10,1.0
3,12150,17,probe-too-short,,,,
5,1356,20,probe-too-short,,,,
12,3850,48,retrieved,12.104.3,3850,0,0.889
12,8791,80,retrieved,12.240.24,8671,120,1.0
1,8192,37,retrieved,1.225.20,8289,-97,1.0
4,222,58,retrieved,4.7.9,223,-1,1.0
3,133,19,probe-too-short,,,,
6,2802,37,retrieved,6.63.23,2802,0,1.0
3,2168,45,retrieved,3.56.9,2168,0,0.905
1,4567,42,retrieved,1.118.10,4567,0,1.0
13,7292,12,probe-too-short,,,,
1,1166,21,probe-too-short,,,,
1,1153,51,retrieved,1.18.42,1115,38,1.0
1,7677,32,retrieved,1.210.26,7745,-68,1.0
3,2555,18,probe-too-short,,,,
3,842,18,probe-too-short,,,,
6,4566,42,retrieved,6.100.37,4566,0,1.0
7,5636,56,retrieved,7.137.22,5630,6,0.865
13,913,19,probe-too-short,,,,
16,142,38,retrieved,16.5.10,142,0,1.0
3,10378,76,retrieved,3.124.8,10439,-61,1.0
4,1351,19,probe-too-short,,,,
3,581,24,retrieved,3.12.121,581,0,1.0
13,2051,42,retrieved,13.32.8,2051,0,1.0
3,1780,25,retrieved,3.43.25,1780,0,1.0
13,2283,26,retrieved,13.40.36,2282,1,1.0
14,1197,15,probe-too-short,,,,
14,1309,40,retrieved,14.46.51,1309,0,1.0
12,6288,41,retrieved,12.118.15,4272,2016,1.0
13,4133,40,retrieved,13.85.116,4131,2,0.811
12,7313,38,retrieved,12.199.111,7218,95,0.882
5,1466,36,retrieved,5.39.21,1466,0,0.879
7,1125,20,probe-too-short,,,,
2,1191,36,retrieved,2.32.9,1191,0,1.0
1,3637,38,retrieved,1.91.11,3637,0,1.0
13,2179,77,retrieved,13.36.15,2179,0,0.89
1,6658,20,probe-too-short,,,,
12,4069,80,retrieved,12.110.17,4029,40,0.961
2,2270,64,retrieved,2.68.20,2270,0,0.721
13,2574,41,retrieved,13.48.13,2575,-1,1.0
8,4564,27,retrieved,8.89.41,4564,0,1.0
7,8918,37,retrieved,7.193.25,8917,1,1.0
12,877,28,retrieved,12.28.44,875,2,1.0
3,12390,12,probe-too-short,,,,
6,5680,39,retrieved,6.119.113,5696,-16,1.0
3,13932,48,retrieved,3.211.13,13932,0,1.0
13,1403,19,probe-too-short,,,,
7,4337,42,retrieved,7.112.47,4338,-1,1.0
13,5091,37,retrieved,13.104.136,5090,1,0.941
14,579,21,probe-too-short,,,,
12,3024,81,retrieved,12.81.1,3024,0,1.0
8,4404,41,retrieved,8.87.32,4404,0,1.0
2,2037,25,retrieved,2.59.8,2037,0,1.0
2,2499,26,retrieved,2.76.9,2498,1,1.0
8,4402,29,retrieved,8.87.31,4403,-1,0.808
8,3763,39,retrieved,8.74.15,3763,0,1.0
2,1968,35,retrieved,2.56.3,1967,1,1.0
2,2384,32,retrieved,2.71.5,2384,0,1.0
3,14541,43,retrieved,3.231.27,14540,1,1.0
3,13730,77,retrieved,3.207.29,13729,1,0.944
3,16713,42,retrieved,3.295.23,16683,30,1.0
12,7513,33,retrieved,12.206.28,7416,97,0.966
13,4694,39,retrieved,13.98.18,4694,0,1.0
5,1100,26,retrieved,5.34.7,1100,0,1.0
1,4489,22,probe-too-short,,,,
1,8142,39,retrieved,1.223.67,8232,-90,1.0
3,16775,18,probe-too-short,,,,
5,256,38,retrieved,5.9.28,256,0,0.794
3,1381,39,retrieved,3.35.6,1381,0,1.0
3,14702,26,retrieved,3.233.54,14702,0,1.0
12,3812,35,retrieved,12.103.19,3812,0,0.906
3,17158,29,retrieved,3.309.6,17158,0,0.923
12,7111,19,probe-too-short,,,,
12,6403,25,retrieved,12.141.29,5293,1110,0.682
7,7742,82,retrieved,7.172.8,7751,-9,0.859
7,9401,45,retrieved,7.201.11,9404,-3,1.0
14,2521,79,retrieved,14.85.12,2521,0,0.947
11,462,21,probe-too-short,,,,
4,354,21,probe-too-short,,,,
2,1674,26,retrieved,2.47.12,1673,1,0.957
4,1494,41,retrieved,4.47.23,1493,1,0.973
7,8584,37,retrieved,7.188.11,8584,0,0.806
7,3512,59,retrieved,7.95.22,3507,5,0.891
5,9,20,probe-too-short,,,,
5,5890,22,probe-too-short,,,,
5,5248,20,probe-too-short,,,,
1,5374,22,probe-too-short,,,,
1,6680,24,retrieved,1.175.33,6743,-63,1.0
8,697,31,retrieved,8.18.12,738,-41,1.0
12,12405,46,retrieved,12.328.41,12405,0,0.872
3,9929,50,retrieved,3.108.10,9936,-7,0.717
8,1797,57,retrieved,8.39.17,1797,0,0.926
1,1133,84,retrieved,1.18.22,1095,38,1.0
2,1485,38,retrieved,2.42.12,1487,-2,1.0
2,1558,45,retrieved,2.44.40,1558,0,1.0
3,17198,28,retrieved,3.310.21,17198,0,0.783
13,3441,40,retrieved,13.69.12,3441,0,1.0
1,5618,22,probe-too-short,,,,
3,13155,41,retrieved,3.192.14,13154,1,0.892
13,4557,17,probe-too-short,,,,
14,2773,37,retrieved,14.90.83,2771,2,0.903
1,5321,15,probe-too-short,,,,
13,522,23,probe-too-short,,,,
3,647,35,retrieved,3.15.12,647,0,1.0
12,3637,17,probe-too-short,,,,
12,5349,44,retrieved,12.141.31,5295,54,1.0
3,2512,33,retrieved,3.64.113,2513,-1,0.6
3,15433,39,retrieved,3.260.29,15433,0,1.0
3,10406,19,probe-too-short,,,,
3,2406,22,probe-too-short,,,,
12,10386,25,retrieved,12.284.112,10224,162,0.727
3,12789,28,retrieved,3.187.44,12786,3,0.84
3,12084,20,probe-too-short,,,,
9,3239,42,retrieved,9.57.64,3224,15,1.0
7,7301,27,retrieved,7.163.22,7314,-13,0.818
1,2089,30,retrieved,1.54.23,2059,30,1.0
11,522,20,probe-too-short,,,,
3,11141,27,retrieved,3.146.72,11188,-47,1.0
1,6374,36,retrieved,1.167.19,6431,-57,1.0
12,10375,45,retrieved,12.284.101,10213,162,1.0
9,1334,16,probe-too-short,,,,
2,215,60,retrieved,2.5.81,215,0,0.92
2,65,38,retrieved,2.3.8,65,0,1.0
1,5781,22,probe-too-short,,,,
7,5228,40,retrieved,7.128.9,5217,11,1.0
9,2940,30,retrieved,9.51.16,2940,0,0.852
1,8000,21,probe-too-short,,,,
15,135,24,retrieved,15.3.75,135,0,1.0
3,14504,40,retrieved,3.230.50,14503,1,0.944
1,7982,25,retrieved,1.221.21,8064,-82,0.85
13,2650,29,retrieved,13.50.10,2650,0,0.808
4,2319,21,probe-too-short,,,,
14,2396,23,probe-too-short,,,,
5,4059,44,retrieved,5.121.12,4007,52,0.854
13,4900,27,retrieved,13.102.58,4900,0,1.0
11,616,29,retrieved,11.21.14,616,0,1.0
3,12844,32,retrieved,3.188.40,12844,0,1.0
7,5135,10,probe-too-short,,,,
3,10659,18,probe-too-short,,,,
1,3118,82,retrieved,1.74.127,3114,4,1.0
3,641,18,probe-too-short,,,,
3,8214,36,retrieved,3.85.72,8214,0,1.0
1,6257,43,retrieved,1.162.17,6314,-57,1.0
13,7570,43,retrieved,13.162.38,7569,1,1.0
3,8221,40,retrieved,3.85.78,8220,1,1.0
1,7021,38,retrieved,1.187.17,7087,-66,0.912
8,3384,26,retrieved,8.68.5,3380,4,1.0
3,2276,23,probe-too-short,,,,
5,3337,41,retrieved,5.94.8,3294,43,1.0
3,601,20,probe-too-short,,,,
12,6676,52,retrieved,12.179.24,6594,82,0.918
1,3272,35,retrieved,1.77.17,3251,21,0.906
1,26,16,probe-too-short,,,,
2,634,39,retrieved,2.14.70,634,0,0.917
1,1025,34,retrieved,1.13.6,991,34,0.903
1,4654,36,retrieved,1.120.15,4654,0,0.909
1,8331,15,probe-too-short,,,,
1,2199,25,retrieved,1.59.2,2199,0,0.818
6,253,83,retrieved,6.7.1,254,-1,0.756
13,2156,39,retrieved,13.35.15,2156,0,1.0
8,3920,23,probe-too-short,,,,
7,2142,12,probe-too-short,,,,
1,6752,18,probe-too-short,,,,
3,790,17,probe-too-short,,,,
9,446,20,probe-too-short,,,,
1,1822,47,retrieved,1.45.10,1786,36,1.0
3,10661,12,probe-too-short,,,,
12,5697,20,probe-too-short,,,,
1,258,22,probe-too-short,,,,
3,655,41,retrieved,3.15.20,655,0,0.946
9,221,22,probe-too-short,,,,
3,13848,28,retrieved,3.209.7,13863,-15,1.0
5,2978,59,retrieved,5.83.59,2978,0,0.982
13,5063,21,probe-too-short,,,,
3,10540,37,retrieved,3.130.5,10597,-57,1.0
13,2359,20,probe-too-short,,,,
15,668,16,probe-too-short,,,,
3,11699,27,retrieved,3.160.39,11699,0,0.667
7,2249,39,retrieved,7.60.1,2249,0,1.0
1,3071,38,retrieved,1.74.84,3071,0,1.0
3,2355,22,probe-too-short,,,,
3,12655,18,probe-too-short,,,,
3,12927,33,retrieved,3.188.122,12926,1,0.967
1,8442,37,retrieved,1.233.14,8540,-98,1.0
14,534,27,retrieved,14.19.3,534,0,0.958
1,1734,39,retrieved,1.42.10,1734,0,1.0
15,91,30,retrieved,15.3.31,91,0,0.852
3,10030,37,retrieved,3.111.4,10061,-31,1.0
1,7910,26,retrieved,1.219.5,7991,-81,0.87
3,12850,33,retrieved,3.188.45,12849,1,0.9
3,15659,44,retrieved,3.268.21,15658,1,0.8
12,8387,40,retrieved,12.228.55,8272,115,1.0
1,3889,20,probe-too-short,,,,
3,2989,40,retrieved,3.76.34,2989,0,1.0
12,9566,37,retrieved,12.267.8,9421,145,1.0
3,2208,37,retrieved,3.57.18,2209,-1,1.0
4,457,52,retrieved,4.16.6,457,0,1.0
1,3234,60,retrieved,1.76.52,3235,-1,1.0
3,12869,46,retrieved,3.188.64,12868,1,0.953
12,3779,40,retrieved,12.102.27,3779,0,1.0
3,2651,17,probe-too-short,,,,
3,10837,23,probe-too-short,,,,
3,8581,20,probe-too-short,,,,
1,7259,30,retrieved,1.196.8,7326,-67,0.963
1,4585,15,probe-too-short,,,,
12,9719,38,retrieved,12.270.13,9570,149,1.0
13,3968,28,retrieved,13.84.38,3970,-2,0.88
18,95,37,retrieved,18.3.16,96,-1,1.0
2,509,20,probe-too-short,,,,
1,7514,29,retrieved,1.205.27,7581,-67,0.923
14,1733,41,retrieved,14.58.43,1733,0,1.0
15,46,32,retrieved,15.2.18,32,14,0.759
8,1281,36,retrieved,8.31.32,1281,0,1.0
3,10088,28,retrieved,3.113.19,10133,-45,0.84
5,917,39,retrieved,5.31.2,917,0,1.0
3,12466,39,retrieved,3.180.17,12467,-1,0.889
16,43,40,retrieved,16.2.11,43,0,1.0
1,7255,13,probe-too-short,,,,
1,4720,25,retrieved,1.122.5,4719,1,0.864
7,9062,26,retrieved,7.196.34,9062,0,1.0
3,2884,37,retrieved,3.73.31,2882,2,1.0
1,769,34,retrieved,1.3.106,771,-2,1.0
1,8235,46,retrieved,1.227.3,8331,-96,0.884
6,4543,72,not-retrieved,,,,0.522
3,14028,39,retrieved,3.214.28,14040,-12,1.0
1,3977,42,retrieved,1.100.11,3977,0,0.906
12,2342,19,probe-too-short,,,,
12,4195,37,retrieved,12.112.21,4153,42,1.0
14,815,37,retrieved,14.28.27,814,1,1.0
13,4643,74,retrieved,13.96.15,4643,0,1.0
12,12742,35,retrieved,12.335.46,12738,4,1.0
12,3766,41,retrieved,12.102.14,3766,0,1.0
4,1906,81,retrieved,4.59.6,1906,0,0.923
3,17353,16,probe-too-short,,,,
3,15558,30,retrieved,3.263.37,15557,1,1.0
1,3931,29,retrieved,1.99.12,3931,0,1.0
7,495,15,probe-too-short,,,,
3,11432,15,probe-too-short,,,,
1,8442,75,retrieved,1.233.14,8540,-98,0.972
3,1866,81,retrieved,3.46.50,1867,-1,1.0
3,12654,15,probe-too-short,,,,
12,3826,20,probe-too-short,,,,
14,1344,17,probe-too-short,,,,
4,235,56,retrieved,4.8.5,235,0,0.811
7,1451,53,retrieved,7.32.79,1451,0,1.0
7,644,43,retrieved,7.16.26,644,0,1.0
3,10288,20,probe-too-short,,,,
12,6669,25,not-retrieved,,,,0.0
1,3932,14,probe-too-short,,,,
2,2038,34,not-retrieved,,,,0.581
1,3169,27,retrieved,1.75.45,3170,-1,1.0
12,7002,31,retrieved,12.192.1,6916,86,1.0
3,1366,34,retrieved,3.34.13,1366,0,0.867
1,3606,22,probe-too-short,,,,
12,11022,40,retrieved,12.299.31,11019,3,0.917
12,6369,20,probe-too-short,,,,
13,3044,53,retrieved,13.60.1,3044,0,1.0
1,3628,26,retrieved,1.91.2,3628,0,1.0
3,497,39,retrieved,3.12.38,498,-1,1.0
1,7259,42,retrieved,1.196.8,7326,-67,1.0
2,2371,21,probe-too-short,,,,
13,2588,37,retrieved,13.48.26,2588,0,0.879
6,1787,65,not-retrieved,,,,0.467
3,643,17,probe-too-short,,,,
1,7890,82,retrieved,1.218.6,7971,-81,1.0
1,726,26,retrieved,1.3.61,726,0,1.0
2,1589,18,probe-too-short,,,,
3,10065,16,probe-too-short,,,,
2,2548,22,probe-too-short,,,,
1,2910,20,probe-too-short,,,,
2,2629,35,retrieved,2.80.10,2629,0,1.0
1,2910,22,probe-too-short,,,,
1,3727,37,retrieved,1.94.37,3727,0,1.0
3,11185,38,retrieved,3.147.19,11231,-46,1.0
