ref_id,L_id,page,headword_iast,headword_slp1,raw_tag,edition_cited,verse_num,quoted_iast,quoted_slp1,boesp2_verse_iast,boesp2_verse_slp1,evidence_tier,verdict,edition_swap_candidate,cascade_tier
H611-000105,42003,4-0445,pada,pada,Spr. 170,I,170,apragalbhapadanyāse,apragalBapadanyAse,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000106,42044,4-0450,padavī,padavI,Spr. 1051,I,1051,anuyāhi sādhupadavīm,anuyAhi sADupadavIm,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000107,42044,4-0450,padavī,padavI,Spr. 401,I,401,naivāsmākaṃ nayanapadavīṃ śrotramārgaṃ gato vā,nEvAsmAkaM nayanapadavIM SrotramArgaM gato vA,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000108,42065,4-0452,padāti,padAti,Spr. 200,I,200,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000109,42109,4-0455,padma,padma,Spr. 835,I,835,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000110,42109,4-0455,padma,padma,Spr.928,I,928,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000111,42109,4-0455,padma,padma,Spr. 691,I,691,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000112,42159,4-0460,padmarāga,padmarAga,Spr. 297,I,297,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000113,42159,4-0460,padmarāga,padmarAga,Spr.1109,I,1109,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000114,42239,4-0466,pannagāri,pannagAri,Spr. 543,I,543,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000115,42271,4-0467,payas,payas,Spr. 197,I,197,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000116,42271,4-0467,payas,payas,Spr.789,I,789,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000117,42288,4-0469,payodhara,payoDara,Spr. 1005,I,1005,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000118,42288,4-0469,payodhara,payoDara,Spr. 568,I,568,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000119,42288,4-0469,payodhara,payoDara,Spr.1005,I,1005,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000120,42288,4-0469,payodhara,payoDara,Spr. 635,I,635,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000121,42310,4-0479,para,para,Spr. 935,I,935,kiṃ nu duḥkhamataḥ param,kiM nu duHKamataH param,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000122,42310,4-0479,para,para,Spr. 705,I,705,kulamārga˚,kulamArga˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000123,42310,4-0479,para,para,Spr.463,I,463,peraṅgitajñāna˚,peraNgitajYAna˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000124,42310,4-0479,para,para,Spr. 718,I,718,parakaragata,parakaragata,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000125,42310,4-0479,para,para,Spr.432,I,432,iha loke hi dhanināṃ paro 'pi svajanāyate,iha loke hi DaninAM paro 'pi svajanAyate,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000126,42310,4-0479,para,para,Spr.203,I,203,ayaṃ nijaḥ paro veti gaṇanā laghucetasām,ayaM nijaH paro veti gaRanA laGucetasAm,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000127,42310,4-0479,para,para,Spr. 744,I,744,kaḥ paraḥ priyavādinām,kaH paraH priyavAdinAm,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000128,42310,4-0479,para,para,Spr.448,I,448,uttiṣṭhamānastu paro nopekṣyaḥ,uttizWamAnastu paro nopekzyaH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000129,42318,4-0482,parakārya,parakArya,Spr. 939,I,939,kārya,kArya,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000130,42335,4-0483,paracchidra,paracCidra,Spr. 799,I,799,chidra,Cidra,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000131,42337,4-0483,parajana,parajana,Spr. 1125,I,1125,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000132,42376,4-0485,parabhāga,paraBAga,Spr. 1172,I,1172,duradhigamaḥ parabhāgo yāvatpuruṣeṇa pauruṣaṃ na kṛtam,duraDigamaH paraBAgo yAvatpuruzeRa pOruzaM na kftam,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000133,42383,4-0486,param,param,Spr. 801,I,801,paramataḥ,paramataH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
