siglum	count	ctx1	ctx2	ctx3
PramāL.	1	PramāL. 2B. 4;		
Tattvprakā.	1	(88. 25); Tattvprakā. 200B. 1 ( iv.		
Nānārtha.	1	PārśvC. 1. 427; Nānārtha.		
SkandPd.	1	SkandPd. iv. 8. 9;		
Dośopa.	1	Dośopa. 3. 1; Śṛṅgā-		
RauhiṇeC.	1	RauhiṇeC. 406;		
RāghPāñ.	1	SkandP. i(2). 1. 81; RāghPāñ.		
VasiṢ.	1	LaJāta. vi. 0. 1; VasiṢ. 29. 72;		
RasRaS.	1	burden RasRaS. 5. 222.		
ParyāŚa.	1	Sārā. 29. 39; ParyāŚa.		
BālaKṛī.	1	BālaKṛī. i. 98. 15 ( 1. 111);		
AupSūṬ.	1	AupSūṬ. 116. 13; JñātāDhaṬ. 40A. 2.		
DeVīBhāP.	1	DeVīBhāP. iv. 6. 4;		
GopāKeGan.	1	GopāKeGan. 89. 2;		
GORRESIO.	1	Rāmā. (GORRESIO.) i. 9. 53;		
Nalābhyū.	1	Nalābhyū. 4. 52.		
ĀnandR.	1	ĀnandR. 5. 51 (13)		
BhātṛNi.	1	BhātṛNi. 2. 11 (1);		
SCHMIDT.	1	SubhāRaSaṃ. 1. 3 (SCHMIDT. Ed.);		
ŚisáuVa.	1	ŚisáuVa. 19. 50 (comm. );		
Hastyāyrur.	1	Hastyāyrur. 609. 16 (4. 5)		
PrabadCin.	1	PrabadCin. 21. 3.		
Rit.	1	¦ (ati-mātrā) {@1@} (in Rit.) very large joining brick		
ĀśCaCū.	1	ĀśCaCū. 1. 6.		
KhadgaŚ.	1	KhadgaŚ.		
VṛGautaSam.	1	VṛGautaSam. 635. 2 (22); BṛKathāK. 69. 16;		
YudhiVī.	1	YudhiVī. 6. 30.		
TīrthaK.	1	TīrthaK. 1. 2.		
Bhāraṭ.	1	BṛNāraP. 7. 72; Bhāraṭ.		
KalyāKāl.	1	KalyāKāl. 5. 8.		
KośasKaTa.	1	KośasKaTa. 1. 1006.		
Dīvyāva.	1	Dīvyāva. 58. 20.		
SthañṬ.	1	into the town SthañṬ. 211A. 3.		
ĪśāanŚiPā.	1	ĪśāanŚiPā. i. 14. 227;		
Appx.	1	(Appx. II) 23.		
VāsaD.	1	VāsaD. 141. 1.		
Rāsnā.	1	¦ (atirasā) {@i@} Rāsnā. ( )		
NṛSiṃPūTāU.	1	ViBr. i. 4. 3; NṛSiṃPūTāU.		
VaradolāU.	1	5. 17; VaradolāU. 147. 5; VāsuU. 406. 24;		
LākṣāBha.	1	; LākṣāBha. ); {@3@} the six intercalary days being the		
Sūryaprajñapti.	1	comm. Sūryaprajñapti. 219B. 7		
TriṣṭhaSe.	1	TriṣṭhaSe. 2. 15.		
TattvCīn.	1	TattvCīn. i. 259. 4; Guru-		
YV.	1	YV. with in the MahāBhā. (iii. 131. 26 (v. l.)		
TrisaŚapuC.	1	TriṣaŚaPuC. i. 2. 332; TrisaŚapuC. ii.		
JñātāDhāṬ.	1	JñātāDhāṬ. 21B. 12;		
Hārāv.	1	¦ (ati-romaśa) {@1@} wild goat Hārāv.		
ĀciP.	1	ĀciP. 23. 47.		
BhīkṣāKā.	1	BhīkṣāKā. 1. 11;		
AnandRa.	1	AnandRa. 2. 35.		
ĀnandaRā.	1	ĀnandaRā. 7. 43 (4); {@2@} extreme lowness, meanness,		
VePāSt.	1	VePāSt. 15.		
HammīMāKā.	1	8. 27; HammīMāKā. 7. 19; LalitāSaBh.		
KośaKaTā.	1	ing too much AmaK. 2095; KośaKaTā. 2. 23; KalpaK.		
Bharāṭ.	1	NaiṣC. 7. 62; SūktiMu. 4. 107; MātaLī. 3. 2; Bharāṭ. 7A. 10;		
DevīBhaP.	1	DevīBhaP. iv. 14. 13;		
Yogśā.	1	Yogśā. 4. 95; TriṣaŚaPuC. iv. 2. 31.		
AdbhutDa.	1	AdbhutDa. 3. 19 (2)		
ṢaḍBr.	1	blame ṢaḍBr. ii. 3. 10;		
DhūrtaVīSaṃ.	1	DhūrtaVīSaṃ. 28. 21;		
BṛKaŚloSaṃ.	1	BṛKaŚloSaṃ. 18. 93; MahāP. 34. 188;		
NādīVi.	1	NādīVi. 79.		
AmaKa.	1	58. 71; AmaKa. 338; Sanat-		
PāṅcRāRa.	1	PāṅcRāRa. 23. 18.		
ŚbdaKaDru.	1	ŚbdaKaDru.]		
ĀryāSaŚā.	1	ĀryāSaŚā. 20;		
KePāSt.	1	KePāSt. 7; PadyāTa. 286; Tila-		
GilMS.	1	KāśyaS. 329B. 35; GilMS.		
Nāga.	1	Śāk. i. 1 (1) = Nāga. 1. 2.(2) = LaṭaMe. i. 3 (2); BṛSaṃ. 1. 8;		
LaŚaṃkhaSm.	1	17. 77; LaŚaṃkhaSm.		
DātVā.	1	DātVā. 48;		
NārŚi.	1	NārŚi. 1. 6. 20;		
DaśāVaC.	1	1. 219); DaśāVaC. 5. 43;		
VSS.	1	comm. BṛSaṃ. 32. 1 (VSS. 1895); {@2@} (Tantra) name of		
VāmāP.	1	VāmāP. 5. 14; 9. 11;		
KapiS.	1	¦ (ati-vyatha) cf. {@ @} KāṭhS. 25. 1; KapiS.		
TarkRa.	1	TarkRa. 8. 9 ( iv. 1. 2); NyāyRaMā. 50. 14;		
TarkSaṃDī.	1	TarkKau. 21. 13; TarkSaṃDī.		
Nyāybodhinī.	1	Nyāybodhinī. 11. 3];		
AdvaiSī.	1	AdvaiSī. 202. 1; 664. 9;		
PārvāPa.	1	PārvāPa. 2. 2 (1)		
ŚākāṭāVyā.	1	ŚākāṭāVyā. ii. 3. 5;		
AnakāSa.	1	RasGaṅ. 405. 3; [AmaK. 2271; 131; AnakāSa.		
PamdP.	1	PamdP.(Ra.) 7. 386; superior know-		
Bālākrī.	1	Bālākrī. ii. 74. 3 ( 3. 208)		
UttaRāCa.	1	UttaRāCa. 5. 4; AlaṅkāSa. 33. 1; {@2@} superior,		
TaiBṛ.	1	VājaS. 30. 22; TaiBṛ. III.		
TājNi.	1	3. 530; TājNi. 3 (1) (6).		
PuSt.	1	PuSt. 10;		
VasiŚ.	1	VasiŚ. 33. 29;		
BṛNārāP.	1	(Ra.) 28. 82; BṛNārāP.		
GadyaCin.	1	GadyaCin.		
Padmañ.	1	MahāBh. ii. 197. 9 ( iv. 1. 3); Padmañ. KāśiVṛ. P. iv. 1. 3;		
JñāDhaṬ.	1	JñāDhaṬ. 42B. 9.		
LaŚabedŚe.	1	LaŚabedŚe. ii. 101. 3.		
PuryāŚaRa.	1	AmaK. 1192; PuryāŚaRa. 604.		
HarīS.	1	HarīS. i. 8. 56.		
KalKiP.	1	delightful KalKiP. iii. 10. 30.		
VīT.	1	VīT. 27. 7; TattvVai.		
Subhusi.	1	Subhusi. 12; {@D@} very auspicious		
BhagMāPū.	1	BhagMāPū. 8;		
BṛĀUBhVā.	1	BṛĀUBhVā. iv. 2. 62;		
ṢatcakraNi.	1	ṢatcakraNi. 48;		
SarvaVaSāSaṃ.	1	SarvaVaSāSaṃ. 584.		
Jaimi.	1	ṚV. ix. 107. 25 = SV. (Jaimi.) i. 53. 10 = SV.(Kau.) I. vi. 1. 3. 12; {@1B		
BhāvPraNī.	1	BhāvPraNī. 89. 1; PañcTaPra. 11. 27; KalpaK. 253. 48;		
KaśyaS.	1	KaśyaS. 256B. 38;		
BalaKrī.	1	BalaKrī. ii. 46. 4 ( 3. 107 (17)); ii. 70. 11 ( 3.		
JñānBinPra.	1	JñānBinPra. 4. 22; {@Av@} extremely soft		
Prāyaścitta.	1	Atharva-Prāyaścitta. 2. 5; {@ii@} to flow excessively		
TailPrāti.	1	TailPrāti. 23. 13.		
ManMatho.	1	ManMatho. 3. 4 (631. 17)		
Desid.	1	MāṇḍūŚi. 6. 6; (Desid.) to try to escape		
BuddhāC.	1	BuddhāC. 9. 71; Saund.		
TatvPrakā.	1	11. 8; TatvPrakā. 47B. 10 ( i. 3. 14);		
BāVi.	1	BāVi. 14; RasSa. 150 (8); {@1Aii@} what has passed		
Praṣā.	1	ŚabdaRa.(Vā.) 4591; Praṣā. i. 300. 7; {@1Ciii@} (referring to) earlier		
VaśvaPra.	1	oK. 408. 14; AnekāSa. 787; Vaija. 285. 23; VaśvaPra. 190. 57;		
CāturDa.	1	CāturDa. 3. 116.		
Rādhikā.	1	(atīta-guṇā) one of the thousand names cf. Rādhikā.		
GuruCaudr.	1	GuruCaudr. i.		
TālpaṬ.	1	TālpaṬ.(Vā.) 175. 23 ( i. 1. 5);		
Manva.	1	HārLa. 33. 12; Manva.		
MahāvīŚt.	1	MahāvīŚt. 1(H.) 1;		
Govindasvāmin.	1	elapsed Govindasvāmin. MaBhāsk.		
LaCancdr.	1	LaCancdr. 445. 40.		
Sneh.	1	Sneh. 150. 20 ( i. 1. 6)		
Kiranā.	1	Kiranā. 120. 10; 321. 3; Upask.		
PadārthTaNi.	1	PadārthTaNi. 23. 3;		
NyayK.	1	NyayK. 8.		
VedāutRaMañ.	1	VedāutRaMañ. 1. 4 (61. 16)		
ŚāraṅgaPa.	1	ŚāraṅgaPa. 2850;		
NāmŚīl.	1	NāmŚīl. 1783; KośaKaTa. 1. 7336; cf. {@ @}.		
Uṇādi.	1	1 ¦ (a-tu) (Gr.) other than the suffix (Uṇādi. and )		
Gūrjaras.	1	¦ (atuccha-gūrjarabhū) great land of the Gūrjaras.		
PāṇīŚi.	1	5. 4; MahāBhā. i. 673*(1); PāṇīŚi. 60; BuddhaC.		
JaīnaPa.	1	JaīnaPa. 1. 37.		
ChāndraVṛ.	1	(comm. ); ChāndraVṛ. v. 3. 84; MugdhaBo. 3. 9 (11. 18);		
MaYānSū.	1	MaYānSū. 53. 11 (10. 14);		
Bhāsvatī.	1	Bhāsvatī. 196. 4 ( YogSū. 2. 18)		
PratāYaBhā.	1	42. 19; PratāYaBhā. 317. 12.		
Perf.	1	¦ (atus) (Gr.) Perf. 3rd du. active ending		
SidddhaHe.	1	SidddhaHe. ii. 1. 115.		
Śākāṭā.	1	case Śākāṭā. iii. 4. 36.		
SrīkarBh.	1	SrīkarBh. 190. 5 ( ii. 4. 18);		
TAPS.	1	( TAPS. L. 9. 73) NāṭaLaRaK. 2196.		
Daśapādi.	1	wind Daśapādi. 5. 39.		
Vīrabhā.	1	Vīrabhā. 5. 54.		
GauDS.	1	GauDS. i. 8. 21; VaikhāGS.		
HariVa.	1	HariVa. 1. 3; ViṣṇuP. v. 12. 9;		
ŚīvLī.	1	ŚīvLī. 9. 14; 13. 21;		
SṛṅgāVaiTa.	1	SṛṅgāVaiTa. 29.		
Nyāyka.	1	Nyāyka. 212. 6 = Kiraṇā. 305. 5.		
SāṃkhyaPraSñ.	1	of miseries SāṃkhyaPraSñ. 6. 5;		
NighaṇṭuPrakāśa.	1	NighaṇṭuPrakāśa.		
VeṇīSāṃ.	1	VeṇīSāṃ. 3. 169.		
KuU.	1	KuU. 1. 44; HaṭPra. 3. 67.		
PaūcaPā.	1	PaūcaPā. 7. 16 ( i. 1. 0); PrakaPañ.		
GuruCandra.	1	GuruCandra. ii. 313. 15;		
KavyālāṅSāSaṃ.	1	KavyālāṅSāSaṃ. 5. 11 (*10);		
TaitvPradī.	1	TaitvPradī.(A.) 103. 6 ( 1. 81);		
YuddhiVi.	1	YuddhiVi. 1. 20;		
DṛṣṭāKaŚa.	1	DṛṣṭāKaŚa. 98;		
ProboSu.	1	ProboSu. 30; KandaCū. iii. 2. 46; iii. 1. 22;		
BṛKathaMañ.	1	BṛKathaMañ. ix. 2. 445.		
SevyaŚev.	1	SevyaŚev. 32.		
TāttvPradi.	1	TāttvPradi.(A.) 213. 2 ( 2. 59);		
PodmP.	1	PodmP.(Ra.) 102. 38; Pari-		
NyāyMāvi.	1	NyāyMāvi. 660. 5		
PrahaCin.	1	PrahaCin. 111. 13.		
YatindrDī.	1	YatindrDī. 20. 1;		
TātpVṛ.	1	TātpVṛ.		
PūrvottVāNaMā.	1	PūrvottVāNaMā. 81. 3.		
SmṛtiCau.	1	SmṛtiCau. iii. 307. 1.		
Sāṃ.	1	Sāṃ. 230. 21;		
ŚaṅkarKā.	1	ŚaṅkarKā. 74. 2 (xv. 1. 15);		
ŚāṃkhyaKāBh.	1	5 (8). 4 (474. 1); ŚāṃkhyaKāBh. 4. 17		
ŚāiC.	1	ŚāiC. 5. 51.		
BrabmāṇḍP.	1	BrabmāṇḍP. iii. 16. 23.		
VarīvaRaha.	1	bliss VarīvaRaha. 139.		
PañDa.	1	PañDa. 12. 79;		
Kappiṇā.	1	Kappiṇā. 11. 6; 15. 8;		
SiddhāKan.	1	SiddhāKan. 162A. 1;		
AnekaTi.	1	AnekaTi. 3. 9; NānārthaMa. 1328; ParaNā. 2633; ViśvaL		
AnekaK.	1	BhePra.(Ma.) 4. 18; DharK. 1885; AnekaK. 650; NānārthSaṃ. 4. 34;		
ParyRaMā.	1	ParyRaMā. 1625; AnekāMañ. 115; Vaija. 239. 1; AnekāSaṃ		
VakreJī.	1	BṛKathāK. 31. 3; VakreJī.		
ĪśānŚi.	1	VikraDeC. 17. 5; ĪśānŚi.		
Kataka.	1	Rāmā. i. 23. 27 (Kataka. )		
SuśrnS.	1	little seed (semen or sperm) SuśrnS.		
PariPār.	1	PariPār. 12. 213.		
ṚPrā.	1	ṚPrā. 16. 54; NāṭyaŚā. 14. 50;		
Chand.	1	Chand. 4. 4; ChandaSū. 41. 5 (4. 7); VṛttaRa. 73. 2		
ChandaSū.	1	Chand. 4. 4; ChandaSū. 41. 5 (4. 7); VṛttaRa. 73. 2 (1. 19);		
GaṇīNā.	1	GaṇīNā. 32.		
Grass.	1	¦ (atyā) mare (Grass.) ṚV. iii. 56. 2		
ŚaṃkaDigVi.	1	ŚaṃkaDigVi.(Mā.) 7. 22;		
AbhiSaAlaṅĀ.	1	sudden flash of intellect AbhiSaAlaṅĀ. 316. 9.		
BandhŚS.	1	BandhŚS. iii. 62. 4.		
VibraVi.	1	VibraVi. 76; NyāyVi. 2. 101;		
HatPra.	1	15. 108; PārśvC. 3. 1040; HatPra. 1. 15; PadmP. ii.		
SamaraSaṃ.	1	SamaraSaṃ. 5. 78;		
MoharāPa.	1	MoharāPa. 3. 58 (3); MalliC. 1. 81;		
TriPuDi.	1	Surath. 7. 74; 2. 57; TriPuDi. 1. 31 (2);		
AbhiMañ.	1	Ni. 77. 4; MadaPāNi. 23. 395; ApūNā. 42B. 2; AbhiMañ. 80. 7;		
AlaṃkāSa.	1	perty of a superior object AlaṃkāSa.		
Mānāso.	1	) Mānāso. iv. 3. 426; {@iv@} mighty, very strong or po		
ViṣṇuPādaSt.	1	ViṣṇuPādaSt. 21;		
Kāda.	1	BṛSaṃ. 68. 13; Kāda. 299. 23;		
SarvaVedāSaṃ.	1	(1. 10); i. 69. 4 (1. 10); VarāṅgaC. 5. 20; SarvaVedāSaṃ. 369;		
ManuBhāvCan.	1	( 3. 236); ManuBhāvCan. 420. 22 ( 3. 236);		
RasRas.	1	DaśKuC. 16. 7; RasRas. 5. 135;		
Rabbā.	1	¦ (atyuṣṇa-rabbā) extremely hot Rabbā. (a kind of		
BhāBhāDī.	1	BhāBhāDī. iv. 55. 19.		
SiddbāLeSaṃ.	1	SiddbāLeSaṃ. 364. 1;		
TaiUBr.	1	MaiS. iv. 13. 9; TaiUBr. III. v. 10. 1;		
SaṅgīMa.	1	SaṅgīMa. i. 1. 37;		
AVParī.	1	AVParī.		
LioṅgaP.	1	LioṅgaP. i. 70. 187;		
BṛParāSaṃ.	1	MārkP. 29. 43; BṛParāSaṃ. 1. 15;		
Geld.	1	ṚV. ii. 8. 5; Geld. atrimanuṣvát?]		
Ety.	1	¦ (atrín) [Ety. ; Uṇā. 4. 68,		
Dīpaka.	1	634. 11 ( 5. 70); Dīpaka. 75. 15 ( 3. 1-2); VīraMi. 758. 7 ( 3. 1-2)		
KanṣīBr.	1	without making haste KanṣīBr.		
LatyāŚS.	1	LatyāŚS. x. 12. 13; ŚābaBh. 1838. 6 ( x. 2. 33)		
BallāŚ.	1	BallāŚ. 53;		
VaṃśaBr.	1	v. 9. 6; VaṃśaBr. 3. 1;		
KalāVī.	1	P. i. 3. 20; KalāVī. 1. 23;		
MahṅvīC.	1	MahṅvīC. 1. 56 (13) (31. 7); UttaRāC. 2. 6		
Hitoppa.	1	Hitoppa. 3. 138;		
SaṃhiUBh.	1	SaṃhiUBh. 1. 9; 1. 17; 1. 19; 3. 20; AitĀ. I. ii.		
MudriKuC.	1	MudriKuC. 2. 0 (1); PratāYaBhū. 219. 1; (used to int		
KathāL.	1	KathāL. IB. 8.		
TāiBr.	1	TāiBr. I. i. 10. 2 (Sāy. ,		
SaṅkaVi.	1	SaṅkaVi.(Ā.) 254. 11.		
GuhyaKālīU.	1	veda GuhyaKālīU. 1.		
PṛaśnaU.	1	PṛaśnaU. 2. 8; MahāBhā. ii.		
Nāray.	1	78. 41; Nāray. i. 2. 9; ViraMi. 363. 6 ( 1. 329); NīlaVi.		
Upaskāra.	1	Sū. i. 1. 1 (Upaskāra. );		
PaPā.	1	¦ (átho) [PaPā. and Kośas treat it as one word and		
ŚrikaC.	1	ŚrikaC. 13. 37 (comm. ); {@5@} or,		
ĀnekāSaṃ.	1	Medik. 197. 35; ĀnekāSaṃ. 7. 27; Vaija. 285. 14; AmaK.		
AnokāSa.	1	2829; AnokāSa. 790; ViśvaLoK. 411. 33; AbhidhāRāMā.		
POR.	1	1 ¦ (ad-) II.P. [MAYR. 1. 28; POR. p. 287; DhātuPā.		
Viśva.	1	xi. 10. 26 = Viśva. xi. 12. 26); ; impf. ,		
BṛĀraCBh.	1	BṛĀraCBh. 93. 11 ( i. 4. 6);		
BhārBhāDiū.	1	BhārBhāDiū. v. 42. 5; {@ @} (āday-) caus.		
DvyaśraKā.	1	SkandP. ii(9). 9. 20; DvyaśraKā. 2. 86; NaiṣC.		
Kapū.	1	Kapū. 21; PāṇḍaC. 6. 393;		
NītiPr.	1	UpadeŚ. 85; ŚukraNī. 4 (1). 52; NītiPr. 7. 64; 8. 22.		
KāthUBh.	1	KāthUBh. 113. 12 ( 1. 19); BālaKrī. i. 234. 12 ( 2.		
Dāyabhāga.	1	199. 23 = Dāyabhāga. 3. 35; PratiYau. 2. 7; 4. 16 (2); BālaKrī. i		
StānṬ.	1	3. 135); StānṬ.		
PārvC.	1	ChāndoU. viii. 8. 5; PārvC. 2. 935; 2. 939;		
KumDeC.	1	KumDeC.(So.) 29. 7; KumāPraPra. 42. 20;		
SarvaVeSiSāSaṃ.	1	SarvaVeSiSāSaṃ. 504; ŚivārkaMaDī. i. 336. 15		
RāmBāṇSta.	1	YudhiVi. 1. 10; 2. 55; RāmBāṇSta.		
KalyāMaSto.	1	KalyāMaSto. 32;		
VarāṇgaC.	1	VarāṇgaC. 14. 11;		
VidvaMuMa.	1	VidvaMuMa. 2. 12 (3)		
VetāPāñ.	1	VetāPāñ.(Śi.) 39. 34; {@Bii@} free from misery,		
TīkāSe.	1	moon day TīkāSe. i. 4. 9.		
TātptṬ.	1	TātptṬ.(U.) 33. 11 (		
SanSu.	1	MahāBhā. v. 45. 17 = SanSu. 4. 23 (Śaṅ. );		
RENOU.	1	about it), Alt. Gr. III. 528-536 I. N. 193; RENOU. Gramm		
PraboSū.	1	PraboSū. 139;		
ChāndoUBṛ.	1	ChāndoUBṛ. i. 6. 19; ChāndoUBr. i. 6. 18;		
Mālvikā.	1	Mālvikā. 5. 19		
ŚuklaYV.	1	kramasūtra of ŚuklaYV. 9B. 37 (8. 32)		
Linn.	1	¦ (adārī) name of a plant (Linn.)		
KumārSaṃ.	1	gods) KumārSaṃ. 13. 47.		
SamarāŚū.	1	SamarāŚū. 15. 40.		
MṛgndraT.	1	MṛgndraT. ii. 8. 184;		
Kaṇthā.	1	Kaṇthā. 2. 16.		
MantrBṛ.	1	ṚV. x. 85. 43; AV. xiv. 2. 40; MantrBṛ. i. 2. 18.		
KarPūC.	1	KarPūC. 25 (9); StavMā. 201. 1 Nārāy. x. 48. 1;		
JānaPari.	1	JānaPari. 1. 34 (4);		
SārāV.	1	SārāV. 10. 106.		
Khyā.	1	Khyā. 89. 20; PañcT. 2. 95 (270. 1);		
VedāntKe.	1	VedāntKe. 142. 9 ( i. 2. 21); TattvPrakā.		
Amṛto.	1	370. 20 ( iii. 3. 52); Amṛto. 4. 69 (1); {@Aiii@} not being known		
JātaPari.	1	zodiac JātaPari. 13. 66.		
RaubiC.	1	RaubiC. 378.		
MahNīrvāT.	1	MahNīrvāT. 8. 137;		
PrākaPañ.	1	PrākaPañ. 204. 22;		
SpoṭSi.	1	SpoṭSi. 38. 7;		
IśānSiPa.	1	IśānSiPa. i. 36. 17 (23)		
PrabaKa.	1	PrabaKa. 19. 3;		
Astrono.	1	PrakaVi. 329. 19; {@ii@} (Astrono.) arriving at an		
ŚarvaDaKau.	1	ŚarvaDaKau. 14. 5;		
SāmkhyaPraBh.	1	SāmkhyaPraBh. 18. 10 ( 1. 30);		
PramāVārSvoVṛ.	1	PramāVārSvoVṛ. 81. 10; {@1@} cause in the form		
BhātṭDī.	1	BhātṭDī. iii. 72. 16 ( ix. 1. 12); VyutpaVā. 161. 7.		
Nyāyasūtravṛtti.	1	85. 25; Nyāyasūtravṛtti. i. 1. 8		
VyavaNī.	1	VyavaNī.		
VitaRā.	1	VitaRā. 7. 2; NyāySu.		
DaivaVya.	1	(He.) 249. 6; DaivaVya. 2. 4; Rāmā-		
AlamkāŚe.	1	Candrā. 2. 43; AlamkāŚe. 21. 3 (7);		
Sāhi.	1	Sāhi.Da. 448. 3.		
KhandanKhā.	1	(v. l. for ) KhandanKhā. 876. 1.		
Imp.	1	¦ (addhaki) [Imp. 2 P. sg. of wīth added before the		
Vyūha.	1	Vyūha. 2, PW. MW.]		
Vārānaśī.	1	ŚākaṭāVyā. ii. 2. 62 (comm. ) [Vārānaśī.		
ŚlvLī.	1	ŚlvLī. 10. 51; SubhāŚ. 10; (actions, in-		
SubhāŚ.	1	ŚlvLī. 10. 51; SubhāŚ. 10; (actions, in-		
NītlSā.	1	UttaRāC. 1. 40; AnarghaRā. 4. 7; NītlSā.		
Sutrath.	1	SaduktiKa. 12. 10; Sutrath.		
GoKa.	1	GoKa. 20; RājTa.(Jo.) 412; RatnaCūKa.		
AvaLo.	1	DaśRū. 4. 78; DaśRū. 3. 34; 4. 44; AvaLo. 109. 4		
KaṃsaVa.	1	KathāSaSāg. xii. 7. 205; vii. 2. 96; KaṃsaVa. 2. 5; KathāKau. 2. 20;		
PādmP.	1	an extraordinary curiosity PādmP.		
PrdmP.	1	PrdmP.(Ra.) 20. 241.		
ŚātiC.	1	ŚātiC. 3. 155;		
PañRā.	1	PañRā.(Nā.) iv. 3. 40 (? 50)		
KavyaKaVṛ.	1	KavyaKaVṛ. 16. 6 (1. 3)		
Tārikā.	1	one of the three or states of the goddess Tārikā. in her		
Caṃ.	1	Caṃ. ii. 185. 1 (comm. )		
Śṛṅgā.	1	AV. vi. 138. 1; Śṛṅgā.		
KOSE.	1	5. 6 (KOSE.); MaBhāsk. 4. 18;		
AbirbuS.	1	AbirbuS. 8. 39; 58. 23; Pramā		
JayaS.	1	PauṣkS. 31. 165; JayaS. 29. 135;		
NS.	1	KaumuMi. 2. 14 (8); [read for of NS. Ed.		
NītyāṢoḍa.	1	NītyāṢoḍa. 1. 6;		
Per.	1	¦ (adyutat-tarām) [3rd Per. sg. aor. of to shine		
Kālacakra.	1	Prasā. i. 365. 11; Kālacakra. 5. 119 (nt)		
ĀraUBhāVā.	1	ĀraUBhāVā. ii. 3. 106;		
SaṅkaKāBh.	1	SaṅkaKāBh. 143 8 ( iii. 2. 41); {@5@} without discipli		
VājA.	1	IV. ii. 2. 3; VājA. 12. 23 (Uvaṭa		
RājaNi.	1	RājaNi. 151. 9;		
KāvyālaṅSu.	1	KāvyālaṅSu. ii. 2. 8; SaraKaṇṭhā. 19. 25; AlaṅkāŚe. 5. 2		
AiBr.	1	AiBr. 18. 6 (496); ŚatBr. VI. vii. 3. 11; KāṭhU.		
Kuvala.	1	= Kuvala. 171 (262) = SūktiSu. 44;		
JñanDī.	1	(JñanDī. ); MahāBhā. vii.		
AlaṅkāSar.	1	VyaktiVi. 8. 16 = AlaṅkāSar. 157. 6;		
MaGaṇaSt.	1	(Mā.) 9. 52; MaGaṇaSt. 9;		
PūrvottaVā.	1	not melted PūrvottaVā.		
NighPra.	1	¦ (adreṣka) , NighPra.		
DīpKā.	1	rā. 56. 23 ( 1. 28); SmṛtiCan. i. 140. 4; DīpKā.		
ŚyāmaDaṇ.	1	KulārT. 1. 7; BrahmSi. 51. 8; ŚyāmaDaṇ. 9. 23;		
MuA.	1	MuA. 1; PraśnaUBh. 291. 18 ( 6. 2); BṛĀraUBh. 7.		
Saṃkṣe.	1	being non-dual Saṃkṣe.		
SarvaVeŚāSaṃ.	1	SarvaVeŚāSaṃ. (Mysore Ed.) 4; {@Bii@} name of the teacher		
ViveCu.	1	duality ViveCu. 364;		
BrahmŚi.	1	BrahmŚi. 4. 1;		
VedāñtSiSūMañ.	1	VedāñtSiSūMañ. 4. 24;		
BhamiVi.	1	RasGaṅ. 237. 2; BhamiVi. App. 9. 19;		
BṛĀraUBhVār.	1	71. 25 (2); BṛĀraUBhVār.(Sambandha.)		
Vidanmo.	1	Vidanmo. 5. 24 (2);		
AdyaiSi.	1	AdyaiSi. 717. 8.		
Śaṃ.	1	(Śaṃ.) 34. 4 ( i. 1. 4); SarvaVeSā-		
Daiva.	1	Daiva. i. 1. 1; Jīvān. 61. 4; {@ii@} without a se		
UttarāC.	1	UttarāC. 1. 39; ĪśvaPraSū. i. 1. 1;		
NyaySu.	1	NyaySu.(Ja.) 485B. 9 ( iii. 2. 1)		
Tārā.	1	goddess Tārā. Kālī-		
ViT.	1	ViT. 12. 2.		
ĀdvaiSi.	1	ĀdvaiSi. 376. 8; 398. 2;		
VīveCū.	1	VīveCū. 355.		
GurnCandr.	1	GurnCandr. ii. 354. 17.		
SamviSi.	1	duality SamviSi. 94. 7.		
KatyŚS.	1	KatyŚS. iii. 8. 7.		
SiddhāTaVf.	1	SiddhāTaVf. 352. 10.		
ParaŚuKS.	1	ParaŚuKS. 10. 68 (281. 24) (comm.		
SoḍhalaNi.	1	SoḍhalaNi. 1. 733; [given as a name of		
VākyPa.	1	than the expression ‘ ’ P. iv. 4. 83; VākyPa. 2. 313.		
ChāgaU.	1	low (by birth), low-born ChāgaU. 2. 8;		
Dhark.	1	AnekāSaṃ. 3. 453; ViśvaPra. 113. 37; Dhark. 1738; AnekāK. 592;		
AmaŚa.	1	AmaŚa. 105 = SaraKaṇṭhā. 550. 17 = Kāvy-		
RatnaCūk.	1	81. 15; RatnaCūk. 532;		
Vaīja.	1	Pra. 176. 26; MediK. 187. 33; , AmaK. 2132; Vaīja.		
ŚāntiŚa.	1	ŚāntiŚa. 2. 13.		
ParyāSaRa.	1	2. 23); ParyāSaRa. 1177; Abhidhā-		
ŚṛngāMañ.	1	ŚṛngāMañ.(A.) 39. 24.		
KūrmāP.	1	superiority KūrmāP. 297. 12 (1. 29)		
Śārā.	1	Śārā. 35. 6.		
ṢaḍviBṛ.	1	3. 3; ṢaḍviBṛ. iv(5). 4. 9;		
RājaMā.	1	RājaMā. 44. 7;		
ŚāṅkhāĀr.	1	ŚāṅkhāĀr. 12. 2 (44. 6); Mān-		
Bodhinī.	1	(v. l. ) NyāyKuA. 3. 23 (Bodhinī. )		
CaṇḍiŚ.	1	aC. 25. 7; 82. 2; 224. 10; 227. 7; 302. 6; CaṇḍiŚ. 1;		
MādhavāA.	1	7. 69; 7. 70; MādhavāA. 31;		
TaṅtrSā.	1	TaṅtrSā.(K.) 76. 13; Acyutarā. 9. 69;		
