siglum	count	ctx1	ctx2	ctx3
VedāntKa.	1196	VedāntKa. 223. 25 ( i. 4. 22);	NītiMā. 51. 17; VedāntKa. 223. 26 ( i. 4. 22);	VedāntKa. 107. 15 ( i. 1. 5);
HarVi.	1195	); HarVi.	HarVi. 43. 41 (comm.	1. 21; HarVi. 3. 67; RāmC.
ŚivaP.	1190	120. 2; ŚivaP. v. 32. 8 (442A. 8)	ŚivaP. v. 26. 20 (436B. 12);	form ŚivaP. ii(2). 20. 43
VājaS.	1189	Uṇā.(He.) 527; Mahī. on VājaS. 10. 5;	VājaS. 34. 54; ĀpaManPāṭha.	ṚV. i. 91. 17 = VājaS. 12. 114; ṚV. ix. 67. 28;
Subhāṣi.	1172	Subhāṣi. 2349; {@4Bi@} part, portion, fragment, fract	164 = Subhāṣi. 533;	CaturCin. iii(1). 176. 5; Subhāṣi.
PāṇḍaC.	1168	PāṇḍaC. 12. 346.	PariPar. 6. 68; PāṇḍaC. 6. 973;	PṛthvīVi. 2. 57; PāṇḍaC. 13. 540;
MatsyaP.	1158	MatsyaP. 126. 17; BrahmāṇḍP. i. 23. 16;	MatsyaP. 144. 29; VāyuP. i. 58. 30;	191. 2; MatsyaP.
Vaija.	1155	for the purpose of ; Viṣṇu, AgniP. 347. 1; Vaija. 284. 10;	ings to {@8A@} digit Vaija. 177. 55;	(ŚabdaRaSaK. 182. 6), (Vaija. 235. 62), (Vaija. 247. 4). There
JaineVyā.	1154	. 1; KāśiVṛ. P. i. 1. 14; GaṇRa 1. 9 (24); JaineVyā.	JaineVyā. iv. 1. 17; CāndraVyā. iv. 2. 74;	JaineVyā. iv. 1. 40;
SuśruS.	1141	SuśruS. vi. 19. 15.	{@2@} name of one of the varieties of Soma SuśruS.	SuśruS. iv. 29. 5;
AgniP.	1136	mostly for the purpose of ; Viṣṇu, AgniP. 347. 1; Vaija. 284. 10;	AgniP. 363. 21; AmaK.(Kṣīra.) reads	AgniP. 132. 9; ĪśānŚiPa. i. 6. 33; {@Fii@} one
Pradī.	1132	Pradī. iii. 100B. 20 ( MahāBh. iii. 1. 48)	Pradī.(Ci.) 51. 5; CaturCin. iv(1). 2. 6;	Pradī. iv. 40B ( iv. 1. 13); (hence
Nyāyāmṛ.	1128	Nyāyāmṛ. 498B. 9;	Nyāyāmṛ. 582A. 4;	( iii. 3. 2); Nyāyāmṛ. 416A. 1;
TattvPrakā.	1119	TattvPrakā. 122A. 11 ( ii. 3. 43);	TattvPrakā. 118A. 6 ( ii. 3. 27);	TattvPrakā. 181B. 11
ŚatDū.	1106	ŚatDū. 163. 27;	ŚatDū. 181. 12; NyāyPari. 352. 4;	TantrRaha. 8. 27 (1); ŚatDū. 123. 19;
NyāyRa.	1087	797. 8 ( xi. 1. 2); NyāyRa. 872. 10; 922. 8; 922. 12 NyāyRaMā. 158. 1;	Mañ. i. 332. 1; NyāyRa. 117. 15 ( 2. 231);	NyāyRa. 919. 9
AdvaiSi.	1086	Saṃ. 338. 10; AdvaiSi. 846. 11; MīmāKau. ii. 47. 22 (	AdvaiSi. 846. 5.	AdvaiSi. 322. 1 (comm.
ArthŚā.	1077	ArthŚā. ii. 259. 4 (7. 4);	ArthŚā. ii. 259. 6 (7. 4) (comm.	ArthŚā. i. 38. 3 (1. 6);
ManvaVi.	1068	SmṛtiCan. iv. 623. 17; ManvaVi. 1140. 1 (	ManvaVi. 1200. 8 ( 9. 165);	{@5C@} fibre of a bark ManvaVi. 669. 2
GītāBh.	1066	GītāBh.	GītāBh.(Rā.) 276. 1 ( 4. 33);	GītāBh.(Śaṅ.) 2. 7 ( 1. 0); BhāgP.
RasGaṅ.	1062	RasGaṅ. 17. 5;	RasGaṅ. 29. 14	RasGaṅ. 567. 5;
BaudhŚS.	1034	BaudhŚS. ii. 415. 4; Bau-	BaudhŚS. i. 206. 9;	BaudhŚS. ii. 173. 4;
ManvaMu.	1022	ManvaMu. 181. 17 ( 4. 201); VīraMi. 366. 13	ManvaMu. 372. 19 ( 9. 47);	ManvaMu. 219. 4 ( 5. 120);
AbhinBhā.	1019	AbhinBhā. i. 31. 11 ( 1. 83);	AbhinBhā. iv. 37. 6 ( 28. 45. (1))	NyāyMañ. ii. 5. 7; AbhinBhā. i. 31. 12 (
MārkP.	1014	MārkP. 7. 67; Brah-	BrahmāṇḍP. ii. 43. 9; MārkP. 84. 6;	MārkP. 15. 28;
BālaKrī.	1005	BālaKrī. i. 32. 2 ( 1. 12)	BālaKrī. i. 222. 1 ( 2. 57);	BālaKrī. i. 248. 23 ( 2. 136)
ŚabdaRa.	1000	ŚabdaRa.(Su.) 2. 134.	Ma. 355; ŚabdaRaSaK. 325. 1; ŚabdaRa.(Bā.) 3833, 3976, 4015, 4061;	2. 5; ŚabdaRa.(Su.) 2. 6; vi) a portion of creepers etc.
BhāvPra.	988	BhāvPra.(Śā.) ix. 256. 2;	BhāvPra.(Bhā.) viii. 1. 11; {@B@} a portion of a portion, a	Hṛ. vi. 27. 40; SiddhaYo. 22. 104; BhāvPra.(Bhā.) vi. 4. 31; vi. 7. 33; KāśyaS.
AṇuBh.	975	AṇuBh. 114. 17 ( i. 4. 19); AṇuBh. 154. 17 ( ii	AṇuBh. 114. 17 ( i. 4. 19); AṇuBh. 154. 17 ( ii.	SāhiDa. 587. 12; AṇuBh.
AvantiKa.	964	Kād. 3. 4; AvantiKa. 20. 15;	AvantiKa. 146. 14;	AvantiKa. 161. 11; ŚiśuVa. 14. 59;
VāyuP.	961	ṇḍP. ii. 3. 67; VāyuP. ii. 5. 66;	VāyuP. ii. 1. 10; {@7C@} name of one of the sixteen	MatsyaP. 144. 29; VāyuP. i. 58. 30;
PāraS.	950	PāraS. 18. 397; Ava-	PāraS. 17. 184; {@2F@} one of the gods	PāraS. 11. 195; {@3@} sulphur
SiddhāKau.	943	is said to be SiddhāKau. 2B. 4; used	ŚiśuVa. 1. 69; SiddhāKau. 39A. 4; to gerunds	ośaKaTa. 2. 3018; PrakriKau. i. 308. 1; as SiddhāKau. 108. A. 2
DvyāśraKā.	930	DvyāśraKā. 17. 14 (comm.	DvyāśraKā. 2. 38; 18. 2; TriṣaŚaPuC.	DvyāśraKā. 7. 84;
Yādavā.	928	11 ¦ (a) protector Yādavā. 6. 96	or responsibility Yādavā. 16. 47;	Yādavā. 17. 19; RasGaṅ.
HarṣaC.	927	HarṣaC. 315. 12; 290. 17;	HammīMaKā. 3. 77; HarṣaC.	HarṣaC. 49. 4;
Hastyāyur.	925	GopāKeCan. 122. 19; Hastyāyur.	185. 8; 169. 28; 6. 22; Hastyāyur. 260. 11 (2. 48); 60. 8 (1. 9); 76. 21 (1. 10	Hastyāyur. 120. 6 (1. 17); 460. 9 (3. 11);
ManuSm.	923	BṛĀraU. iv. 3. 22; ManuSm. 2. 105;	ManuSm. 9. 47; SmṛtiCan. i. 218. 4; SūktiRa. 163. 88	ManuSm. 8. 408; ManuSm. 9. 201;
ŚiśuVa.	916	AV. xx. 16. 10; BṛĀraU. iii. 9. 28; ŚiśuVa. 6. 78;	ŚiśuVa. 1. 69; SiddhāKau. 39A. 4; to gerunds	ŚiśuVa. 2. 52; to infinitives PañcBr. xvi. 15. 9;
GaṇeP.	915	GaṇeP. ii. 37. 14;	GaṇeP. i. 46. 126;	GaṇeP. i. 77. 15; VedāntSā.
ViṣṇuDhaP.	912	NaraP. 6. 10; ViṣṇuDhaP. i.	ViṣṇuDhaP. i. 35. 23;	ViṣṇuDhaP. i. 30. 18;
IṣṭaSi.	912	IṣṭaSi. 2. 3; IṣṭaSi. 88. 7;	IṣṭaSi. 2. 3; IṣṭaSi. 88. 7;	BrahmSi. 66. 22; IṣṭaSi.
PrakaVi.	905	PrakaVi.	PrakaVi. 499. 19.	PrakaVi. 256. 20; 655. 22; ŚrutaPra. ii. 386. 24 ( i
UdaySuKa.	903	UdaySuKa. 149. 26;	UdaySuKa. 14. 19; SaduktiKa. 12. 8; {@3@}	UdaySuKa. 67. 3; 43. 21;
TattvCin.	902	TattvCin. i. (1)	TattvCin. i. 377. 4.	84. 7 ( 1. 113); 234. 13 ( 2. 187); TattvCin. iv(2). 243. 2;
KalpaK.	892	k. 245. 26; 371. 3; KāryKaVṛ. 87. 26 (3. 5); KalpaK.	KalpaK. 52. 291; (not reaching upto the knee); {@1F@	RājNi. 458. 22; 106. 21; ApūNā. 11; KalpaK. 177.
BṛĀraUBh.	891	BṛĀraUBh. 258. 16 ( ii. 1. 20); ,	BṛĀraUBh. 107. 12 ( i. 4. 7);	BṛĀraUBh. 261. 16 (
ŚlokaVār.	891	ŚlokaVār. 7. 95;	ŚlokaVār. 1. 113 (38. 2);	i. 6. 7; ŚlokaVār. 18. 87 (664. 1);
Kād.	884	Kād. 3. 4; AvantiKa. 20. 15;	Kād. 159. 1;	Kād. 31. 21; 79. 19;
NyāyVār.	876	NyāyVār. 133. 6 ( i. 1. 35); {@B@} not fit to be don	155. 9 (18. 99); TattvSa. 136. 6; NyāyVār. 7. 19 ( i.	P. iii. 1. 7); NyāyVār. 9. 5 ( i.
ŚārṅgaPa.	875	ŚārṅgaPa. 3833;	Ka. 127. 24 = SūktiMu. 37. 5 = ŚārṅgaPa. 3388 = Subhāṣi. 1057; AmaŚ. 85 =	SaduktiKa. 102. 25 = ŚārṅgaPa. 3386; NavaSāC.
NyāyMāVi.	871	NyāyMāVi. 437. 12 ( ix. 2. 3); Śaṅka-	NyāyMāVi. 40. 13 ( i. 4. 1);	NyāyMāVi. 279. 21
Nyās.	854	an independent word of negation, cf. Nyās. and PadMañ. on it; a few cases	Nyās. 2. 466 ( vi. 3. 73); examples in grammatica	Nyās. on KāśiVṛ. P. iv. 1. 95;
TaiBr.	846	MaiS. i. 6. 12; TaiBr. I. i. 9. 2;	TaiS. VI. iv. 8. 3; TaiBr. III. vii. 9. 1;	TaiBr. I. iv. 7. 5; TaiBr. I. iv. 1. 1;
PañcT.	846	KathāSaSāg. ix. 3. 147; PañcT.	PañcT. 1. 118 (120. 10); ŚatTrayī. 734; {@C@} harsh	heart Tantrākhyā. 128. 6 = PañcT. 4. 17
IV.	825	TaiS. VI. vi. 10. 1; VājaS. 18. 19; ŚatBr. IV.	ŚatBr. IV. vi. 1. 1-2; I. v. 9. 1;	x. 97. 15; ṚV. iv. 12. 6, cf. TaiS. IV. vii. 15. 7; and with
HirŚS.	814	HirŚS.	ĀpaŚS. xvii. 12. 13; HirŚS. xii. 3. 15;	ĀpaŚS. ix. 18. 6 = HirŚS. xv. 8. 9.
