siglum	count	class	match_type	dcs_title	display_title
MūkaPañ.	116	primary	residue		
UpadeSā.	116	primary	residue		
Ma.	115	structural			
VasaTi.	115	primary	residue		
LaghvāśvaSm.	115	primary	residue		
BṛDe.	114	primary	residue		
Śā.	114	structural			
BodhiBhū.	114	primary	residue		
BhojPra.	114	primary	residue		
VaiyāSiMañ.	114	primary	residue		
ĀścaCū.	113	primary	residue		
Su.	113	structural			
PāraGS.	113	primary	covered	Pāraskaragṛhyasūtra	Pāraskaragṛhyasūtra
ViviTīKa.	112	primary	residue		
SūrySi.	111	primary	covered	Sūryasiddhānta	Sūryasiddhānta
NemiNir.	111	primary	residue		
ŚṛṅgāTi.	111	primary	residue		
Abl.	111	structural			
DaśRū.	111	primary	residue		Daśarūpaka
AitUBh.	110	primary	residue		
PadyāTa.	109	primary	residue		
KundaMā.	109	primary	residue		
PañcRā.	108	primary	residue		
VaitāSū.	108	primary	covered	Vaitānasūtra	Vaitānasūtra
ViṣṇuSaBh.	107	primary	residue		
PraboSu.	107	primary	residue		
MohaRāPa.	107	primary	residue		
Stotrā.	107	primary	residue		
PramāMā.	106	primary	residue		
Avimā.	106	primary	residue		
Dī.	105	structural			
AnaṅgaRa.	105	primary	residue		
Nāgā.	105	structural			
MadhuVi.	105	primary	residue		
BaudhPiMe.	105	primary	residue		
PraśnaUBh.	105	primary	residue		
NāraSm.	104	primary	covered	Nāradasmṛti	Nāradasmṛti
SāṃkhyaKāBh.	104	primary	covered	Sāṃkhyakārikābhāṣya	Sāṃkhyakārikābhāṣya
Sm.	104	structural			
GrahaGa.	103	primary	residue		
KāṭhGS.	103	primary	covered	Kāṭhakagṛhyasūtra	Kāṭhakagṛhyasūtra
Prati.	103	structural			
TāpaVa.	103	primary	residue		
DhanvNi.	102	primary	covered	Dhanvantarinighaṇṭu	Dhanvantarinighaṇṭu
AbhidhSa.	102	primary	residue		
N.	102	structural			
Jain.	101	primary	residue		
Gen.	101	structural			
BhedaDhi.	101	primary	residue		
SaddhaPuṇ.	101	primary	covered	Saddharmapuṇḍarīkasūtra	Saddharmapuṇḍarīkasūtra
YogSā.	100	primary	residue		
ParaśuKS.	100	primary	residue		
SāmaViBr.	100	primary	covered	Sāmavidhānabrāhmaṇa	Sāmavidhānabrāhmaṇa
HammīMaMa.	99	primary	residue		
Kā.	99	structural			
F.	98	structural			
Vāgbhaṭā.	97	primary	residue		
Mālavikā.	97	primary	residue		Mālavikāgnimitra
SāṃkhyaPraSū.	97	primary	residue		
JaimiGS.	97	primary	covered	Jaiminigṛhyasūtra	Jaiminigṛhyasūtra
Manmatho.	96	primary	residue		
Cpd.	96	secondary			Compendium of Philosophy (Buddhist, secondary)
TarkKau.	96	primary	residue		
ŚivSū.	95	primary	residue		
KalāVi.	95	primary	residue		
SātvaT.	95	primary	residue		
DhūrtaViSaṃ.	95	primary	residue		
TripāMaNāU.	95	primary	residue		
NāmaMāli.	94	primary	residue		
ŚatŚlo.	94	primary	residue		
JinaŚ.	94	primary	residue		
Uṇā.	93	primary	residue		
Vyā.	93	primary	residue		
KathāKau.	93	primary	residue		
ŚṛṅgāSar.	93	primary	residue		
MahāU.	93	primary	residue		
BhārCam.	93	primary	residue		
Māli.	91	primary	residue		
BhāmiVi.	91	primary	residue		
Candrā.	91	primary	residue		
AtriS.	91	primary	residue		
Āhnika.	91	primary	residue		
MaBhāsk.	90	primary	residue		
NāraŚi.	90	primary	residue		
Sū.	89	structural			
TājiNī.	88	primary	residue		
Can.	88	structural			
MeghDū.	88	primary	covered	Meghadūta	Meghadūta
MuṇḍUBh.	88	primary	residue		
Pari.	88	structural			
KumāDeC.	88	primary	residue		
Kaṇṭhā.	87	primary	residue		
ŚivS.	87	primary	residue		
HariVi.	87	primary	residue		
KenUBh.	87	primary	residue		
ViṣṇuTaNi.	86	primary	residue		
Dha.	86	structural			
ŚvetāU.	86	primary	covered	Śvetāśvataropaniṣad	Śvetāśvataropaniṣad
ŚikṣāSa.	86	primary	residue		
ŚaṅkhaSm.	86	primary	residue		
JñātāDhaṬ.	86	primary	residue		
NyāySā.	86	primary	residue		
Gurvā.	86	primary	residue		
Līlā.	85	primary	residue		
AuciViCa.	85	primary	residue		
MudriKu.	85	primary	residue		
SaṅkarKā.	85	primary	residue		
ŚṛṅgāPra.	84	primary	residue		
LaṅkāSū.	84	primary	residue		
VidaMuMa.	83	primary	residue		
GrahaLā.	83	primary	residue		
VaikhāDS.	83	primary	residue		
ŚaṅkhaLiDS.	83	primary	residue		
ArthSaṃ.	82	primary	residue		
VijñāŚ.	82	primary	residue		
AmaŚ.	81	primary	residue		
Avalo.	81	primary	residue		
RasTa.	81	primary	residue		
NītiPra.	80	primary	residue		
NityāṢoḍa.	80	primary	residue		
YājñaŚi.	80	primary	residue		
Mu.	79	primary	residue		
MadaPāNi.	79	primary	residue		
NāraPaU.	79	primary	residue		
PadmPrā.	79	primary	residue		
Rāṣṭrau.	78	primary	residue		
PratiYau.	78	primary	residue		
Ratnā.	77	primary	residue		
HaṃsDū.	77	primary	residue		
JñānBiPra.	77	primary	residue		
VāstuVi.	76	primary	residue		
AnnaU.	76	primary	residue		
MayūSaṃ.	76	primary	residue		
ApūNā.	75	primary	residue		
Pa.	75	primary	residue		
KāṭhU.	75	primary	residue		
VārāGS.	74	primary	residue		
RājNīRa.	74	primary	residue		
Sambandha.	74	primary	residue		
SaptaPa.	74	primary	residue		
Br.	73	primary	residue		
VidaMā.	73	primary	residue		
TattvSaṃPañ.	72	primary	residue		
MAYR.	71	secondary			Mayrhofer, Etymol. Wörterbuch des Altindoarischen
DevīPañ.	71	primary	residue		
CāṇaNīDa.	71	primary	residue		
KīcaVa.	71	primary	residue		
ĀpaGS.	71	primary	residue		
NemiC.	71	primary	residue		
PañcSi.	70	primary	residue		
ĪśvaPraSū.	70	primary	residue		
RaMā.	69	primary	residue		
PratyabhiHṛ.	69	primary	residue		
Bha.	69	primary	residue		
VṛHārīSm.	69	primary	residue		
RatnaCūKa.	69	primary	residue		
MāṇḍūŚi.	68	primary	residue		
CaṇḍaKau.	68	primary	residue		
RasPraSu.	68	primary	residue		
Tarkāmṛ.	68	primary	residue		
AbhinDa.	67	primary	residue		
TattvSa.	67	primary	residue		
Vyavahāra.	66	primary	residue		
DhātuKā.	66	primary	residue		
PañcPra.	66	primary	residue		
VaiśeSū.	66	primary	residue		
MantrBr.	66	primary	residue		
MṛtaSaṃ.	65	primary	residue		
PuC.	65	primary	residue		
DharmoPra.	65	primary	residue		
MadaKeC.	65	primary	residue		
Buddh.	65	primary	residue		
Prakā.	64	primary	residue		
SaSāg.	64	primary	residue		
IśānŚiPa.	64	primary	residue		
SūryaŚ.	64	primary	residue		
Si.	64	primary	residue		
AbhisaAlaṅĀ.	63	primary	residue		
AbhisaAlaṅ.	63	primary	residue		
Abhiṣe.	63	primary	residue		
ŚabdaBhePra.	62	primary	residue		
VedāntSiSūMañ.	62	primary	residue		
NāgaSa.	62	primary	residue		
YogSū.	62	primary	residue		
Ci.	62	primary	residue		
UBh.	62	primary	residue		
Śrī.	62	primary	residue		
ĀrṣeBr.	61	primary	residue		
RauhiC.	61	primary	residue		
Mi.	61	primary	residue		
Pañ.	61	primary	residue		
DhātuPā.	60	primary	residue		
UnmaRā.	60	primary	residue		
Bharaṭ.	60	primary	residue		
Sāg.	60	primary	residue		
Ta.	60	primary	residue		
UBhVā.	60	primary	residue		
CaturJiStu.	60	primary	residue		
Jānāśra.	60	primary	residue		
NemiDū.	59	primary	residue		
BhāvPraNi.	59	primary	residue		
SamyaKau.	59	primary	residue		
PārvPa.	59	primary	residue		
CampaŚreKa.	59	primary	residue		
DakṣaSm.	59	primary	residue		
TaiU.	59	primary	residue		
VedāntTaSā.	58	primary	residue		
VibhraVi.	58	primary	residue		
CitraPaC.	58	primary	residue		
KīrtiKau.	58	primary	residue		
JaineVṛ.	58	primary	residue		
HariC.	57	primary	residue		
BhallaŚ.	57	primary	residue		
VedavyāSm.	57	primary	residue		
VyavaMa.	56	primary	residue		
KālīViT.	56	primary	residue		
PārthPa.	55	primary	residue		
SūktiSu.	55	primary	residue		
PañcSā.	55	primary	residue		
ĪśvaSi.	55	primary	residue		
TripuḌi.	54	primary	residue		
BālBhā.	54	primary	residue		
ViddhaŚā.	54	primary	residue		
AśvaCi.	54	primary	residue		
BhāṣāVṛ.	54	primary	residue		
ŚṛṅgāDī.	54	primary	residue		
Chandonu.	53	primary	residue		
VairāŚ.	53	primary	residue		
KumāCaSaṃ.	53	primary	residue		
Khā.	53	primary	residue		
KenUVāBh.	53	primary	residue		
ŚaktiSaṃT.	53	primary	residue		
DrāhyGS.	53	primary	residue		
Va.	52	primary	residue		
Inst.	52	primary	residue		
HorāSā.	52	primary	residue		
KaumuMa.	52	primary	residue		
TīrthaKa.	52	primary	residue		
GauḍKā.	52	primary	residue		
SamudraMa.	52	primary	residue		
ŚivU.	52	primary	residue		
NighŚe.	51	primary	residue		
BālC.	51	primary	residue		
TaiUBhVā.	51	primary	residue		
TejoBiU.	50	primary	residue		
MaṇiKa.	50	primary	residue		
Sa.	49	primary	residue		
ViraMi.	49	primary	residue		
CaturA.	49	primary	residue		
BhartṛNi.	49	primary	residue		
SindūPra.	49	primary	residue		
ŚṛṅgāBhū.	49	primary	residue		
HirPiMe.	49	primary	residue		
RasMañ.	49	primary	residue		
ŚaPuC.	49	primary	residue		
Nṛtyā.	48	primary	residue		
ṚtuSaṃ.	48	primary	residue		
DhaP.	48	primary	residue		
GS.	48	primary	residue		
Da.	48	primary	residue		
Rājanīti.	47	primary	residue		
LalitāSa.	47	primary	residue		
ŚukrNī.	46	primary	residue		
CaṇḍīŚ.	46	primary	residue		
KaraṇaKu.	46	primary	residue		
RasiRañ.	46	primary	residue		
Bārhas.	46	primary	residue		
JñānDī.	46	primary	residue		
KarmaNi.	45	primary	residue		
BaudhŚuS.	45	primary	residue		
ṢaḍdarSa.	45	primary	residue		
APrāti.	45	primary	residue		
NyāyBiṬ.	45	primary	residue		
MuṇḍaU.	45	primary	residue		
NarmaMā.	45	primary	residue		
TaVi.	44	primary	residue		
Astrol.	44	primary	residue		
VasiSm.	44	primary	residue		
Hāsyārṇa.	44	primary	residue		
VāNaMā.	44	primary	residue		
PramāSaṃ.	44	primary	residue		
ŚāntiŚ.	44	primary	residue		
UttaKuC.	44	primary	residue		
Nā.	43	primary	residue		
PavaDū.	43	primary	residue		
ĪśopBh.	43	primary	residue		
CāndrVṛ.	43	primary	residue		
Nigh.	43	primary	residue		
HaṭPra.	43	primary	residue		
PāñcaRā.	42	primary	residue		
Paribhāṣā.	42	primary	residue		
AṅgiSm.	42	primary	residue		
Ru.	41	primary	residue		
VaiP.	41	primary	residue		
So.	41	primary	residue		
TripuMāPūSt.	41	primary	residue		
PraśnaU.	41	primary	residue		
MāVi.	41	primary	residue		
PārāŚi.	41	primary	residue		
Śe.	41	primary	residue		
VarāU.	41	primary	residue		
Ubhayābhi.	41	primary	residue		
PañcTaPra.	41	primary	residue		
JainaL.	41	primary	residue		
AlaṅkāCin.	40	primary	residue		
ChandoMa.	40	primary	residue		
PrasthāBhe.	40	primary	residue		
AparoAnu.	40	primary	residue		
KaTa.	40	primary	residue		
CaitaCan.	40	primary	residue		
SuvṛTi.	40	primary	residue		
Dhūrtā.	39	primary	residue		
KāvyālaṅSāSaṃ.	39	primary	residue		
NṛtyaK.	39	primary	residue		
MahāVīSt.	39	primary	residue		
NṛsiṃhoTāU.	38	primary	residue		
SāṃkhyaTaPra.	38	primary	residue		
KulaCūT.	38	primary	residue		
LaṭaMe.	38	primary	residue		
BṛSarvaAnu.	38	primary	residue		
LaJāta.	37	primary	residue		
DevīŚ.	37	primary	residue		
Add.	37	structural			
ParamāSā.	37	primary	residue		
Laghīya.	37	primary	residue		
SundaŚ.	37	primary	residue		
MādhavāĀ.	37	primary	residue		
VasiDS.	37	primary	residue		
BhāṣāPa.	37	primary	residue		
ŚivāL.	37	primary	residue		
DhanvaNi.	37	primary	residue		
BhaṭṭaBhā.	37	primary	residue		
ĀpaManPāṭha.	36	primary	residue		
BṛBrahmS.	36	primary	residue		
NṛttaRa.	36	primary	residue		
BhVā.	36	primary	residue		
ŚloSaṃ.	36	primary	residue		
KaviKaṇṭhā.	36	primary	residue		
AnekāNā.	36	primary	residue		
Mugdhopa.	36	primary	residue		
C.	36	structural			
GautPiMe.	36	primary	residue		
PāṇiŚi.	36	primary	residue		
PraSaṃ.	36	primary	residue		
Ḍamaru.	36	primary	residue		
Kṣudra.	36	primary	residue		
Hārāva.	35	primary	residue		
Bhū.	35	primary	residue		
SāṃkhyaKā.	35	primary	residue		
SaundL.	35	primary	residue		
KaliViḍ.	35	primary	residue		
DvirūK.	35	primary	residue		
PriyDa.	35	primary	residue		
NāṭyaDa.	35	primary	residue		
NyāyBi.	35	primary	residue		
AOR.	35	primary	residue		
DigVi.	34	primary	residue		
AṣṭāNi.	34	primary	residue		
NānārthaRaMā.	34	primary	residue		
KarṇaSu.	34	primary	residue		
Deśopa.	34	primary	residue		
Sā.	34	primary	residue		
JayaChand.	34	primary	residue		
SvapnVā.	34	primary	residue		
YogŚiU.	34	primary	residue		
JaimiUpaSū.	33	primary	residue		
ŚabdaKaDru.	33	primary	residue		
RaK.	33	primary	residue		
DhātuVṛ.	33	primary	residue		
MattaVi.	33	primary	residue		
RukmiHa.	33	primary	residue		
ĀpaSm.	33	primary	residue		
BhagAjju.	33	primary	residue		
LaŚātāSm.	33	primary	residue		
NāmŚil.	33	primary	residue		
MuṇḍaUBh.	33	primary	residue		
UpadeŚ.	33	primary	residue		
VarivaRaha.	33	primary	residue		
BhāP.	33	primary	residue		
SvātmNi.	33	primary	residue		
Lakṣaṇā.	33	primary	residue		
ŚriKaC.	32	primary	residue		
BṛYamaSm.	32	primary	residue		
ŚaiśiŚi.	32	primary	residue		
Vītarā.	32	primary	residue		
ViṭVṛ.	32	primary	residue		
Gaṅ.	32	primary	residue		
ĀraUBhVā.	32	primary	residue		
NānārthMa.	32	primary	residue		
PramāLa.	32	primary	residue		
Krī.	32	primary	residue		
JaimiŚS.	32	primary	residue		
SubāU.	32	primary	residue		
Ind.	32	primary	residue		
Dat.	31	structural			
ŚiPa.	31	primary	residue		
VṛttaRa.	31	primary	residue		
Ku.	31	primary	residue		
NītiMañ.	31	primary	residue		
Nom.	31	structural			
ŚivaKePāSt.	31	primary	residue		
SaṃhiUBr.	31	primary	residue		
SaṃviSi.	31	primary	residue		
SiddhāSāU.	31	primary	residue		
BhramDū.	31	primary	residue		
KauṣīBrU.	31	primary	residue		
DS.	30	primary	residue		
TattvSaṃkhyā.	30	primary	residue		
KāvyaPra.	30	primary	residue		
ṚTPrāti.	30	primary	residue		
DaivaVyā.	30	primary	residue		
Prā.	30	primary	residue		
BhāvŚ.	30	primary	residue		
BhārŚi.	30	primary	residue		
Dū.	30	primary	residue		
BījGa.	30	primary	residue		
YogVār.	30	primary	residue		
Tattvodyo.	30	primary	residue		
ASS.	30	primary	residue		
SuKa.	30	primary	residue		
Śrāddha.	29	primary	residue		
ViṣṇuPādāSt.	29	primary	residue		
MahāVīC.	29	primary	residue		
HaṃsSaṃ.	29	primary	residue		
TriBrU.	29	primary	residue		
SabhāŚ.	29	primary	residue		
VīraMī.	29	primary	residue		
LalitāStaRa.	29	primary	residue		
ĀryaŚāS.	29	primary	residue		
Pāṇ.	29	primary	residue		
Anekā.	29	primary	residue		
SarvaAnu.	29	primary	residue		
Bhāṭṭi.	29	primary	residue		
PaiṅgU.	29	primary	residue		
Mus.	28	primary	residue		
S.	28	structural			
ĀpaŚuS.	28	primary	residue		
ŚabdeŚe.	28	primary	residue		
DurghVṛ.	28	primary	residue		
RasiJī.	28	primary	residue		
AtriSm.	28	primary	residue		
ŚātāSm.	28	primary	residue		
DeviBhāP.	28	primary	residue		
ṢaḍrasaNi.	28	primary	residue		
Bhāsv.	28	primary	residue		
Astron.	28	primary	residue		
Sneha.	27	primary	residue		
KhaṇḍKhā.	27	primary	residue		
ŚārṅgaP.	27	primary	residue		
TripuVePāSt.	27	primary	residue		
CaturSaṃ.	27	primary	residue		
Raha.	27	primary	residue		
PrasaPa.	27	primary	residue		
ŪruBha.	27	primary	residue		
ĪśvaŚ.	27	primary	residue		
Āryabh.	27	primary	residue		
PraBh.	27	primary	residue		
DaivaVa.	27	primary	residue		
BṛDeśī.	26	primary	residue		
Nāṭa.	26	primary	residue		
ĀrṣeU.	26	primary	residue		
PrātiSū.	26	primary	residue		
Mahimna.	26	primary	residue		
ĀryāŚ.	26	primary	residue		
BhaktiRa.	26	primary	residue		
ŚeṣaNā.	26	primary	residue		
AdhyāU.	26	primary	residue		
KirātāVyā.	26	primary	residue		
KuC.	26	primary	residue		
Cārud.	26	primary	residue		
NSP.	26	primary	residue		
NātyaŚā.	25	primary	residue		
BodhiCaPañ.	25	primary	residue		
Arch.	25	primary	residue		
PālaGoKa.	25	primary	residue		
HevajraT.	25	primary	residue		
ŚivPāKeSt.	25	primary	residue		
LomŚi.	25	primary	residue		
VaDuU.	25	primary	residue		
KāBh.	25	primary	residue		
SaṃnyāU.	25	primary	residue		
KauhaŚi.	25	primary	residue		
ChandoMañ.	25	primary	residue		
EkārthaNā.	24	primary	residue		
NāmaMā.	24	primary	residue		
AnekāNi.	24	primary	residue		
Sī.	24	primary	residue		
Malli.	24	primary	residue		
SvopVṛ.	24	primary	residue		
PraśnoRaMāli.	24	primary	residue		
Mī.	24	primary	residue		
DaKau.	24	primary	residue		
BhaktiSū.	24	primary	residue		
GaṅgāL.	23	primary	residue		
BrahmaSūBh.	23	primary	residue		
TārāŚa.	23	primary	residue		
KalyāMaSt.	23	primary	residue		
SvātmPra.	23	primary	residue		
MaitreU.	23	primary	residue		
Jo.	23	primary	residue		
BhasmJāU.	23	primary	residue		
SāSaṃ.	22	primary	residue		
Math.	22	primary	residue		
ĀtmaBo.	22	primary	residue		
Nīla.	22	primary	residue		
DarpaDa.	22	primary	residue		
Pā.	22	primary	residue		
PrajāSm.	22	primary	residue		
TattvāRāVār.	22	primary	residue		
LoK.	22	primary	residue		
MadhyaVyā.	22	primary	residue		
BodhiCa.	22	primary	residue		
SaBh.	22	primary	residue		
Cū.	22	primary	residue		
RaSaK.	22	primary	residue		
HariStu.	22	primary	residue		
Spr.	22	primary	residue		
Ha.	21	primary	residue		
ChāndoUBr.	21	primary	residue		
Yogācā.	21	primary	residue		
VāsuVi.	21	primary	residue		
Tīrtha.	21	primary	residue		
VārPari.	21	primary	residue		
Viṣāpahā.	21	primary	residue		
Dūtāṅg.	21	primary	residue		
SūryaSi.	21	primary	residue		
AnekāMañ.	21	primary	residue		
DevaBr.	21	primary	residue		
DvyakṣaNā.	21	primary	residue		
DṛṣṭāKaŚ.	21	primary	residue		
KumāDePra.	21	primary	residue		
KathāŚloSaṃ.	21	primary	residue		
CaurPañ.	21	primary	residue		
ArthaŚā.	20	primary	residue		
BrahmViU.	20	primary	residue		
Vaṃ.	20	primary	residue		
SaK.	20	primary	residue		
ĀpiŚi.	20	primary	residue		
KuA.	20	primary	residue		
MimāKau.	20	primary	residue		
LaViṣṇuSm.	20	primary	residue		
Ni.	20	primary	residue		
Ke.	20	primary	residue		
CaturDī.	20	primary	residue		
KarṇaBhā.	20	primary	residue		
DharmaP.	20	primary	residue		
UpādhiKha.	20	primary	residue		
YogKuU.	20	primary	residue		
BhārPiMe.	20	primary	residue		
PāramāU.	20	primary	residue		
PramāVā.	19	primary	residue		
GaṇiNā.	19	primary	residue		
LaBhāska.	19	primary	residue		
KarpūC.	19	primary	residue		
KhaḍgaŚ.	19	primary	residue		
VedaVyāSm.	19	primary	residue		
TripuTāU.	19	primary	residue		
SevyaSev.	19	primary	residue		
ŚivārkaMaDi.	19	primary	residue		
CāndrVyā.	19	primary	residue		
ŚukSa.	19	primary	residue		
BṛJābāU.	19	primary	residue		
DhūrtaSa.	19	primary	residue		
Bharatakośa.	19	primary	residue		
JābālaDaU.	19	primary	residue		
MaitrīU.	19	primary	residue		
SūryŚ.	18	primary	residue		
MukuMā.	18	primary	residue		
SāC.	18	primary	residue		
Trayī.	18	primary	residue		
NaMā.	18	primary	residue		
GitāBh.	18	primary	residue		
AmoghŚi.	18	primary	residue		
LikhiSm.	18	primary	residue		
NyāPra.	18	primary	residue		
LaHārīSm.	18	primary	residue		
AkṣU.	18	primary	residue		
St.	18	primary	residue		
TattvārthāSū.	18	primary	residue		
AnarghRā.	18	primary	residue		
GiMS.	18	primary	residue		
KSS.	18	primary	residue		
KāśiVr.	17	primary	residue		
DeC.	17	primary	residue		
NānārthaSaṃ.	17	primary	residue		
KātyāŚS.	17	primary	residue		
ŚivBhuSt.	17	primary	residue		
TantraVā.	17	primary	residue		
BṛDharmP.	17	primary	residue		
ManoDū.	17	primary	residue		
MaKā.	17	primary	residue		
DevīCatuSt.	17	primary	residue		
PadārthaTaNi.	17	primary	residue		
HāsyCū.	17	primary	residue		
YogSūVṛ.	17	primary	residue		
Philo.	17	primary	residue		
MuktiU.	17	primary	residue		
YamaSm.	17	primary	residue		
MāhāBhā.	17	primary	residue		
Nī.	17	primary	residue		
KaṭhRuU.	17	primary	residue		
KaS.	17	primary	residue		
Bo.	17	primary	residue		
BālamBhā.	17	primary	residue		
TattvāBh.	17	primary	residue		
ChāgU.	17	primary	residue		
GORR.	17	primary	residue		
TaKau.	17	primary	residue		
UddhāK.	16	primary	residue		
L.	16	structural			
KumāSam.	16	primary	residue		
Hṛ.	16	primary	residue		
KāvyaKaVṛ.	16	primary	residue		
ĀnandaRa.	16	primary	residue		
BhārArthaPra.	16	primary	residue		
ĀraUBh.	16	primary	residue		
Ṭ.	16	structural			
LaŚaṅkhaSm.	16	primary	residue		
VṛŚātāSm.	16	primary	residue		
VyāḍiPari.	16	primary	residue		
ViKā.	16	primary	residue		
NāḍīVi.	16	primary	residue		
PhiṭSū.	16	primary	residue		
MaṇḍBrU.	16	primary	residue		
Bhakti.	16	primary	residue		
NāraP.	16	primary	residue		
Vai.	16	primary	residue		
SiA.	16	primary	residue		
KṛṣiPa.	16	primary	residue		
ŚṛṅgāVaiTa.	16	primary	residue		
PriyaDa.	16	primary	residue		
Kos.	16	primary	residue		
JainL.	16	primary	residue		
Lakṣābha.	15	primary	residue		
ŚriBh.	15	primary	residue		
ŚāṭyāU.	15	primary	residue		
PadārthSaṃ.	15	primary	residue		
Medi.	15	primary	residue		
KāliViT.	15	primary	residue		
LakṣmiT.	15	primary	residue		
HāriS.	15	primary	residue		
ŚrutaBo.	15	primary	residue		
MahāBhāraDī.	15	primary	residue		
MaitriU.	15	primary	residue		
Bv.	15	structural			
VādhūlaŚS.	15	primary	residue		
RaMañ.	15	primary	residue		
ŚāṇḍU.	15	primary	residue		
Khila.	15	primary	residue		
BiṬ.	15	primary	residue		
ŚabaBh.	15	primary	residue		
DaSaṃ.	15	primary	residue		
Par.	15	primary	residue		
AvyaU.	15	primary	residue		
SphuSi.	14	primary	residue		
BālaṃBha.	14	primary	residue		
RatiRa.	14	primary	residue		
SāṃkhyaSūVṛ.	14	primary	residue		
PārijāHa.	14	primary	residue		
Śi.	14	primary	residue		
ŚatBṛ.	14	primary	residue		
Lakṣaṇa.	14	primary	residue		
SaṃvaSm.	14	primary	residue		
KauṣiBr.	14	primary	residue		
LātyāŚS.	14	primary	residue		
YaśasCaṃ.	14	primary	residue		
KaśiVṛ.	14	primary	residue		
H.	14	structural			
PāśBraU.	14	primary	residue		
AŚiraU.	14	primary	residue		
SadācāAnu.	14	primary	residue		
RāmPūTāU.	14	primary	residue		
LeSaṃ.	14	primary	residue		
SiddhāĀSta.	14	primary	residue		
AṣtāSaṃ.	14	primary	residue		
VākyaVṛ.	14	primary	residue		
Nyāyāva.	14	primary	residue		
ChandaḥSū.	14	primary	residue		
JPMJGM.	14	primary	residue		
KṣīraTa.	13	primary	residue		
KāśīVṛ.	13	primary	residue		
DūtGha.	13	primary	residue		
YānaSū.	13	primary	residue		
NirvāT.	13	primary	residue		
MadhyāViBh.	13	primary	residue		
CāruCaŚ.	13	primary	residue		
PraSū.	13	primary	residue		
DūtVā.	13	primary	residue		
SudarŚ.	13	primary	residue		
Pūjā.	13	primary	residue		
YaBhū.	13	primary	residue		
PārśvaC.	13	primary	residue		
BāṣkaU.	13	primary	residue		
PraPra.	13	primary	residue		
PañcRāRa.	13	primary	residue		
VāSvopVṛ.	13	primary	residue		
ParibhāŚe.	13	primary	residue		
BrahmS.	12	primary	residue		
BṛPārāSm.	12	primary	residue		
EkīSt.	12	primary	residue		
MastyaP.	12	primary	residue		
PraśnoRaMā.	12	primary	residue		
NaiṣaC.	12	primary	residue		
ŚaṅkhaLiSm.	12	primary	residue		
HaṭhPra.	12	primary	residue		
Ṛṣi.	12	primary	residue		
JinaCatur.	12	primary	residue		
ŚrīkarBh.	12	primary	residue		
PāSau.	12	primary	residue		
GadyCin.	12	primary	residue		
NirguMāPū.	12	primary	residue		
ŚrīVīraSta.	12	primary	residue		
SiddhāRa.	12	primary	residue		
GovindA.	12	primary	residue		
RāmRaU.	12	primary	residue		
RādhU.	12	primary	residue		
MahaBhā.	12	primary	residue		
NṛsiṃPūTāU.	12	primary	residue		
SaṃgīMa.	12	primary	residue		
Kośāva.	12	primary	residue		
ĪśāU.	12	primary	residue		
IE.	11	structural			
JyotiVe.	11	primary	residue		
Ti.	11	primary	residue		
NyāyVā.	11	primary	residue		
NyāyVāPari.	11	primary	residue		
MūlaMāKā.	11	primary	residue		
SiddhiTra.	11	primary	residue		
Jam.	11	primary	residue		
NilaVi.	11	primary	residue		
BrĀraUBhVā.	11	primary	residue		
NīMa.	11	primary	residue		
DrāhyāŚS.	11	primary	residue		
AdvaTāU.	11	primary	residue		
Prauḍhā.	11	primary	residue		
MāyāKha.	11	primary	residue		
VakroPañ.	11	primary	residue		
GāyaRaU.	11	primary	residue		
KāthāSaSāg.	11	primary	residue		
RaSaṃ.	11	primary	residue		
FN.	11	primary	residue		
Rūpāva.	11	primary	residue		
KaVṛ.	11	primary	residue		
MahāviC.	11	primary	residue		
KenU.	11	primary	residue		
MahānāU.	11	primary	residue		
LaBhāsk.	11	primary	residue		
VaṭuU.	11	primary	residue		
ItihāU.	11	primary	residue		
ĀryaBh.	10	primary	residue		
RajTa.	10	primary	residue		
AbhidhāCi.	10	primary	residue		
KātyŚuS.	10	primary	residue		
RV.	10	primary	residue		
PāṇḍC.	10	primary	residue		
NaiṣkSi.	10	primary	residue		
MadhyāVi.	10	primary	residue		
Triṃśi.	10	primary	residue		
SivārkaMaDī.	10	primary	residue		
VāBh.	10	primary	residue		
RāmKṛViKā.	10	primary	residue		
HarsaC.	10	primary	residue		
MṛtyuMāPūSt.	10	primary	residue		
DevīBhuSt.	10	primary	residue		
ĪśānŚiP.	10	primary	residue		
NānārthaMañ.	10	primary	residue		
KaivaU.	10	primary	residue		
TriBh.	10	primary	residue		
ŚātDū.	10	primary	residue		
AjaḍaPraSi.	10	primary	residue		
TattvSaṃkhyāṬ.	10	primary	residue		
KathāLa.	10	primary	residue		
RāmBāSta.	10	primary	residue		
ParaHaṃsPaU.	10	primary	residue		
YājñaU.	10	primary	residue		
Me.	10	primary	residue		
MaśaKa.	10	primary	residue		
T.	10	structural			
DhyānBiU.	10	primary	residue		
ṢaṭcakraNi.	10	primary	residue		
Voc.	10	structural			
Prāti.	10	primary	residue		
GaṇU.	10	primary	residue		
BhaktāSt.	10	primary	residue		
KavīndraKa.	10	primary	residue		
KāthS.	10	primary	residue		
AmṛNāU.	10	primary	residue		
ŚeṣaVā.	10	primary	residue		
GuhyKāU.	10	primary	residue		
KāṭhakaBrsaṅkalana.	10	primary	residue		
