title	norm	dcs_siglum	tok_2021	tok_2026	in_2021	in_2026	title_2021
Kṛṣiparāśara	krsiparasara	KṛṣiP	3860	3863	1	1	Kṛṣiparāśara
Nirukta	nirukta	Nir	807	3713	1	1	Nirukta
Saṃvitsiddhi	samvitsiddhi		3398	3403	1	1	Saṃvitsiddhi
Nyāyasūtra	nyayasutra	NyāSū	3334	3396	1	1	Nyāyasūtra
Meghadūta	meghaduta	Megh	3387	3393	1	1	Meghadūta
Khādiragṛhyasūtra	khadiragrhyasutra		1999	3358	1	1	Khādiragṛhyasūtra
Mṛgendratantra	mrgendratantra	MṛgT	3308	3328	1	1	Mṛgendratantra
Kṛṣṇāmṛtamahārṇava	krsnamrtamaharnava	KAM	3300	3304	1	1	Kṛṣṇāmṛtamahārṇava
Janmamaraṇavicāra	janmamaranavicara	JanM	3252	3259	1	1	Janmamaraṇavicāra
Amaruśataka	amarusataka	AmŚ	3219	3221	1	1	Amaruśataka
Dhanurveda	dhanurveda	DhanV	3139	3140	1	1	Dhanurveda
Ṛtusaṃhāra	rtusamhara	ṚtuS	3130	3133	1	1	Ṛtusaṃhāra
Āpastambagṛhyasūtra	apastambagrhyasutra		3120	3132	1	1	Āpastambagṛhyasūtra
Kāśikāvṛtti	kasikavrtti	KāśVṛ	2859	2875	1	1	Kāśikāvṛtti
Bhallaṭaśataka	bhallatasataka		2809	2810	1	1	Bhallaṭaśataka
Rasataraṅgiṇī	rasatarangini	RTar	2683	2684	1	1	Rasataraṅgiṇī
Abhinavacintāmaṇi	abhinavacintamani		2603	2604	1	1	Abhinavacintāmaṇi
Nāṭyaśāstravivṛti	natyasastravivrti	NŚVi	2585	2603	1	1	Nāṭyaśāstravivṛti
Taittirīyopaniṣad	taittiriyopanisad		407	2462	1	1	Taittirīyopaniṣad
Sūryaśatakaṭīkā	suryasatakatika	SūrŚṬī	2322	2328	1	1	Sūryaśatakaṭīkā
Aṣṭāṅgasaṃgraha	astangasamgraha	ASaṃ	2184	2187	1	1	Aṣṭāṅgasaṃgraha
Śvetāśvataropaniṣad	svetasvataropanisad	ŚveUp	2100	2147	1	1	Śvetāśvataropaniṣad
Sūryasiddhānta	suryasiddhanta	SūrSi	2138	2142	1	1	Sūryasiddhānta
Vaiśeṣikasūtra	vaisesikasutra	VaiSū	2120	2133	1	1	Vaiśeṣikasūtra
Kaṭhopaniṣad	kathopanisad		2120	2129	1	1	Kaṭhopaniṣad
Vātūlanāthasūtravṛtti	vatulanathasutravrtti	VNSūV	2058	2062	1	1	Vātūlanāthasūtravṛtti
Nighaṇṭuśeṣa	nighantusesa	NiŚe	2003	2003	1	1	Nighaṇṭuśeṣa
Tarkasaṃgraha	tarkasamgraha	Tarka	1962	1978	1	1	Tarkasaṃgraha
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	commentaryonthekadambarisvikaranasutramanjari	KādSv	1899	1902	1	1	Commentary on the Kādambarīsvīkaraṇasūtramañjarī
Viṃśatikāvṛtti	vimsatikavrtti		1854	1860	1	1	Viṃśatikāvṛtti
Kaiyadevanighaṇṭu	kaiyadevanighantu	KaiNi	1826	1826	1	1	Kaiyadevanighaṇṭu
Paraśurāmakalpasūtra	parasuramakalpasutra		1722	1722	1	1	Paraśurāmakalpasūtra
Atharvavedapariśiṣṭa	atharvavedaparisista		24	1695	1	1	Atharvavedapariśiṣṭa
Haṃsasaṃdeśa	hamsasamdesa		620	1631	1	1	Haṃsasaṃdeśa
Ṭikanikayātrā	tikanikayatra	Ṭika	1614	1615	1	1	Ṭikanikayātrā
Śira'upaniṣad	siraupanisad	ŚirUp	1577	1585	1	1	"Śira\""upaniṣad"
Nāḍīparīkṣā	nadipariksa	Nāḍī	1553	1554	1	1	Nāḍīparīkṣā
Gṛhastharatnākara	grhastharatnakara	GṛRĀ	1538	1542	1	1	Gṛhastharatnākara
Gorakṣaśataka	goraksasataka	GorŚ	1470	1469	1	1	Gorakṣaśataka
Ratnadīpikā	ratnadipika	RatDī	1467	1468	1	1	Ratnadīpikā
Muṇḍakopaniṣad	mundakopanisad		1300	1285	1	1	Muṇḍakopaniṣad
Devīkālottarāgama	devikalottaragama		1257	1263	1	1	Devīkālottarāgama
Mānavaśrautasūtra	manavasrautasutra		0	1221	0	1	
Caurapañcaśikā	caurapancasika		1182	1183	1	1	Caurapañcaśikā
Yogasūtra	yogasutra	YS	1137	1144	1	1	Yogasūtra
Abhidharmakośa	abhidharmakosa	Abh	1331	1091	1	1	Abhidharmakośa
Sāṃkhyakārikā	samkhyakarika	SāṃK	1067	1073	1	1	Sāṃkhyakārikā
Sarvadarśanasaṃgraha	sarvadarsanasamgraha	SDS	1048	1052	1	1	Sarvadarśanasaṃgraha
Smaradīpikā	smaradipika	SmaDī	913	1031	1	1	Smaradīpikā
Amaraughaśāsana	amaraughasasana	AmŚā	1020	1020	1	1	Amaraughaśāsana
Nyāyabhāṣya	nyayabhasya	NyāBh	952	958	1	1	Nyāyabhāṣya
Maṇimāhātmya	manimahatmya	Maṇi	913	913	1	1	Maṇimāhātmya
Acintyastava	acintyastava	AcTa	894	910	1	1	Acintyastava
Mukundamālā	mukundamala		908	909	1	1	Mukundamālā
Trikāṇḍaśeṣa	trikandasesa	TriKŚ	904	904	1	1	Trikāṇḍaśeṣa
Kauṣītakyupaniṣad	kausitakyupanisad		747	864	1	1	Kauṣītakyupaniṣad
Aitareyopaniṣad	aitareyopanisad	AitUp	843	848	1	1	Aitareyopaniṣad
Hiraṇyakeśiśrautasūtra	hiranyakesisrautasutra		0	831	0	1	
Śivapurāṇa	sivapurana	ŚivaP	827	827	1	1	Śivapurāṇa
Vetālapañcaviṃśatikā	vetalapancavimsatika	VetPV	975	814	1	1	Vetālapañcaviṃśatikā
Śikṣāsamuccaya	siksasamuccaya		791	792	1	1	Śikṣāsamuccaya
Bījanighaṇṭu	bijanighantu	BījNi	775	774	1	1	Bījanighaṇṭu
Ṛgvidhāna	rgvidhana		0	772	0	1	
Rājamārtaṇḍa	rajamartanda	RājMā	761	765	1	1	Rājamārtaṇḍa
Spandakārikā	spandakarika	SpaKā	746	757	1	1	Spandakārikā
Commentary on Amaraughaśāsana	commentaryonamaraughasasana	AmŚā	672	673	1	1	Commentary on Amaraughaśāsana
Kauṣītakagṛhyasūtra	kausitakagrhyasutra		0	641	0	1	
Varāhapurāṇa	varahapurana	VarPu	621	622	1	1	Varāhapurāṇa
Agastīyaratnaparīkṣā	agastiyaratnapariksa	AgRa	604	608	1	1	Agastīyaratnaparīkṣā
Sūryaśataka	suryasataka	SūrŚ	593	597	1	1	Sūryaśataka
Garbhopaniṣat	garbhopanisat	GarUp	558	559	1	1	Garbhopaniṣat
Mahācīnatantra	mahacinatantra	MahT	546	546	1	1	Mahācīnatantra
Kauśikasūtradārilabhāṣya	kausikasutradarilabhasya	KDār	440	522	1	1	Kauśikasūtradārilabhāṣya
Narasiṃhapurāṇa	narasimhapurana		502	503	1	1	Narasiṃhapurāṇa
Pāśupatasūtra	pasupatasutra	PāśSū	493	499	1	1	Pāśupatasūtra
Vṛddhayamasmṛti	vrddhayamasmrti	Vṛd	440	442	1	1	Vṛddhayamasmṛti
Śāktavijñāna	saktavijnana	ŚākVi	427	427	1	1	Śāktavijñāna
Commentary on the Kāvyālaṃkāravṛtti	commentaryonthekavyalamkaravrtti		0	398	0	1	
Sphuṭārthāvyākhyā	sphutarthavyakhya	SphAbh	358	379	1	1	Sphuṭārthāvyākhyā
Rasikapriyā	rasikapriya	RasPr	346	346	1	1	Rasikapriyā
Viṃśatikākārikā	vimsatikakarika	ViṃKā	342	343	1	1	Viṃśatikākārikā
Brahmabindūpaniṣat	brahmabindupanisat	BraUp	320	322	1	1	Brahmabindūpaniṣat
Kauśikasūtrakeśavapaddhati	kausikasutrakesavapaddhati		0	313	0	1	
Prasannapadā	prasannapada	PrasP	409	303	1	1	Prasannapadā
Śivasūtra	sivasutra	ŚiSū	297	299	1	1	Śivasūtra
Nādabindūpaniṣat	nadabindupanisat	NāUp	272	274	1	1	Nādabindūpaniṣat
Kādambarīsvīkaraṇasūtramañjarī	kadambarisvikaranasutramanjari	KāSvī	265	266	1	1	Kādambarīsvīkaraṇasūtramañjarī
Nyāyabindu	nyayabindu	NyāBi	159	237	1	1	Nyāyabindu
Bhramarāṣṭaka	bhramarastaka	Bhra	216	216	1	1	Bhramarāṣṭaka
Paramānandīyanāmamālā	paramanandiyanamamala	ParMā	211	211	1	1	Paramānandīyanāmamālā
Bhadrabāhucarita	bhadrabahucarita	BhCa	210	210	1	1	Bhadrabāhucarita
Bhairavastava	bhairavastava	Bhai	204	204	1	1	Bhairavastava
Tattvavaiśāradī	tattvavaisaradi	Tattva	203	203	1	1	Tattvavaiśāradī
Devīmāhātmya	devimahatmya		24	192	1	1	Devīmāhātmya
Ṛgvedavedāṅgajyotiṣa	rgvedavedangajyotisa	ṚVJ	185	185	1	1	Ṛgvedavedāṅgajyotiṣa
Rasikasaṃjīvanī	rasikasamjivani	Rsaṃ	166	166	1	1	Rasikasaṃjīvanī
Carakatattvapradīpikā	carakatattvapradipika	CaDī	121	121	1	1	Carakatattvapradīpikā
Abhidharmakośabhāṣya	abhidharmakosabhasya	AbhBh	107	118	1	1	Abhidharmakośabhāṣya
Amṛtabindūpaniṣat	amrtabindupanisat	AmUp	97	97	1	1	Amṛtabindūpaniṣat
Gaṇakārikā	ganakarika	GaṇaK	95	95	1	1	Gaṇakārikā
Vātūlanāthasūtras	vatulanathasutras	VNSū	84	84	1	1	Vātūlanāthasūtras
Rasaratnasamuccayadīpikā	rasaratnasamuccayadipika	RRSDī	82	82	1	1	Rasaratnasamuccayadīpikā
Kāvyālaṃkāravṛtti	kavyalamkaravrtti	KāVṛ	71	71	1	1	Kāvyālaṃkāravṛtti
Padārthacandrikā	padarthacandrika	PaAHS	28	28	1	1	Padārthacandrikā
Indu (ad AHS)	induadahs	InAHS	18	18	1	1	Indu ad AHS)
Cakra ?) on Suśr	cakraonsusr	Cakra	165	0	1	0	Cakra ?) on Suśr
Comm. on the Kāvyālaṃkāravṛtti	commonthekavyalamkaravrtti	KāVṛ	393	0	1	0	Comm. on the Kāvyālaṃkāravṛtti
Ekākṣarakoṣa	ekaksarakosa		0	0	1	0	Ekākṣarakoṣa
Hārāṇacandara on Suśr	haranacandaraonsusr	HāSu	162	0	1	0	Hārāṇacandara on Suśr
Khādiragṛhyasūtrarudraskandavyākhyā	khadiragrhyasutrarudraskandavyakhya		172	0	1	0	Khādiragṛhyasūtrarudraskandavyākhyā
Nāḍīvijñāna	nadivijnana		0	0	1	0	Nāḍīvijñāna
"Śira""upaniṣad"	siraupanisad		0	0	1	0	"Śira""upaniṣad"
Atharvaveda Śaunaka)	atharvavedasaunaka		0	0	1	0	Atharvaveda Śaunaka)
Gopathabrāhmaṇa NEW	gopathabrahmananew		0	0	1	0	Gopathabrāhmaṇa NEW
Indu ad AHS)	induadahs		0	0	1	0	Indu ad AHS)
Skandapurāṇa Revākhaṇḍa)	skandapuranarevakhanda		0	0	1	0	Skandapurāṇa Revākhaṇḍa)
